,Type,Jewelry,Clothing,Eye Color,DNA,Back,Hair,Mouth,Eyewear,Accessories,Facial Feature,Helmet,Rarity score,Token Id
11827,MURAKAMI DRIP,None,WHT Jellyfish Tee,None,Robot,None,YU-BRED,GLD GRILLS,ZK VR,None,None,None,37.41810439412358,11828
11828,None,None,BRWN TCTL Vest,None,Angel,None,RD Hairclip,Pilot Mask,None,None,None,None,18.335740236778854,11829
11829,None,None,RFX Tee,BRWN,Human,None,PURP Shape Up,GLD GRILLS,None,None,333 TAT,None,32.85332845941464,11830
11830,None,CYN CBLE,NEON HOODIE,BLU,Human,Energy Wings,RTFKT TECH Cap,None,None,None,None,None,35.151977840593915,11831
11831,None,PURP Two Piece,GM MONO HOODIE,PURP,Human,None,Bunny,None,None,None,HRUS TAT,None,33.10595829377428,11832
11832,None,None,BRWN HiTECH Gown,None,Angel,None,PNK MoHWK,None,Cyber Bindi,None,None,None,20.735605330645612,11833
11833,None,Hi-TECH CBLE,RCS Tee,None,Robot,None,WHT Stylish,None,None,Cross Earring,None,None,29.86179763164219,11834
11834,None,GLD CBLE,BLCK VARSITY JCKT,BLCK Surprised,Human,None,PNK Ponytail,SFTY Mask,Drip Scouter,None,None,None,42.01650827286921,11835
11835,None,IRI Blade CHKR,WAGMI Tee,CLSD PNK,Human,None,BLCK Ponytail,None,None,SLVR Round,None,None,35.045993298317946,11836
11836,None,None,RTFKT CHROME Tee,BLU-PURP,Human,None,BLU Stylish,None,None,None,None,None,8.099005781551336,11837
11837,None,None,WHT Utility Vest,None,Angel,None,BRWN Shaggy,None,None,None,None,None,7.744959519647902,11838
11838,None,None,V3 WHT SKL GRL,None,Angel,None,BLU Long,None,Cyborg V1,None,None,None,20.90689641225293,11839
11839,None,None,TRPPY HiTECH GOWN,BLU CRYSTL,Human,None,BLCK Shape Up,None,None,None,None,None,8.810706194654411,11840
11840,None,DRIP CHRM,GRNDT Fur Coat,None,Robot,None,BLND Ponytail,None,BTC,None,None,None,27.21596672921604,11841
11841,None,S-HIRE G-Link,BLCK PIN BKR JCKT,PNK-BLU,Human,None,CYBR DRDZ,None,Drip Scouter,None,CLNX TAT,None,46.09192661148414,11842
11842,None,None,GRN Fur Coat,None,Robot,None,TEAL Spiked,ICED GRILLZ,None,None,None,None,14.433766644331122,11843
11843,None,None,WHT KBA JCKT,None,Angel,None,BLND Quiff,SMILE,None,None,None,None,17.93637171442225,11844
11844,None,None,FRSH Shirt,PNK,Human,None,Fro,None,Glass X,None,None,None,21.00258197592986,11845
11845,Divine,None,V3 WHT SKL GRL,None,Angel,None,BRWN Ponytail,GLD GRILLZ,None,None,None,None,30.841423900538462,11846
11846,None,GLD CBLE,BLCK PIN BKR JCKT,PNK,Human,None,ZK Bucket,None,None,None,SAD TAT,None,33.03782335252903,11847
11847,None,None,CLNX FRSH Shirt,PURP,Human,None,BLCK Quiff,Ghost,Aviator,None,333 VSN TAT,None,46.03706739599509,11848
11848,None,None,V4 WHT SKL GRL,PNK,Human,None,BLCK Hairclip,None,None,None,TRi War TAT,None,22.809946315541723,11849
11849,None,None,BLCK VARSITY JCKT,BLU,Human,None,BLU Curtains,ROBO,None,None,None,None,18.12196858345449,11850
11850,None,CYN CBLE,Blade Melt Tee,YLLW,Human,None,PNK Curtains,ROBO,BILLIONAIRE,PTRA Earring,None,None,57.03365951489281,11851
11851,MURAKAMI DRIP,None,BLCK GM Tee,None,Demon,None,Flower Hat,SMILEY RNBW,None,None,None,None,28.154857964940806,11852
11852,MURAKAMI DRIP,None,MONO Tee,BLU-PURP,Human,None,BRWN Shaggy,Organism M78.8,3RD Eye,None,WARNING TAT,None,56.37599295614496,11853
11853,None,None,RD VARSITY JCKT,None,Robot,None,BLCK Shape Up,ICED GRILLZ,None,None,None,None,14.240703370649674,11854
11854,None,None,RCS Tee,CLSD PURP,Human,None,PNK MoHWK,Angry,None,None,None,None,18.841225889097416,11855
11855,None,None,BLU HAWAIIAN Shirt,BRWN,Human,None,RD DRDZ,None,3RD Eye,None,None,None,21.001637024434267,11856
11856,Divine,None,GRDNT PFA JCKT,None,Angel,None,Open Skull Helmet,None,None,None,None,None,20.170592154030405,11857
11857,None,None,IRI BLW UP JCKT,None,Robot,None,PURP Curtains,Bubblegum,None,None,None,None,14.302223313037981,11858
11858,None,None,GRN HAWAIIAN Shirt,PNK,Human,None,BLCK Unkept,SMILE,RD LAZER,Cross Earring,369 TAT,None,61.75900835909815,11859
11859,Divine,None,SD Tee,None,Angel,None,BLCK Ponytail,None,None,None,None,None,19.982265276318866,11860
11860,MURAKAMI DRIP,Hi-TECH CBLE,BLCK GM Tee,PURP,Human,None,BLU OCTOPUS,None,BTC,None,11-11 TAT,None,56.02589152840983,11861
11861,STONED,None,BLCK BNDN Shirt,GRN,Human,All Seeing Eyes,BLCK BWLCUT,None,Assault Glasses,None,None,None,49.92252958332842,11862
11862,MK-BLCK,IRI Blade CHKR,V4 WHT SKL GRL,None,Robot,None,BRWN Ponytail,Lollipop,None,None,None,None,37.41999705814798,11863
11863,MURAKAMI DRIP,GLD Two Piece,PNK Fur Coat,None,Angel,None,BLU Head Scarf,Jagged RNBW,RD LAZER,None,None,None,51.85189319009312,11864
11864,None,PURP Two Piece,BONE PFA JCKT,None,Angel,None,Cowboy,None,None,None,None,None,18.286510336729886,11865
11865,MURAKAMI DRIP,None,IRI BLW UP JCKT,HALF-OPEN,Human,None,DOB Hat,Tan Tan Bo,None,None,None,None,29.39569194890727,11866
11866,None,None,PNK Waistcoat,None,Demon,None,FLME,None,None,None,None,None,7.868963174890779,11867
11867,None,None,RCS Tee,None,Human,None,BLU MoHWK,WZRD,Cyber Eyes,None,None,None,23.536129857762862,11868
11868,None,None,RTFKT CHROME Tee,PNK-BLU,Human,None,BLCK-GLD Turban,None,Aviator,None,None,None,21.11994124122684,11869
11869,MK-BLCK,GLD Iced Cuban,JS HOODIE,None,Robot,None,YU-BLCK,None,RD LAZER,None,None,None,39.866132184288595,11870
11870,None,GLD G-Link,CAMO BBL Vest,None,Robot,None,RD Stylish,None,None,None,None,None,14.239731941128802,11871
11871,MK1,CYN Two Piece,BLCK TCTL Vest,None,Robot,None,BLU Stylish,None,None,None,None,None,26.21747861929931,11872
11872,None,KAWAII CHRM,STRIPE Tee,None,Robot,None,BLND Hairclip,None,SPiKED BILLIONAIRE,None,None,None,27.392928488470993,11873
11873,MK1,None,GRN Fur Coat,None,Robot,None,BRWN Shaggy,None,None,None,None,None,15.837042062341663,11874
11874,STONED,None,STRIPED POLO,PNK,Human,None,BLCK Samurai,None,None,None,None,None,20.714006697826754,11875
11875,DRK,None,BLU PURP BNDN Shirt,None,Demon,None,WHT Unkept,None,VSN Glasses,None,None,None,33.17786203271621,11876
11876,MURAKAMI DRIP,VVS PANDA,JELLYFISH BLW UP JCKT,None,Angel,None,RD Long,Bubble,None,None,None,None,39.046892024420366,11877
11877,None,None,PNK HAWAIIAN Shirt,BLU-PURP,Human,None,BRWN Shaggy,None,None,None,None,None,8.36872931457686,11878
11878,STONED,RBY Two Piece,RD BBL Vest,PNK-BLU,Human,None,BLCK Horn Headband,GLD GRILLZ,None,None,None,None,41.734572771387654,11879
11879,MURAKAMI DRIP,None,GRDNT PFA JCKT,None,Robot,GRY UNDRWRLD WINGZ,PURP KO2 Tiara,None,Kawaii Patch,None,None,None,43.723140083166825,11880
11880,None,SLVR CBLE,FLOOR Tee,None,Robot,None,PURP BRDZ,None,BILLIONAIRE,None,None,None,26.686011659912783,11881
11881,None,BLCK-GLD ZK-BEADZ,JS Tee,BLU,Human,None,WHT BRDZ,None,DRIP VISION,None,HRUS TAT,None,46.24143754806383,11882
11882,None,SLVR CBLE,BLCK VARSITY JCKT,GRN,Human,None,PURP Hacker,None,VSN Glasses,None,HRUS TAT,None,45.93956234511587,11883
11883,None,None,BLU HAWAIIAN Shirt,BLU,Human,None,PNK Curtains,None,None,SLVR Round,None,None,23.698621769440916,11884
11884,None,None,ORNG HiTECH Dress,None,Angel,None,CYBR DRDZ,None,None,None,None,None,7.835812282678761,11885
11885,None,SLVR CBLE,BLCK BNDN Shirt,CLSD YLLW,Human,None,Sound Wave,None,None,None,None,None,19.10996053374392,11886
11886,None,GLD Two Piece,RFX Tee,None,Angel,None,BRWN Stylish,None,None,None,None,None,17.940136632461588,11887
11887,None,None,BRWN TCTL Vest,PURP,Human,None,PNK Curtains,None,BTC,None,TRi War TAT,None,35.53508986915152,11888
11888,None,None,JS Tee,PNK,Human,None,BRWN 2 Horns,ICED GRILLZ,None,None,None,None,18.4740216947995,11889
11889,STONED,BLCK-GLD ZK-BEADZ,LIME GANG,BRWN,Human,Sword Sheath,YU-RD,None,None,None,None,None,47.68275314529038,11890
11890,None,None,PURP KBA JCKT,BRWN,Human,None,BLCK Beanie,Angry,Cyborg V1,None,BCODE TAT,None,45.867679359452175,11891
11891,Divine,None,MONO Fur Coat,None,Angel,None,RD Hairclip,GLD GRILLS,Cyber Eyes,None,None,None,43.77729335568933,11892
11892,None,CYN CBLE,BLCK GM Tee,PNK,Human,None,BRWN Buns,None,None,None,None,None,18.500485812173153,11893
11893,None,S-HIRE G-Link,CLNX FRSH Shirt,BLCK Surprised,Human,None,BLND Flower Wreath,None,None,None,None,None,18.815610991878103,11894
11894,MK1,G-PDLCK,BLU ORNG BNDN Shirt,None,Robot,None,GRN Stylish,None,None,SLVR Round,None,None,41.98003218864375,11895
11895,None,PURP G-Link,CLNX FRSH Shirt,BRWN,Human,None,PURP BRDZ,None,Cyber Eye Patch,None,None,None,31.374356877471392,11896
11896,None,S-HIRE CBLE,PNK Utility Vest,None,Angel,None,BLND BWLCUT,None,Cyber Eyes,None,None,None,31.315571993254128,11897
11897,None,SLVR G-Link,SD Tee,PURP,Human,None,PURP BRDZ,None,None,None,BCODE TAT,None,32.787994621813674,11898
11898,None,SLVR CBLE,BLCK Tee,BLU-PURP,Human,None,BLU Shape Up,INFCTD,Assault Glasses,None,None,None,41.973935222222586,11899
11899,MURAKAMI DRIP,None,RTFKT CHROME Tee,None,Angel,None,Flower Hat,None,None,None,None,None,17.657167923240937,11900
11900,None,None,Blade Melt Tee,BRWN,Human,None,YU-BLCK,None,None,Gold Round Earrings,None,None,23.852878752004038,11901
11901,ICE,KAWAII CHRM,V6 WHT SKL GRL,None,Demon,None,PNK Ponytail,None,Snow Storm,None,None,None,43.846405349022014,11902
11902,None,None,BONE PFA JCKT,PURP,Human,None,ZK Bucket,TCTL SMILE,None,SLVR STUD,None,None,34.51702095551909,11903
11903,None,None,CLNX FRSH Shirt,None,Robot,None,WHT BWLCUT,None,None,None,None,None,3.668733112564007,11904
11904,None,S-HIRE CBLE,RCS Tee,None,Robot,None,None,Pilot Mask,VSN Glasses,None,None,None,37.32923570407231,11905
11905,None,PURP Two Piece,MONO Tee,None,Reptile,None,GRN BWLCUT,Bubble,None,None,None,None,30.022089285024588,11906
11906,None,None,BLCK VARSITY JCKT,None,Robot,None,RD Pigtails,SFTY Mask,None,None,None,None,14.293701292479863,11907
11907,None,None,THRML PFA JCKT,None,Angel,None,BLU Ponytailz,Angry,None,None,None,None,18.0111343112204,11908
11908,None,None,MONO Fur Coat,PURP,Human,None,WHT Curtains,Goatee,3RD Eye,None,None,None,31.581632147545285,11909
11909,MK-BLCK,None,V2 BLCK SKL GRL,None,Robot,None,PNK Spiked,None,None,None,None,None,16.29984176971348,11910
11910,None,None,GM HOODIE,VVS CRYSTL,Human,None,BLCK-GLD Turban,INFCTD,None,None,WARNING TAT,None,34.23120328682551,11911
11911,None,None,BLCK TCTL Vest,BLCK Surprised,Human,Energy Wings,PNK Ponytail,None,None,None,None,None,24.916575433062675,11912
11912,None,None,888 POLO,None,Demon,None,ZK Bucket,None,Aviator,None,None,None,20.783896877321027,11913
11913,None,GPURP Two Piece,BLCK GM Tee,YLLW,Human,None,RD Spike,None,Drip Scouter,None,BIRTHMRK,None,45.90266263889121,11914
11914,MURAKAMI DRIP,None,RTFKT x TM RNBW FLOWER PFA,AWAKEN,Human,None,RD DRDZ,None,None,None,None,None,18.71063448965849,11915
11915,MK1,None,RCS Tee,None,Robot,None,PURP Shape Up,Tongue Out,None,Cross Earring,None,None,41.99613001665161,11916
11916,MURAKAMI DRIP,VVS PANDA,BRWN Fur Coat,None,Robot,None,BLCK Beanie,None,None,None,None,None,24.35804812079032,11917
11917,None,GLD Iced Cuban,JS Tee,YLLW,Human,None,BLCK Shape Up,None,BTC,None,SAD TAT,None,46.01905944574481,11918
11918,Divine,GLD G-Link,CLNX FRSH Shirt,None,Angel,None,Bunny,None,None,None,None,None,30.69002073266108,11919
11919,None,SLVR Two Piece,BRED KBA JCKT,None,Undead,None,BLU Curtains,Pilot Mask,Eye Patch,SLVR STUD,None,None,58.9819324336295,11920
11920,None,S-HIRE CBLE,FLOOR Tee,CLSD PNK,Human,None,BRWN Stylish,None,None,None,369 VSN TAT,None,33.70500334119914,11921
11921,None,CHRM,JS HOODIE,None,Demon,None,NVY DRDZ,None,None,None,None,None,18.02817709408453,11922
11922,None,None,GM MONO HOODIE,GRN,Human,None,Top Hat,None,None,None,PROMO TAT,None,22.68028944374981,11923
11923,MURAKAMI DRIP,RBY Two Piece,LIME GANG,RNBW,Human,None,PNK Ponytail,PSYCHIC LAZER,None,None,11-11 TAT,None,54.47786550778585,11924
11924,MURAKAMI DRIP,VVS PANDA,CLNX FRSH Shirt,BLU,Human,None,BLCK KO2 Tiara,Organism M78.8,None,None,CLNX TAT,None,53.849518580237856,11925
11925,None,IRI Blade CHKR,CLNX Tee,None,Robot,None,BLND Ponytail,Ghost,Snow Storm,GLD Round,None,None,53.7924893923614,11926
11926,MK1,None,V6 WHT SKL GRL,None,Robot,None,GRN Shape Up,SPIDERZ,None,None,None,None,26.32251792210199,11927
11927,None,SLVR CBLE,FLOOR Tee,None,Robot,None,BLND Quiff,GLD GRILLZ,BILLIONAIRE,None,None,None,37.279079716147365,11928
11928,MURAKAMI DRIP,None,GRN TCTL Vest,None,Robot,GRN UNDRWRLD WINGZ,BLU OCTOPUS,ROBO,None,None,None,None,40.755576710203215,11929
11929,None,CYN CBLE,CAMO BBL Vest,BLU,Human,None,PIRATE,Angry,None,None,None,None,28.793821554820674,11930
11930,None,G-PDLCK,WAGMI Tee,BLCK Surprised,Human,None,YU-BLU,None,None,None,None,None,18.669869967538418,11931
11931,None,CYN CBLE,RTFKT CHROME Tee,PNK-BLU,Human,None,BLCK Samurai,TCTL SMILE,None,None,None,None,29.15154117257755,11932
11932,None,GLD G-Link,CAMO BBL Vest,None,Angel,None,WHT BWLCUT,None,None,None,None,None,18.189035349234324,11933
11933,None,RBY Two Piece,ORNG FRSH Shirt,None,Robot,None,BLU Braid,None,BLU LAZER,None,None,None,27.38535670598771,11934
11934,None,None,MONO Tee,None,Demon,None,PNK BWLCUT,ROBO,None,None,None,None,17.674241788652935,11935
11935,None,None,RD BBL Vest,GRN,Human,None,BLCK Quiff,SPIDERZ,None,None,None,None,18.521339967424463,11936
11936,None,None,SPACE TRIP Tee,BRWN,Human,None,BLCK Unkept,Wise Fancy Mustache,None,None,None,None,18.442789320592123,11937
11937,None,None,BRWN TCTL Vest,None,Angel,None,PURP Shape Up,Mustache,Kawaii Patch,PTRA Earring,None,None,47.12618005553661,11938
11938,None,None,FLOOR Tee,None,Robot,None,GRN Shape Up,None,Drip Scouter,None,None,None,16.223255276749633,11939
11939,None,None,V1 BLU SKL GRL,GRN,Human,None,FLME Head Scarf,Gas Mask,None,None,EKO TAT,None,33.49115142851357,11940
11940,None,IRI Blade CHKR,GM MONO HOODIE,None,Robot,None,RD Long,SPIDERZ,None,None,None,None,25.114239706545323,11941
11941,None,None,CAMO PFA JCKT,PNK-BLU,Human,None,BLCK Soundwave,None,Cyber Bindi,None,Band-Aid,None,35.75180927142281,11942
11942,None,None,Blade Melt Tee,GRN,Human,None,PNK Shape Up,None,Blindfold,None,None,None,20.950533078811393,11943
11943,None,GLD G-Link,BLCK Tee,None,Robot,None,None,Angry,None,None,None,None,24.11016670921035,11944
11944,MK1,None,PURP CAMO METAJACKET,None,Robot,None,None,None,Cyber Eyes,None,None,None,28.655173776282073,11945
11945,None,RBY Two Piece,NEON HOODIE,BLU,Human,None,PNK Curtains,None,None,None,None,None,18.336764040393682,11946
11946,ICE,RNBW G-Link,BLCK BNDN Shirt,None,Demon,None,MNT Long,None,None,None,None,None,30.671104539710374,11947
11947,MURAKAMI DRIP,GLD G-Link,GRN TCTL Vest,AWAKEN,Human,PNK UNDRWRLD WINGZ,META LEOPARD TECH Cap,Tan Tan Bo,None,None,None,None,56.62965531218622,11948
11948,None,None,BLCK Tee,None,Robot,None,DAD Cap,ICED GRILLZ,None,None,None,None,14.210423367904596,11949
11949,None,DRIP CHRM,PNK Waistcoat,PNK,Human,None,GRN Shape Up,None,None,None,None,None,18.369885686745842,11950
11950,None,DRIP CHRM,V1 WHT SKL GRL,None,Robot,None,BRWN Buns,None,None,None,None,None,14.398729102659816,11951
11951,MURAKAMI DRIP,None,CLNX HOODIE,None,Robot,None,GRY KO2 Tiara,None,None,None,None,None,13.830873168374314,11952
11952,None,WGLD Iced Cuban,JS HOODIE,None,Robot,None,BLU Curtains,GLD GRILLZ,None,None,None,None,24.82466084863954,11953
11953,MK2,CHRM,JS Tee,None,Robot,None,BLU Head Scarf,None,None,None,None,None,26.84307682457846,11954
11954,None,None,GRNDT Fur Coat,None,Robot,None,YU-RD,MAD,None,None,None,None,14.348591251168788,11955
11955,Divine,None,PNK ORNG Fur Coat,None,Angel,None,WHT Otaku,TCTL SMILE,None,None,None,None,30.670138541437737,11956
11956,None,None,RCS Tee,YLLW,Human,None,BLCK Beanie,Alien,Aviator,None,None,None,31.47469949978177,11957
11957,None,None,BLU PURP BNDN Shirt,BRWN,Human,None,PURP Wrap,None,None,PTRA Earring,None,None,23.6948355144864,11958
11958,MK1,Hi-TECH CBLE,Blade Melt Tee,None,Robot,None,BLU Sound Wave,SFTY Mask,None,None,None,None,36.735784861132515,11959
11959,None,RBY CBLE,RTFKT CHROME Tee,GRN,Human,None,BLCK Shape Up,None,None,None,Angry TAT,None,32.929939254847866,11960
11960,None,None,BLCK BNDN Shirt,PURP,Human,None,BLCK Shape Up,Angry,None,None,None,None,18.023545007334583,11961
11961,MURAKAMI DRIP,PNK ZK-BEADZ,WAGMI Tee,None,Robot,GRN UNDRWRLD WINGZ,BLU Shape Up,SMILEY RNBW,BTC,None,None,None,64.30040306684361,11962
11962,None,None,GRNDT Fur Coat,YLLW,Human,None,BLU Shape Up,SFTY Mask,None,SLVR STUD,None,None,34.341955840125955,11963
11963,Divine,None,BLCK TCTL Vest,None,Angel,None,BLND BWLCUT,None,Eye Patch,None,None,None,33.09550165798619,11964
11964,None,SPIKED CHKR,RFX Tee,None,Robot,None,BLU Shape Up,None,None,Cross Earring,None,None,29.85896699672087,11965
11965,None,S-HIRE G-Link,BLU HAWAIIAN Shirt,CLSD BLU,Human,None,BRWN 1 Horn,SFTY Mask,None,None,TRi HRUS TAT,None,44.366970692949124,11966
11966,None,None,BLU Tech JCKT,RD CRYSTL,Human,None,GOAT HRNS,None,None,None,None,None,8.9271081904677,11967
11967,None,None,GRNDT Fur Coat,None,Undead,None,WHT Unkept,None,DRIP VISION,None,None,None,22.290514323259078,11968
11968,ICE,None,BLCK PIN BKR JCKT,None,Demon,None,GRN Cyber Dreads,Cyber Jaw,None,None,None,None,30.67675698338455,11969
11969,None,None,CLNX FRSH Shirt,None,Angel,None,YU-BLCK,None,None,None,None,None,7.6673553274123245,11970
11970,MURAKAMI DRIP,SLVR G-Link,BRWN TCTL Vest,AWAKEN,Robot,None,WHT OCTOPUS,None,None,None,None,None,32.92436900292207,11971
11971,MURAKAMI DRIP,CHRM,GRNDT Fur Coat,AWAKEN,Human,None,RD Stylish,None,None,None,None,None,29.032319547248044,11972
11972,None,None,FLOOR Tee,PURP,Human,None,BRWN Shaggy,None,None,None,WARNING TAT,None,22.425728875977992,11973
11973,None,GLD CBLE,BLCK TCTL Vest,BRWN,Human,None,WHT Turban,None,None,None,WEBZ TAT,None,33.059586621215225,11974
11974,None,None,RTFKT CHROME Tee,BLU-PURP,Human,None,PNK BWLCUT,None,None,None,None,None,8.11983345925746,11975
11975,None,GLD Iced Cuban,WHT BKR JCKT,None,Robot,None,BRWN Ponytail,None,None,None,None,None,14.40346118224487,11976
11976,MK1,None,WHT Utility Vest,None,Robot,None,YU-BRED,None,None,None,None,None,15.73861882540972,11977
11977,None,None,RCS Tee,PNK,Human,None,BLCK Quiff,None,None,None,VSN TAT,None,22.427619651383974,11978
11978,None,None,BRWN TCTL Vest,None,Angel,None,WHT Turban,None,None,None,None,None,7.785654112476564,11979
11979,None,None,SPACE TRIP Tee,None,Robot,None,GRN Shape Up,None,3D,GLD Round,None,None,32.48779076374541,11980
11980,None,None,WHT BKR JCKT,None,Angel,None,BLND Ponytail,Lollipop,Drip Scouter,None,None,None,30.99194627385508,11981
11981,None,None,NEON HOODIE,BRWN,Human,None,BLU MoHWK,None,None,None,STARVSN TAT,None,22.616891383451645,11982
11982,ICE,None,BLU BNDN Shirt,None,Demon,None,RD Braid,SFTY Mask,VSN Glasses,None,None,None,43.41296625450134,11983
11983,None,GLD G-Link,BLU BNDN Shirt,YLLW,Human,None,WHT BWLCUT,Bubble,None,None,SWRD TAT,None,43.83417946217722,11984
11984,Divine,None,JS Tee,None,Angel,None,BRWN 2 Horns,Lollipop,None,None,None,None,30.458161014074147,11985
11985,None,SG-PDLCK,SPACE TRIP Tee,None,Robot,Deity Arms,BLCK Party Hat,None,None,None,None,None,30.789214296979985,11986
11986,None,None,WHT PNK Fur Coat,None,Robot,None,BLU Sound Wave,None,None,None,None,None,3.9299391842649265,11987
11987,None,SLVR Two Piece,Space PFA JCKT,None,Angel,None,GOAT HRNS,SMILE,Assault Glasses,None,None,None,41.42116079486936,11988
11988,None,PURP G-Link,RFX Tee,BRWN,Human,None,BLND Fro,RNBW GRILLS,None,Cross Earring,STARZ TAT,None,59.30451181169795,11989
11989,None,None,BLCK BNDN Shirt,CLSD BLU,Human,None,GRN Cyber Dreads,None,None,None,369 VSN TAT,None,23.256651830194066,11990
11990,MK-BLCK,None,LIME GANG,None,Robot,None,BLU Pigtails,Knife,None,None,None,None,26.884665738118052,11991
11991,None,SLVR Two Piece,Job Tee,PNK-BLU,Human,None,PNK MoHWK,None,None,None,None,None,18.74370832251048,11992
11992,None,S-HIRE G-Link,GM MONO HOODIE,GRN,Human,None,MEDUZA,None,None,None,None,None,18.52035723843957,11993
11993,None,None,ORNG FRSH Shirt,None,Robot,None,None,ROBO,None,Cross Earring,None,None,29.439764775017018,11994
11994,None,None,PURP KBA JCKT,BLCK Surprised,Human,None,PURP Shape Up,None,None,None,None,None,8.218236277298166,11995
11995,MK1,Hi-TECH CBLE,BLU BLW UP JCKT,None,Robot,None,DAD Cap,None,None,None,None,None,26.444604998528774,11996
11996,MURAKAMI DRIP,CYN CBLE,Blade Melt Tee,BRWN,Murakami,None,LoneSome Cowboy,SMILE,None,None,None,None,47.76138831097737,11997
11997,None,RD ZK-BEADZ,V6 WHT SKL GRL,CLSD BLU-PURP,Human,None,Witch,None,None,None,EKO TAT,None,34.359869332570156,11998
11998,MURAKAMI DRIP,ICED G-Link,BLCK PIN BKR JCKT,SPINNING,Human,None,PNK Spiked,None,None,None,None,None,29.389094456197956,11999
11999,None,None,BLU GRNG Dress,PNK-BLU,Human,None,BRWN Floral Wreath,None,Cyborg V2,None,None,None,21.544851673378602,12000
12000,None,None,CLNX FRSH Shirt,None,Robot,None,BLCK Unkept,Alien,None,None,None,None,14.243547487392282,12001
12001,None,None,MONO Tee,None,Undead,None,GHOST PIRATE,INFCTD,None,None,None,None,19.819679871187965,12002
12002,None,G-PDLCK,PURP Utility Vest,None,Robot,Energy Wings,BRWN Stylish,None,None,None,None,None,30.886682252746628,12003
12003,MURAKAMI DRIP,PURP G-Link,BLCK Jellyfish Tee,RNBW,Human,None,PNK Shape Up,Bamboo,BILLIONAIRE,None,None,None,52.49179996335431,12004
12004,None,None,PURP KBA JCKT,None,Robot,None,NVY DRDZ,None,None,None,None,None,3.78324394521362,12005
12005,None,None,BLCK TCTL Vest,BRWN,Human,None,BLCK Soundwave,None,Eye Patch,None,None,None,20.94769594562805,12006
12006,None,None,PNK Waistcoat,CLSD PURP,Human,None,BRWN Unkept,None,Cyborg V1,None,SMLY TAT,None,36.397215225489596,12007
12007,None,None,BLU ORNG BNDN Shirt,None,Robot,None,BLCK Beanie,ICED GRILLZ,None,Cross Earring,None,None,30.133430461944837,12008
12008,None,GLD Iced Cuban,BLU ORNG BNDN Shirt,None,Angel,None,GRN BWLCUT,None,None,None,None,None,18.292192217262194,12009
12009,None,S-PDLCK,CLNX FRSH Shirt,PNK-BLU,Human,None,WHT Unkept,None,None,None,None,None,18.57998548387725,12010
12010,None,PURP G-Link,YLLW BLW UP JCKT,BLU-PURP,Human,None,BLCK Stylish,TCTL SMILE,None,None,None,None,29.323772210039508,12011
12011,MURAKAMI DRIP,SLVR CBLE,CLNX FRSH Shirt,BLCK Surprised,Human,None,BLU Pigtails,Tan Tan Bo,None,None,None,None,39.334762574760404,12012
12012,ICE,None,MONO Fur Coat,None,Demon,None,GRN DRDZ,None,None,Neo Earrings,None,None,36.138772142756096,12013
12013,None,None,BLCK PIN BKR JCKT,GRN,Human,None,BLCK Beanie,None,None,None,SAD TAT,None,22.602690101606022,12014
12014,None,None,SPACE TRIP Tee,None,Robot,None,RD Pilot,SMILE,None,None,None,None,13.836598064005356,12015
12015,MK1,Hi-TECH CBLE,V6 WHT SKL GRL,None,Robot,None,PNK Curtains,None,None,None,None,None,26.337670071108498,12016
12016,None,None,ORNG HiTECH Dress,GRN,Human,None,LLC Ponytail,None,BILLIONAIRE,None,None,None,20.995954804714,12017
12017,STONED,None,HVY MTL HOODIE,BLU,Human,None,BLCK BRDZ,Angry,None,None,None,None,30.66373695838194,12018
12018,MURAKAMI DRIP,None,JELLYFISH BLW UP JCKT,RNBW,Human,None,RD DRDZ,Organism M78.8,Aviator,SLVR Round,None,None,58.109593958055626,12019
12019,MURAKAMI DRIP,None,GRN TCTL Vest,None,Robot,None,PNK OCTOPUS,SMILEY RNBW,Glass X,None,None,None,37.52408850207253,12020
12020,None,None,BLCK Tech JCKT,GRN,Human,None,TECH Cap,ROBO,None,None,BIRTHMRK,None,32.92429776952937,12021
12021,None,SLVR G-Link,PNK POLO,PNK-BLU,Human,None,BLCK Bandana TECH Cap,BLCK Long Beard,None,None,None,None,29.567936131082966,12022
12022,MURAKAMI DRIP,None,GRN Tech JCKT,AWAKEN,Robot,GRN UNDRWRLD WINGZ,Flower Hat,TRIP,None,None,None,None,49.93848761868667,12023
12023,None,GLD CBLE,SPACE TRIP Tee,None,Robot,None,BLCK Shape Up,MAD,None,None,None,None,24.396903341392417,12024
12024,None,None,CAMO PFA JCKT,GRN,Human,None,GRN Shape Up,ROBO,None,None,333 VSN TAT,None,32.61958014689883,12025
12025,None,CYN CBLE,CLNX Tee,PURP,Human,None,GRN Shape Up,Ramen,None,None,SKULL WEBZ TAT,None,43.32696200110409,12026
12026,None,None,RFX Tee,None,Robot,None,NVY DRDZ,None,None,None,None,None,3.5778750143041513,12027
12027,MURAKAMI DRIP,SLVR G-Link,RFX Tee,YLLW Breezy,Human,None,PNK BWLCUT,Jagged RNBW,None,GLD STUD,369 TAT,None,69.99884692530772,12028
12028,None,KAWAII CHRM,PNK Utility Vest,CLSD YLLW,Human,None,BLND Curtains,None,None,None,EKO TAT,None,33.98038790073855,12029
12029,STONED,None,BLCK BNDN Shirt,None,Human,None,PIRATE,None,Cyber Eyes,None,None,None,25.504474704779646,12030
