,Background,Pattern,Skin,Clothes,Nose,Eyes,Hat,Type,Tattoo,Mouth,Skeleton,Goldchain,Rarity score,Token Id
5408,Light Red,Flower Pattern,Aquamarine,Bandana Blue,Normal,Cute Eyes,Headband Red,Skeleton,Big Tattoos,None,Painted Skeleton,None,42.57013498913459,5408
5409,Aquamarine,Aztec Patterns,Yellow,Hoodie Grey CM,Normal,Cute Spider Eyes,Arrow,Skeleton,Small Tattoos,None,Painted Skeleton,Gold Chain Skull,64.92256341941912,5409
5410,Green,None,Yellow,Tank Top Grey POM,Normal,Pirate Patch Evil Morty,Beret Green,Skeleton,Big Tattoos,Special Cigarette,Painted Skeleton,None,62.52115560251866,5410
5411,Blue,Aztec Patterns,Red,Work Outfit Red,Normal,Crazy Eyes,None,Skeleton,Small Tattoos,None,None,None,21.895792638210306,5411
5412,Green,None,Red,T Pink B&B,Normal,Bored Eyes,Bucket Hat CM+B&B,Skeleton,Small Tattoos,None,None,None,23.185791923934655,5412
5413,Purple,Aztec Patterns,None,Astro White,Normal,Cute Spider Eyes,Party Hat,Devil,None,None,Painted Skeleton,None,45.36508806624449,5413
5414,Light Red,None,None,Work Outfit Red,Normal,Retro Cartoon Eyes 2,Sea Captain's Hat,Robot,Big Tattoos,Cigarette,None,None,61.55451249142503,5414
5415,Grey,None,Blue,Pharaoh Neckless,Normal,Aviator Glasses,Knitted Beanie Orange,Skeleton,None,None,Painted Skeleton,None,27.64015633705938,5415
5416,Aquamarine,None,Red,Freedy Tank Top,Normal,Retro Cartoon Eyes,Rat Ears,Skeleton,None,None,None,None,11.874086245194299,5416
5417,Purple,Flower Pattern,None,Hoodie Grey CM,Normal,Happy Eyes,Arrow,Devil,None,None,None,None,28.006972449122784,5417
5418,Grey,Aztec Patterns,None,Suit Black,Normal,Exasperated Eyes,None,Skeleton,Big Tattoos,None,None,None,15.382807874871842,5418
5419,Light Orange,None,Blue,None,Normal,Dead Eyes,Knight Helmet,Skeleton,None,None,None,Gold Chain Skull,37.122976003929985,5419
5420,Blue,Aztec Patterns,None,Tank Top Pink CM,Normal,Exasperated Eyes,Clown Hair Blue,Zombie,None,None,None,None,27.238081949221165,5420
5421,Blue,Flower Pattern,Red,Synthetic Cool Cat Fur Coat,Normal,Square Shades,Headband Red,Skeleton,Small Tattoos,None,None,None,25.488777064331448,5421
5422,Grey,Flower Pattern,Aquamarine,Sweater Pink CM,Normal,Bored Eyes,Pirate Hat POM,Skeleton,Small Tattoos,None,None,None,27.521167060233708,5422
5423,Blue,Aztec Patterns,Yellow,Synthetic Cool Cat Fur Coat,Normal,Cute Eyes,None,Skeleton,None,Special Cigarette,None,None,34.610396834433175,5423
5424,Light Red,None,None,Sheriff Outfit,Clown,Pirate Patch Bloodshot,Super Saiyan,Zombie,Small Tattoos,Pipe,None,None,88.86565210383938,5424
5425,Blue,None,None,Bandana Red,Normal,Retro Cartoon Eyes,Dread Long Brown,Robot,None,None,None,None,26.533634857877246,5425
5426,Blue,Aztec Patterns,Yellow,Suit Blue,Normal,Exasperated Eyes,None,Skeleton,Small Tattoos,None,None,None,21.14165867485792,5426
5427,Light Red,None,None,Hoodie Green B&B,Normal,Crazy Eyes,Party Hat,Robot,None,None,None,None,27.922460649950686,5427
5428,Purple,None,None,Dress Pink,Normal,Happy Eyes,Clown Hair Red,Skeleton,Big Tattoos,Tongue,Painted Skeleton,None,53.24629639572799,5428
5429,Green,None,None,Rick Outfit,Normal,Angry Eyes,Hippie Hat,Zombie,None,None,None,None,26.11419112026117,5429
5430,Grey,Aztec Patterns,None,Admirals Coat White ,Normal,Bloodshot,None,Devil,Small Tattoos,None,None,None,36.086298339015634,5430
5431,Aquamarine,Flower Pattern,Aquamarine,Work Outfit Blue,Clown,Dead Eyes,Rat Ears,Skeleton,None,None,None,None,45.682510585851944,5431
5432,Light Orange,None,None,Tank Top Blue B&B,Normal,Exasperated Eyes,Manga Hair  Dark,Robot,None,Cigarette,None,None,47.824880333820566,5432
5433,Grey,Flower Pattern,None,Hoodie Black POM,Normal,Happy Eyes,None,Devil,Small Tattoos,None,Painted Skeleton,None,48.14812843152252,5433
5434,Aquamarine,Flower Pattern,Red,Galactical Emperor Suit,Normal,Bored Eyes,Bandana Dark,Skeleton,Big Tattoos,Tongue,None,None,49.2722763892959,5434
5435,Light Orange,Flower Pattern,Blue,Armor Black,Normal,Happy Eyes,Flower Blue,Skeleton,None,None,None,None,12.791127225917482,5435
5436,Aquamarine,None,None,Hoodie Grey CM,Normal,Retro Cartoon Eyes,Flower Crown Pink,Zombie,Small Tattoos,None,None,None,34.866125674389224,5436
5437,Beige,None,Blue,Bandana Red,Normal,Exasperated Eyes,Dread Short Red,Skeleton,None,None,None,None,11.743043857291283,5437
5438,Light Orange,None,None,Dress Blue,Normal,Regular Glasses,Savage Hair Dark,Zombie,None,Cigarette,None,None,46.69799749727668,5438
5439,Light Orange,Aztec Patterns,None,Bathrobe Pink,Normal,Bloodshot,Workers Hard Hat,Skeleton,None,None,None,None,8.819981017993065,5439
5440,Blue,Flower Pattern,Blue,T Pink B&B,Normal,Sad Eyes,Native Americain Headdress Big,Skeleton,Small Tattoos,None,Painted Skeleton,None,40.267093360817114,5440
5441,Blue,Aztec Patterns,Blue,Leather Jacket,Normal,Retro Cartoon Eyes 2,Manga Hair  Purple,Skeleton,None,None,Painted Skeleton,Gold Chain GM,56.51508283858638,5441
5442,Green,Aztec Patterns,Red,T Grey POM,Normal,Retro Cartoon Eyes,Pyramid Hat,Skeleton,None,None,None,None,13.061956238695135,5442
5443,Grey,Aztec Patterns,Aquamarine,Galactical Emperor Suit,Normal,VR Glasses,None,Skeleton,Big Tattoos,None,Painted Skeleton,None,40.38946401282503,5443
5444,Green,Flower Pattern,None,Hoodie Grey CM,Normal,Cyclop Eye,Dread Short Brown,Zombie,Big Tattoos,None,None,Gold Chain GM,64.60223246987651,5444
5445,Beige,Aztec Patterns,Red,Badass Leather Jacket,Normal,Happy Eyes,Pirate Hat POM,Skeleton,Small Tattoos,Cigarette,Painted Skeleton,None,58.669269210211795,5445
5446,Beige,Aztec Patterns,Yellow,Work Outfit Blue,Normal,Retro Cartoon Eyes 2,Party Hat,Skeleton,None,Tongue,None,None,37.26571618732946,5446
5447,Purple,Aztec Patterns,Aquamarine,None,Normal,Pirate Patch Evil Morty,Dread Short Dark,Skeleton,None,Cigarette,None,None,39.76966614227271,5447
5448,Aquamarine,Aztec Patterns,None,Admirals Coat Black,Normal,Exasperated Eyes,Viking Helmet,Skeleton,None,None,Painted Skeleton,Gold Chain Skull,48.00876027404306,5448
5449,Purple,None,Blue,Shaolin Outfit,Normal,Square Shades,Headband Red,Skeleton,None,None,None,None,13.781274612644518,5449
5450,Beige,Aztec Patterns,Red,Admirals Coat Blue,Normal,Heart Eyes,Headband Red,Skeleton,Small Tattoos,None,None,None,25.0200265117479,5450
5451,Light Red,Aztec Patterns,None,Italian Plumber Oufit,Normal,Retro Cartoon Eyes,Savage Hair Red,Skeleton,None,None,None,None,6.965141279933483,5451
5452,Light Orange,None,None,Hoodie Black POM,Normal,Cyclop Eye,Viking Helmet,Zombie,Big Tattoos,None,None,Gold Chain Skull,61.04172601202953,5452
5453,Grey,None,Aquamarine,T Grey POM,Normal,Exasperated Eyes,Bowler Hat,Skeleton,None,None,Painted Skeleton,None,28.644711623122287,5453
5454,Blue,None,Black,Synthetic Cool Cat Fur Coat,Normal,Retro Cartoon Eyes,Pirate Hat CM,Skeleton,None,None,None,Gold Chain Skull,39.2542650221195,5454
5455,Light Orange,Aztec Patterns,Yellow,Hoodie Green B&B,Normal,Bored Eyes,Octopus,Skeleton,None,Cigarette,Painted Skeleton,None,50.94872136136125,5455
5456,Purple,Flower Pattern,Yellow,Hoodie Grey CM,Normal,Strider Glasses,Flower Hat,Skeleton,None,None,None,None,16.276525187367096,5456
5457,Aquamarine,Aztec Patterns,Yellow,Shaolin Outfit,Normal,Cyclop Eye,Manga Hair  Dark,Skeleton,Small Tattoos,None,None,None,25.08697702290123,5457
5458,Light Orange,Aztec Patterns,Blue,Leather Jacket,Normal,Happy Eyes,Sea Captain's Hat,Skeleton,Big Tattoos,Cigarette,Painted Skeleton,None,60.081289679254404,5458
5459,Light Red,None,None,Hoodie Pink CM,Normal,Retro Cartoon Eyes,None,Skeleton,Big Tattoos,None,None,None,11.597518702550884,5459
5460,Blue,Aztec Patterns,Blue,Bathrobe Pink,Normal,Exasperated Eyes,Dread Long Dark,Skeleton,Small Tattoos,None,None,None,25.692599641097296,5460
5461,Green,Aztec Patterns,Aquamarine,Admirals Coat Black,Normal,Exasperated Eyes,None,Skeleton,None,None,None,None,13.280362061182688,5461
5462,Light Red,None,Red,Tank Top Grey POM,Normal,Happy Eyes,Clown Hair Red,Skeleton,None,None,None,None,10.292980165493107,5462
5463,Aquamarine,Flower Pattern,None,Leather Jacket,Normal,Heart Eyes,Manga Hair  Blue,Zombie,None,None,None,None,28.07955546670372,5463
5464,Purple,Flower Pattern,Rainbow,Roman Soldier Armor,Normal,Angry Eyes,Bucket Hat Flower,Skeleton,Small Tattoos,None,None,None,30.91614722325054,5464
5465,Light Red,Flower Pattern,Red,None,Normal,Regular Glasses,Knitted Beanie Orange,Skeleton,None,None,Painted Skeleton,None,28.76386894035284,5465
5466,Beige,Flower Pattern,Red,Pharaoh Neckless,Normal,Angry Eyes,None,Skeleton,None,None,None,None,10.502466695458992,5466
5467,Beige,None,None,Hoodie Blue B&B,Normal,Exasperated Eyes,Top Hat,Skeleton,Small Tattoos,None,None,None,15.947733957700233,5467
5468,Green,Aztec Patterns,Aquamarine,Dress Pink,Normal,Retro Cartoon Eyes,Coonskin,Skeleton,Big Tattoos,None,None,None,26.860204660705744,5468
5469,Light Red,Aztec Patterns,None,Rick Outfit,Normal,Dead Eyes,Mohawk,Zombie,None,Special Cigarette,None,None,51.28927854671065,5469
5470,Beige,None,Yellow,Hoodie Black POM,Normal,Happy Eyes,Dread Long Brown,Skeleton,None,None,Painted Skeleton,None,24.641152928331962,5470
5471,Green,Aztec Patterns,None,Sweater Pink CM,Normal,Exasperated Eyes,None,Skeleton,Big Tattoos,Cigarette,None,None,35.98189838425366,5471
5472,Grey,None,Red,Fake Shaolin Outfit,Normal,Regular Glasses,Sushi Chef Headband,Skeleton,None,Cigarette,None,None,33.92342452655674,5472
5473,Grey,None,None,Tank Top Blue B&B,Normal,Elton John's glasses,None,Skeleton,Big Tattoos,None,None,None,14.034696105273264,5473
5474,Light Orange,None,Blue,Hoodie Pink CM,Normal,John Glasses,Coonskin,Skeleton,None,None,None,None,13.7376049829358,5474
5475,Beige,None,Red,Pharaoh Neckless,Normal,Crazy Eyes,Headband Red,Skeleton,None,None,None,None,12.188534202906313,5475
5476,Light Red,None,None,Tank Top Grey POM,Normal,Pirate Patch Bloodshot,Knitted Beanie Red,Devil,Big Tattoos,None,None,None,38.40091227090487,5476
5477,Aquamarine,None,Black,Tank Top Pink CM,Normal,Heart Eyes,Bowler Hat,Skeleton,None,None,Painted Skeleton,None,31.107976402351962,5477
5478,Light Red,Flower Pattern,Blue,Leather Jacket,Normal,Happy Eyes,Savage Hair Red,Skeleton,None,None,Painted Skeleton,None,26.99357128224541,5478
5479,Light Orange,None,Yellow,Caesar Outfit,Normal,Retro Cartoon Eyes,Musician Hat,Skeleton,None,None,Painted Skeleton,None,26.050395435169538,5479
5480,Grey,Flower Pattern,Blue,T Pink B&B,Normal,3D Glasses,None,Skeleton,Big Tattoos,None,None,None,22.41407978534954,5480
5481,Beige,Flower Pattern,Blue,Hoodie Green B&B,Normal,Retro Cartoon Eyes,Mohawk,Skeleton,Small Tattoos,Cigarette,None,None,44.50044258134396,5481
5482,Purple,Flower Pattern,Yellow,Hoodie Red CM,Normal,Cute Eyes,None,Skeleton,None,None,Painted Skeleton,Gold Chain Skull,50.613746039536146,5482
5483,Grey,None,None,Tank Top Blue B&B,Normal,Hero Mask,Savage Hair Red,Skeleton,Big Tattoos,None,None,None,17.54045455687578,5483
5484,Light Orange,Aztec Patterns,None,T Grey POM,Normal,Gas Mask Exasperated,None,Zombie,Big Tattoos,None,None,None,35.832771991138046,5484
5485,Purple,Flower Pattern,None,Sheriff Outfit,Normal,Pirate Patch Bloodshot,Sangoku,Skeleton,None,None,Painted Skeleton,None,24.8833967449731,5485
5486,Green,Flower Pattern,Yellow,Sweater Pink CM,Normal,Happy Eyes,Headband Red,Skeleton,Big Tattoos,None,None,None,23.15943281951064,5486
5487,Light Orange,None,Red,None,Normal,Cyclop's Glasses,None,Skeleton,Big Tattoos,None,None,None,20.533249656342186,5487
5488,Light Red,Flower Pattern,Blue,Hoodie Black POM,Normal,Exasperated Eyes,Clown Hair Blue,Skeleton,Big Tattoos,Cigarette,None,None,46.56175063626031,5488
5489,Light Red,Flower Pattern,Blue,Work Outfit Blue,Normal,Angry Eyes,Savage Hair Dark,Skeleton,3,None,None,None,31.94091593309648,5489
5490,Green,None,Yellow,Hoodie Black POM,Normal,Aviator Glasses,None,Skeleton,Small Tattoos,None,None,None,19.7179669071968,5490
5491,Beige,None,Blue,Italian Plumber Oufit,Normal,Regular Glasses,Knitted Beanie Red,Skeleton,None,None,None,None,12.762157630363372,5491
5492,Beige,Aztec Patterns,Yellow,Tank Top Blue B&B,Normal,Square Shades,Ninja Balaclava,Skeleton,Small Tattoos,Cigarette,Painted Skeleton,None,60.92262516055643,5492
5493,Beige,Aztec Patterns,Blue,T Grey POM,Normal,Heart Eyes,Dread Short Dark,Skeleton,Big Tattoos,None,None,None,25.599453703775787,5493
5494,Green,Aztec Patterns,Blue,None,Normal,Bloodshot,Knitted Beanie Orange,Skeleton,None,None,None,None,14.16549268634598,5494
5495,Green,None,None,Sweater Pink CM,Normal,Happy Eyes,Flower Crown Blue,Zombie,Big Tattoos,None,None,None,34.60114411959021,5495
5496,Green,Aztec Patterns,None,Hoodie Red CM,Normal,Visor Rick Eyes,Native Americain Headdress Small,Zombie,None,None,None,None,29.156847848373335,5496
5497,Light Orange,None,Red,Hoodie Black POM,Normal,Dia De Los Muertos Eyes,None,Skeleton,None,None,None,None,9.227246964246346,5497
5498,Beige,Flower Pattern,Aquamarine,Galactical Emperor Suit,Normal,Retro Cartoon Eyes,None,Skeleton,Big Tattoos,None,Painted Skeleton,None,37.02953592598563,5498
5499,Beige,Aztec Patterns,None,Pharaoh Neckless,Normal,Bored Eyes,Deer Horns,Skeleton,None,None,None,None,8.697683740925946,5499
5500,Purple,None,Red,Hoodie Black POM,Normal,Pirate Patch Exasperated,Pirate Hat CM,Skeleton,None,None,None,None,14.162736577597205,5500
5501,Aquamarine,None,None,Fake Shaolin Outfit,Normal,Heart Eyes,Native Americain Headdress Small,Devil,Big Tattoos,None,None,None,39.041436107834016,5501
5502,Beige,Aztec Patterns,Aquamarine,Tank Top Grey POM,Normal,Regular Glasses,Party Hat,Skeleton,None,None,Painted Skeleton,None,31.00585965005501,5502
5503,Beige,Aztec Patterns,Red,Bathrobe White,Normal,Pirate Patch Bloodshot,Shell Green,Skeleton,None,None,None,None,15.37100026964433,5503
5504,Light Orange,Aztec Patterns,None,Admirals Coat White ,Normal,Bloodshot,Knitted Beanie Red,Skeleton,None,None,None,None,8.357002779783278,5504
5505,Aquamarine,Flower Pattern,Yellow,Sweater Green CM,Normal,Strider Glasses,Knitted Beanie Orange,Skeleton,Small Tattoos,None,Painted Skeleton,None,40.05454401344516,5505
5506,Green,Aztec Patterns,Aquamarine,King Robe,Normal,Pirate Patch Peaceful,Arrow,Skeleton,None,None,None,None,18.32643482012776,5506
5507,Light Red,Flower Pattern,Black,Hoodie Red CM,Normal,Gas Mask Exasperated,None,Skeleton,None,None,Painted Skeleton,None,29.867464500424912,5507
5508,Purple,Flower Pattern,Blue,Suit Blue,Normal,Happy Eyes,Pirate Hat CM,Skeleton,None,None,Painted Skeleton,None,28.71435273331442,5508
5509,Green,Aztec Patterns,Red,Tank Top Pink CM,Normal,Pirate Patch Bloodshot,Manga Hair  Dark,Skeleton,None,None,None,None,14.838135134443014,5509
5510,Purple,Flower Pattern,None,Fake Shaolin Outfit,Normal,Happy Eyes,Arrow,Zombie,Big Tattoos,None,None,None,37.52728141347351,5510
5511,Blue,Aztec Patterns,Red,Bandana Red,Normal,Fantasia Eyes,None,Skeleton,None,None,Painted Skeleton,None,26.230757160714163,5511
5512,Aquamarine,None,Yellow,Bathrobe Pink,Normal,Dead Eyes,Dread Long Blond,Skeleton,None,None,None,None,13.370727132916754,5512
5513,Light Orange,None,None,Roman Soldier Armor,Normal,Dead Eyes,Feather,Skeleton,Small Tattoos,Cigarette,None,None,38.48884851570597,5513
5514,Grey,Aztec Patterns,Yellow,Bear Fur,Normal,Hero Mask,Biker Helmet Blue Spikes CM,Skeleton,Small Tattoos,Cigarette,Painted Skeleton,None,61.84846863502985,5514
5515,Grey,None,None,Denim Overalls,Normal,Retro Cartoon Eyes,Dread Long Red,Skeleton,None,Cigarette,None,None,25.55298310475502,5515
5516,Light Red,Aztec Patterns,None,None,Normal,Bored Eyes,Savage Hair Red,Zombie,Big Tattoos,None,None,None,38.52301645672648,5516
5517,Purple,None,None,T Pink B&B,Normal,Sad Eyes,Deer Horns,Robot,Big Tattoos,None,None,Gold Chain Skull,64.43354989945809,5517
5518,Blue,Flower Pattern,None,Hoodie Black POM,Normal,Laser Eyes,Beret Green,Devil,None,None,None,None,30.586680360027184,5518
5519,Light Red,Flower Pattern,Red,Suit Blue,Normal,Exasperated Eyes,Metal Spikes Mohawk,Skeleton,None,None,None,Gold Chain GM,40.19450623289497,5519
5520,Green,Aztec Patterns,None,Armor Blue,Normal,Bloodshot,Cap B&B Purple,Devil,Big Tattoos,None,Painted Skeleton,None,55.49053363699874,5520
5521,Light Red,Flower Pattern,Aquamarine,Hoodie Red CM,Normal,Visor Retro Cartoon Eyes,None,Skeleton,Big Tattoos,None,Painted Skeleton,None,39.8013158849345,5521
5522,Light Red,Flower Pattern,None,Bathrobe White,Normal,Elton John's glasses,Octopus,Zombie,None,None,None,Gold Chain Skull,53.43478709899122,5522
5523,Grey,Aztec Patterns,Blue,Denim Overalls,Normal,Bloodshot,Headband Red,Skeleton,None,None,None,None,14.113078524306752,5523
5524,Purple,Aztec Patterns,Yellow,Tank Top Grey POM,Normal,Cool Shades,Bowler Hat,Skeleton,None,None,None,None,16.098899777971784,5524
5525,Purple,Aztec Patterns,Aquamarine,Hoodie Black POM,Normal,Retro Cartoon Eyes,Hippie Hat,Skeleton,Big Tattoos,None,None,None,27.710433770355518,5525
5526,Beige,None,None,Bandana Red,Normal,Thug Life Glasses,None,Skeleton,None,None,Painted Skeleton,None,17.085970948815856,5526
5527,Blue,Flower Pattern,None,Samurai Blue,Normal,Retro Cartoon Eyes,Shell Green,Skeleton,Small Tattoos,None,None,None,17.82576224359587,5527
5528,Green,Aztec Patterns,Blue,Suit Blue,Normal,Hero Mask,Shell Green,Skeleton,None,None,None,None,16.331867876604512,5528
5529,Beige,Aztec Patterns,Red,Sheriff Outfit,Normal,Thug Life Glasses,Chef's Hat,Skeleton,None,None,None,None,15.670912465212302,5529
5530,Blue,Aztec Patterns,Blue,None,Normal,Sad Eyes,Ninja Balaclava,Skeleton,None,None,None,None,15.21081673953436,5530
5531,Blue,None,Yellow,Suit Blue,Normal,Cyclop Eye,Flower Crown Blue,Skeleton,None,None,None,None,12.814570334669813,5531
5532,Green,Aztec Patterns,None,Samurai Black,Normal,Angry Eyes,Dread Long Brown,Zombie,None,None,None,None,28.504632601476406,5532
5533,Aquamarine,Flower Pattern,Aquamarine,Leather Jacket,Normal,Happy Eyes,Shell Blue,Skeleton,Small Tattoos,None,None,None,26.2604187212781,5533
5534,Aquamarine,Flower Pattern,Yellow,T Grey POM,Normal,Dia De Los Muertos Eyes,Headband Red,Skeleton,None,None,None,None,15.030280868553442,5534
5535,Beige,Aztec Patterns,Blue,Tank Top Pink CM,Normal,Angry Eyes,Manga Hair  Dark,Skeleton,None,None,Painted Skeleton,None,28.5425707045106,5535
5536,Light Orange,None,None,Denim Overalls,Normal,Retro Cartoon Eyes,Dread Short Red,Zombie,Small Tattoos,Cigarette,None,None,55.51920771018541,5536
5537,Aquamarine,None,Black,Sheriff Outfit,Normal,Heart Eyes,Manga Hair  Dark,Skeleton,Big Tattoos,Cigarette,None,None,48.57376467440516,5537
5538,Light Orange,Flower Pattern,None,Leather Jacket,Normal,Bored Eyes,Party Hat,Devil,Small Tattoos,None,Painted Skeleton,None,54.13978076588474,5538
5539,Aquamarine,Flower Pattern,None,T Grey POM,Normal,Cyclop Eye,Musician Hat,Skeleton,Big Tattoos,None,Painted Skeleton,None,34.171066111871944,5539
5540,Light Orange,Aztec Patterns,Yellow,None,Normal,Bloodshot,Party Hat,Skeleton,Big Tattoos,None,None,None,24.95887336180277,5540
5541,Blue,Aztec Patterns,None,Badass Leather Jacket,Normal,Exasperated Eyes,Biker Helmet Green Goggles,Skeleton,None,None,None,None,8.324956984823235,5541
5542,Light Red,Aztec Patterns,None,DBZ Outfit,Normal,Angry Eyes,Dread Long Dark,Devil,Small Tattoos,None,None,Gold Chain Skull,65.15853281338372,5542
5543,Green,Flower Pattern,None,Hoodie Blue B&B,Normal,Retro Cartoon Eyes,Rick Hair,Skeleton,Big Tattoos,None,None,None,18.145986591259547,5543
5544,Light Orange,Aztec Patterns,Yellow,Dress Pink,Normal,Fantasia Eyes,Pirate Hat POM,Skeleton,None,None,None,None,15.77571573541319,5544
5545,Purple,None,Blue,Butler Outfit,Normal,Exasperated Eyes,Cap POM Black,Skeleton,None,None,None,None,13.36490035981736,5545
5546,Blue,None,None,Bandana Blue,Normal,Crazy Eyes,Native Americain Headdress Small,Zombie,None,None,None,None,25.916183080233257,5546
5547,Purple,Aztec Patterns,None,Dress Pink,Normal,Mask and Tuba Angry,Flower Blue,Zombie,None,None,None,None,29.124827682888537,5547
5548,Beige,Aztec Patterns,Aquamarine,Bandana Blue,Normal,Happy Eyes,None,Skeleton,None,None,None,None,10.56367751870193,5548
5549,Blue,None,None,Hoodie Grey CM,Normal,Pirate Patch Evil Morty,Party Hat,Robot,Big Tattoos,None,None,None,39.87702139411263,5549
5550,Light Red,None,Blue,Synthetic Cool Cat Fur Coat,Normal,Bored Eyes,None,Skeleton,None,None,Painted Skeleton,None,23.534748529452372,5550
5551,Purple,Aztec Patterns,None,Roman Soldier Armor,Normal,Exasperated Eyes,Dead Cool Cat,Skeleton,None,None,None,None,9.46056718469409,5551
5552,Blue,Flower Pattern,Yellow,Denim Overalls,Normal,Hero Mask,Manga Hair  Dark,Skeleton,None,None,None,None,14.902174585862141,5552
5553,Light Red,Flower Pattern,Yellow,Denim Overalls,Normal,Happy Eyes,Dread Long Blond,Skeleton,None,Cigarette,None,None,33.66990634127195,5553
5554,Beige,Aztec Patterns,Yellow,Butler Outfit,Normal,Square Shades,Flower Blue,Skeleton,None,None,None,None,14.631388676679139,5554
5555,Grey,None,Blue,Suit Black,Normal,Angry Eyes,Chef's Hat,Skeleton,None,None,None,None,13.329956036132693,5555
5556,Green,None,None,Badass Leather Jacket,Normal,Happy Eyes,None,Zombie,Big Tattoos,Cigarette,None,None,51.80715799371101,5556
5557,Light Red,Flower Pattern,Aquamarine,Pharaoh Neckless,Normal,Retro Cartoon Eyes 2,Flower Blue,Skeleton,None,None,None,None,17.752789841551845,5557
5558,Light Orange,Aztec Patterns,Red,Badass Leather Jacket,Normal,Spider Eyes,Devil Horns,Skeleton,Small Tattoos,None,None,None,26.534114223028617,5558
5559,Grey,None,None,Bear Fur,Normal,Happy Eyes,None,Robot,None,None,None,None,22.01472744577796,5559
5560,Blue,Flower Pattern,Red,Astro White,Normal,Exasperated Eyes,Cap POM Black,Skeleton,None,Cigarette,Painted Skeleton,None,50.45088179925629,5560
5561,Grey,Flower Pattern,None,Bear Fur,Normal,Cute Eyes,Ninja Balaclava,Skeleton,None,None,None,None,8.866569574152976,5561
5562,Beige,Flower Pattern,Yellow,Samurai Black,Normal,Bloodshot,Flower Hat,Skeleton,None,None,None,None,14.357680943154886,5562
5563,Aquamarine,None,Red,Synthetic Cool Cat Fur Coat,Normal,Aviator Glasses,None,Skeleton,Small Tattoos,None,None,None,20.12267188717585,5563
5564,Grey,None,None,Bandana Blue,Normal,Retro Cartoon Eyes,Cap POM Black,Devil,None,None,None,None,25.281659304323323,5564
5565,Blue,None,Yellow,Bandana Red,Normal,Retro Cartoon Eyes,Viking Helmet,Skeleton,None,None,None,Gold Chain Skull,35.32073477540769,5565
5566,Light Orange,None,Red,Synthetic Cool Cat Fur Coat,Normal,Aviator Glasses,None,Skeleton,Big Tattoos,None,None,None,20.419686713679226,5566
5567,Light Red,None,Red,Dress Pink,Normal,Retro Cartoon Eyes 2,Astro White,Skeleton,None,None,Painted Skeleton,None,27.948833740920126,5567
5568,Beige,Aztec Patterns,None,Angel Wings,Normal,Bored Eyes,Mummy,Skeleton,None,None,None,None,9.05293862747596,5568
5569,Beige,Aztec Patterns,None,None,Normal,Aviator Glasses,Savage Hair Dark,Skeleton,Big Tattoos,None,None,None,19.48835634290145,5569
5570,Light Red,None,None,Rick Outfit,Normal,Exasperated Eyes,Manga Hair  Blue,Skeleton,Small Tattoos,Tongue,Painted Skeleton,None,53.61899839253663,5570
5571,Purple,Aztec Patterns,None,Badass Leather Jacket,Normal,Heart Glasses,Mummy,Skeleton,Small Tattoos,None,Painted Skeleton,None,35.571527970597025,5571
5572,Aquamarine,Aztec Patterns,None,Samurai Blue,Normal,Cool Shades,Bandana Dark,Zombie,Big Tattoos,None,None,None,40.21461162142646,5572
5573,Light Orange,Flower Pattern,Yellow,Tank Top Pink CM,Normal,Exasperated Eyes,Party Hat,Skeleton,None,None,Painted Skeleton,None,27.890363611741797,5573
5574,Light Red,Aztec Patterns,Blue,Bandana Blue,Normal,Square Shades,Headphones,Skeleton,Big Tattoos,Cigarette,None,None,47.83407621382053,5574
5575,Light Orange,None,Red,T Grey POM,Normal,Retro Cartoon Eyes,Roman Helmet,Skeleton,None,Cigarette,None,None,31.8008680851566,5575
5576,Light Red,Aztec Patterns,None,Hoodie Pink CM,Normal,Happy Eyes,Metal Spikes,Skeleton,None,None,None,None,6.4875998952681115,5576
5577,Aquamarine,Aztec Patterns,Yellow,Astro White,Normal,Aviator Glasses,Halo,Skeleton,None,None,None,None,16.547327690731343,5577
5578,Light Red,Flower Pattern,Red,Sweater Pink CM,Normal,Cool Shades,Native Americain Headdress Small,Skeleton,None,Cigarette,None,None,35.90020360690048,5578
5579,Light Orange,Aztec Patterns,None,Hoodie Grey CM,Normal,Exasperated Eyes,None,Skeleton,None,None,Painted Skeleton,None,18.503848171597454,5579
5580,Grey,Aztec Patterns,None,Shaolin Outfit,Normal,Regular Glasses,Feather,Skeleton,Big Tattoos,None,None,None,20.268695058487175,5580
5581,Blue,Flower Pattern,Red,Knight Armor,Normal,Gas Mask Exasperated,None,Skeleton,None,None,None,None,12.197117961074163,5581
5582,Blue,Flower Pattern,Aquamarine,Hoodie Grey CM,Normal,Elton John's glasses,Savage Hair Red,Skeleton,None,None,None,None,17.878000212200554,5582
5583,None,None,None,None,None,None,None,Special,None,None,None,None,57.90956589282762,5583
5584,Beige,Aztec Patterns,Yellow,Bathrobe Blue,Normal,Retro Cartoon Eyes,Bandana Dark,Skeleton,Big Tattoos,Cigarette,Painted Skeleton,None,59.70862583330282,5584
5585,Light Orange,Flower Pattern,None,Sweater Green CM,Normal,Happy Eyes,Knitted Beanie Orange,Skeleton,Small Tattoos,None,None,None,16.203955840231018,5585
5586,Purple,Aztec Patterns,Red,Sweater Green CM,Normal,Hero Mask,Dread Long Red,Skeleton,None,None,None,None,16.24453705749865,5586
