,Mouth Accessory,Eye Accessory,Head Below,Ear Accessory,Eyes,Nose,Mouth,Face,Race,Background,Head Above,Face Accessory,Mask,Rarity score,Token Id
5425,None,Glasses,Cornrows Dark Topknot Hair,Chain Earring,Femme Shade Eyes,Droopy,Smile,None,Human,Green Double Stripe,None,Gas Mask,None,71.71353796399204,5426
5426,None,Kaneda Goggles,None,Silver Stud Earrings,Draag Alien Variant 1,Upturned Septum Piercing,Lipstick Red,None,Human,Candy Stripe,Classic Top Hat,None,None,36.89678236252269,5427
5427,None,Single Eye Reader,None,Silver Stud Cross Combo,Beady,Prominent,Smile,None,Human,Orange Solid,E-Girl Hair,Viral Mask,None,68.33990908414982,5428
5428,Joint,None,None,Silver Stud Earrings,Masc Idle Variant 3,Downturned,Idle,Soul Patch Long Neon Blue,Human,Magenta Solid,Beanie Hair Blonde,None,None,45.83451316513984,5429
5429,Cig,None,None,Silver Stud Cross Combo,Femme Furrowed Variant 4,Upturned,Lipstick Red,Winged Mustache Black,Human,Grey Solid,Zorg Hair,None,None,41.62303489332771,5430
5430,None,Target Visor,Cornrows Light Hair,Large Hoop Earrings,Masc Furrowed Variant 3,Upturned,Smile,None,Human,Green Blue Vert,None,Viral Mask,None,69.54104231407128,5431
5431,Joint,Eye Patch,Grey Ceaser,Gold Stud Earrings,Femme Wide Variant 2,Prominent Stud Piercing,Lipstick Green,Mutton Chop Winged Mustache Black,Human,Purple Stripe,None,None,None,67.51036085568614,5432
5432,Joint,None,Bleached Vertical Spikes,Gold Stud Earrings,Masc Furrowed,Droopy,Lipstick Blue,Mutton Chop Curled Mustache Brown,Human,Grey Solid,None,None,None,48.240593368041246,5433
5433,Pipe,None,None,Silver Stud Cross Combo,Villian Eyes Variant 1,Upturned Septum Piercing,Idle,None,Human,Purple Solid,Backwards Hat 2,None,None,31.902783706675375,5434
5434,Blunt,None,Bob Hair,Small Hoop Earrings,Uninterested,Upturned,Teethy Grin,None,Human,Double Purple,None,None,None,30.975779642178498,5435
5435,None,None,Cornrows Dark Hair,Candy Raver Earrings,Uninterested Variant 1,Prominent Stud Piercing,Teeth Smile,None,Alien,Purple Stripe,None,None,Gas Tank Mask,79.64586796994286,5436
5436,None,Lennon Glasses,Mohawk Hair Neon Blue,Gold Stud Cross Combo,Femme Wide,Upturned Septum Piercing,Buck Teeth,Mutton Chop Curled Mustache Brown,Human,Green Blue Vert,None,None,None,53.290315533865915,5437
5437,Joint,None,Slicked Dark Hair,Silver Stud Cross Combo,Beady,Droopy,Open Teeth,Thin Curled Mustache Black,Human,Purple Tie Dye,None,None,None,46.42034934041852,5438
5438,None,None,None,Silver Stud Earrings,Beady Variant 3,Upturned Septum Piercing,Open Teeth,None,Human,Dark Purple Solid,Long Pink Pigtails,Viral Mask,None,48.85881273955774,5439
5439,Cig,Scouter Green,None,Small Hoop Earrings,Masc Shade Eyes Variant 1,Droopy Stud Piercing,Smile Double Monroe Piercing,Winged Mustache Black,Human,Pink Solid,Chain Hat,None,None,60.329544200102816,5440
5440,Joint,Eye Patch,None,Silver Stud Earrings,Bot Busted Eye,Bot Nose 3,Lipstick Black,Clown Facepaint,Bot,Orange Solid,Beanie,None,None,94.62234151612817,5441
5441,None,Sniper Goggles,Bob Hair,Small Hoop Earrings,Robo-Eyes,Upturned,Lipstick Green,None,Human,Purple Solid,None,None,None,37.40829054731641,5442
5442,None,Chainspace Deck Pro,None,Silver Stud Earrings,Masc Shade Eyes Variant 1,Upturned Septum Piercing,Idle,None,Human,Yellow Solid,Long Pink Pigtails,Oxygen Mask,None,66.8904955232607,5443
5443,None,None,Meditation Circlet,None,Robo-Eyes,Prominent,Lipstick Red,Thick Curled Mustache Brown,Human,Double Yellow,None,None,None,30.657074444287996,5444
5444,Cig,None,Slicked Blonde Hair,Small Hoop Earrings,Robo-Eyes Variant 2,Downturned,Lipstick Green,None,Human,Double Yellow,None,None,None,26.626911571192917,5445
5445,None,None,None,Large Hoop Earrings,Masc Idle Variant 1,Upturned,Smile,Soul Patch Long Neon Blue,Human,Dark Purple Solid,Tie-Dye Bandana Bald,None,None,35.035526865758904,5446
5446,None,None,Blue Vertical Spikes,Silver Stud Earrings,Closed Variant 2,Upturned Septum Piercing,Open Teeth,Fu Manchu Mustache Black,Human,Green Solid,None,None,None,31.550583250706893,5447
5447,Cig,Glass Visor,Mohawk Hair,Large Hoop Earrings,Beady Variant 2,Downturned,Smile,None,Human,Blue Diag,None,None,None,44.68188647959343,5448
5448,Tongue Pill,None,None,None,Bot Idle,Bot Nose 3,Idle,Thick Curled Mustache Brown,Bot,Orange Solid,Dreadlocks,None,None,72.80371572270788,5449
5449,None,Goggles,Cornrows Dark Hair,Silver Stud Cross Combo,Masc Idle Variant 3,Prominent Stud Piercing,Lipstick Green,None,Human,Green Black Diag,None,None,None,38.08309820521026,5450
5450,None,None,None,None,Masc Furrowed Variant 3,Delicate,Lipstick Purple,None,Human,Pink Solid,Hood,None,None,17.75494758020218,5451
5451,None,Glass Visor,None,Chain Earring,Bot Idle,Bot Nose 2,Lipstick Red,Fu Manchu Mustache Black,Bot,Red Solid,Alien Hat,None,None,81.38923825019168,5452
5452,Blunt,Glass Visor,Slicked Dark Hair,Silver Stud Earrings,Masc Idle Variant 3,Prominent Stud Piercing,Smile Double Monroe Piercing,Soul Patch Long,Human,Green Blue Vert,None,None,None,65.64194770234684,5453
5453,Tongue Pill,Eye Patch Monocle,Slicked Blonde Hair,Chain Earring,Femme Shade Eyes,Upturned Septum Piercing,Teethy Grin,Mutton Chop Curled Mustache Black,Bot,Dark Purple Solid,None,None,None,91.81635038901393,5454
5454,None,None,None,Gold Stud Cross Combo,Masc Wide Variant 1,Prominent,Teethy Grin,None,Human,Blue Diag,Cowboy Hat Brown,None,None,21.944572087419093,5455
5455,None,None,None,Gold Stud Cross Combo,Robo-Eyes,Droopy Stud Piercing,Lipstick Green,None,Human,Blue Solid,Beanie Hair Blonde,Oni Mask Purple,None,54.786830007633355,5456
5456,None,None,Double Pigtail Hair Pink,Gold Stud Earrings,Masc Shade Eyes,Delicate,Teethy Grin,None,Human,Peach Solid,None,None,None,18.68563003274653,5457
5457,Tongue Pill,Scouter Green,None,Small Hoop Earrings,Femme Furrowed Variant 3,Upturned,Open Teeth,None,Human,Light Blue Solid,Funky Bandana Bald,None,None,53.2049408805925,5458
5458,None,Robo-Cyclopian,None,Silver Stud Earrings,Masc Idle,Upturned,Lipstick Blue,Rough Mustache Brwn,Human,Purple Stripe,Hood,None,None,53.3828971754876,5459
5459,None,Aviators,Rough Punk Hair Black,Chain Earring,Uninterested Variant 1,Prominent,Buck Teeth,Beard Black,Human,Purple Orange Diag,None,None,None,55.34408144496818,5460
5460,None,Chainspace Deck Pro,None,Chain Earring,Masc Shade Eyes Variant 1,Droopy,Open Teeth,None,Human,Dark Purple Solid,Long Pink Pigtails,Viral Mask,None,71.40563951565954,5461
5461,None,Thin Glasses,None,Gold Stud Earrings,Femme Wide,Droopy,Idle,Thick Curled Mustache Black,Human,Yellow Pink Diag,Cowboy Hat Pink,None,None,51.91112182002876,5462
5462,None,None,None,Gold Stud Earrings,Femme Idle,Upturned Septum Piercing,Lipstick Green,Thick Curled Mustache Black,Human,Green Blue Vert,Backwards Hat 2,None,None,34.77241209644767,5463
5463,Cigar,None,None,Silver Stud Earrings,Masc Furrowed Variant 2,Prominent Stud Piercing,Open Teeth,Jet Black,Human,Blue Solid,Good Morning Bandana Top Knot,None,None,48.11457915290027,5464
5464,None,Scouter Green,None,Silver Stud Earrings,Closed,Upturned Septum Piercing,Buck Teeth,None,Bot,Magenta Solid,Leather Bandana Bald,Oni Mask Red,None,93.02026704777866,5465
5465,None,None,None,Small Hoop Earrings,Masc Wide Variant 2,Droopy Stud Piercing,Teethy Grin,None,Human,Yellow Solid,Half Buzz Half Long Hair,None,None,18.83761509880422,5466
5466,None,None,None,Silver Stud Cross Combo,Femme Wide,Bot Nose 3,Lipstick Blue,None,Bot,Green Double Stripe,Good Morning Bandana Top Knot,None,Gas Tank Mask,80.80231763649914,5467
5467,Cig,Robo-Cyclopian,None,Candy Raver Earrings,Beady Variant 1,Prominent,Smile Double Monroe Piercing,Mutton Chop Curled Mustache Brown,Human,Green Stripe,Long Styled Hair,None,None,62.95423433663338,5468
5468,None,Sniper Goggles,Blue Vertical Spikes,Small Hoop Earrings,Bot Beady Wide,Upturned Septum Piercing,Open Teeth,Winged Mustache Black,Bot,Metropolis 1,None,None,None,74.95767253545392,5469
5469,None,Glass Visor,Cornrows Dark Hair,Silver Stud Earrings,Femme Star Liner,Upturned Septum Piercing,Buck Teeth,None,Human,Red Solid,None,None,None,35.00971026638092,5470
5470,None,Sun Glasses,Cornrows Dark Hair,Large Hoop Earrings,Masc Wide,Prominent,Smile,Fu Manchu Mustache Black,Human,Yellow Diag,None,None,None,51.79253818264639,5471
5471,Cig,None,Widows Peak Hair,Candy Raver Earrings,Femme Wide,Delicate,Smile Double Monroe Piercing,None,Human,Black Orange Diag,None,None,None,28.032083930180278,5472
5472,None,Chainspace Deck SE,Punker Spike Neon Green,Silver Stud Cross Combo,Draag Alien,Upturned Septum Piercing,Lipstick Blue,None,Bot,Double Green,None,Oni Mask Red,None,93.28344782739994,5473
5473,Cigar,Glass Visor,Pompadour,Silver Stud Cross Combo,Beady,Upturned Septum Piercing,Teethy Grin,Thick Curled Mustache Black,Bot,Light Blue Solid,None,None,None,87.13079895853083,5474
5474,Pipe,Single Eye Reader,Metal Skullcap,Large Hoop Earrings,Bot Busted Eye,Bot Nose 1,Smile,Fu Manchu Mustache Black,Bot,Triple Green,None,None,None,95.41566271242539,5475
5475,Cig,Chainspace Deck Pro,Bob Hair,Silver Stud Earrings,Uninterested,Bot Nose 3,Smile Double Monroe Piercing,Mutton Chop Curled Mustache Black,Bot,Black Orange Diag,None,None,None,86.15202379133883,5476
5476,None,None,Cornrows Light Hair,Gold Stud Earrings,Robo-Eyes Variant 2,Droopy Stud Piercing,Idle,None,Human,Green Black Diag,None,Viral Mask,None,49.94498214663523,5477
5477,None,Sun Glasses Red,None,Silver Stud Earrings,Masc Idle Variant 3,Delicate,Idle,Rough Mustache Brwn,Human,Yellow Pink Diag,Half Buzz Half Long Blue Hair,None,None,51.00276002374654,5478
5478,None,None,None,Gold Stud Earrings,Uninterested Variant 2,Prominent Stud Piercing,Lipstick Black,Beard Brown,Human,Yellow Solid,Blitmap Hat,None,None,37.2859547379958,5479
5479,None,Eye Patch Monocle,Pompadour,Silver Stud Cross Combo,Femme Idle Variant 1,Downturned,Teethy Grin,None,Human,Red Solid,None,Oxygen Mask,None,68.65881786222509,5480
5480,Tongue Out,Glasses,None,Silver Stud Earrings,Uninterested Variant 1,Delicate,Smile Double Monroe Piercing,Clown Facepaint,Alien,Blue Orange Diag,Blitmap Hat,None,None,93.97373720713838,5481
5481,Cig,None,Well Combed Hair Blk,Candy Raver Earrings,Beady Variant 2,Downturned,Lipstick Purple,None,Human,Blue Solid,None,None,None,27.865263310859557,5482
5482,None,Chainspace Deck SE,None,Silver Stud Cross Combo,Masc Shade Eyes Variant 4,Delicate,Open Teeth,None,Alien,Orange Solid,Chain Headband,Oni Mask Purple,None,96.05617286233648,5483
5483,Cig,None,Well Combed Hair Blk,Chain Earring,Closed Variant 1,Prominent Stud Piercing,Lipstick Blue,Mutton Chop Winged Mustache Black,Human,Grey Solid,None,None,None,44.021603310367894,5484
5484,None,None,None,None,Beady Variant 4,Downturned,Teeth Smile,Jet Black,Human,Double Green,E-Girl Hair,None,None,31.680279564808178,5485
5485,None,None,Cornrows Dark Topknot Hair,Chain Earring,Uninterested,Droopy Stud Piercing,Lipstick Purple,Beard Brown,Human,Yellow Solid,None,None,None,35.52122180070547,5486
5486,Cig,Chainspace Deck Basic,Rough Punk Hair Black,Open Face Shield,Look Right,Upturned Septum Piercing,Teeth Smile,Mutton Chop Winged Mustache Black,Bot,Purple Solid,None,None,None,84.53586524216568,5487
5487,Cigar,None,None,Candy Raver Earrings,Femme Idle Variant 4,Downturned,Lipstick Red,Winged Mustache Black,Alien,Blue Solid,Hood,None,None,74.6164983962686,5488
5488,Joint,None,Mohawk Hair Neon Blue,None,Look Right Variant 3,Droopy Stud Piercing,Idle,None,Human,Double Yellow,None,None,None,27.8540968651529,5489
5489,Blunt,Chainspace Deck SE,None,Silver Stud Cross Combo,Masc Shade Eyes,Upturned Septum Piercing,Lipstick Purple,Mutton Chop Winged Mustache Black,Bot,Double Green,Dreadlocks,None,None,88.80996480431708,5490
5490,None,Target Visor,None,None,Draag Alien Variant 1,Prominent,Smile,Mutton Chop Winged Mustache Black,Human,Orange Solid,Long Styled Hair,None,None,49.17145302045871,5491
5491,None,None,Grey Ceaser,Open Face Shield,Beady Variant 2,Droopy Stud Piercing,Lipstick Green,None,Human,Triple Blue,None,Oni Mask Red,None,56.88143237587878,5492
5492,None,Glass Visor,None,Silver Stud Cross Combo,Bot Beady Wide,Bot Nose 1,Open Teeth,Fu Manchu Mustache Brown,Bot,Double Purple,Mystic Top Hat,None,None,78.65348181657835,5493
5493,Cig,Eye Patch,Cornrows Dark Hair,Silver Stud Earrings,Look Right Variant 4,Droopy Stud Piercing,Idle,None,Human,Double Pink,None,None,None,42.34248491646023,5494
5494,None,Kaneda Goggles,None,Small Hoop Earrings,Draag Alien Variant 2,Upturned,Buck Teeth,None,Human,Purple Orange Diag,Beanie Hair Blonde,Ninja,None,71.90998041319496,5495
5495,None,None,Messy Bun,Silver Stud Earrings,Femme Furrowed Variant 2,Downturned,Lipstick Purple,None,Human,Green Solid,None,None,Full Head Bandage,53.3482636070734,5496
5496,Cig,None,None,Silver Stud Cross Combo,Look Right Variant 2,Droopy,Lipstick Blue,Thick Curled Mustache Black,Human,Pink Solid,Straight Long Hair,None,None,42.29398986571204,5497
5497,None,None,Bob Hair,Small Hoop Earrings,Uninterested,Droopy Stud Piercing,Buck Teeth,Goatee Black,Human,Blue Diag,None,None,None,33.40797050879314,5498
5498,None,None,Cropped Cut Dark,Candy Raver Earrings,Femme Shade Eyes Variant 3,Upturned Septum Piercing,Smile Double Monroe Piercing,Winged Mustache Black,Human,Pink Diag,None,None,None,34.36828625283888,5499
5499,None,None,Slicked Blonde Hair,None,Look Right Variant 2,Prominent Stud Piercing,Buck Teeth,Thick Curled Mustache Brown,Human,Grey Solid,None,None,None,31.810033348031112,5500
5500,Cig,None,Purple Fro Hawk,Silver Stud Earrings,Femme Idle Variant 2,Upturned Septum Piercing,Teeth Smile,None,Human,Yellow Solid,None,None,None,24.23193958130066,5501
5501,Cigar,None,Cornrows Dark Topknot Hair,Earpiece,Uninterested,Droopy,Lipstick Blue,Basic Mustache Brwn,Human,Double Green,None,None,None,52.00721279392082,5502
5502,Joint,None,Rough Punk Hair Pink,None,Femme Furrowed,Bot Nose 3,Buck Teeth,Goatee Black,Bot,Double Purple,None,None,None,71.11701067416163,5503
5503,None,Sun Glasses,None,Gold Stud Cross Combo,Masc Wide Variant 4,Prominent Stud Piercing,Lipstick Red,Soul Patch Short,Human,Red Solid,Half Buzz Half Long Hair,None,None,54.083581864111075,5504
5504,Cig,Night Vision Goggles,Widows Peak Blue Hair,Small Hoop Earrings,Femme Wide,Downturned,Smile,Mutton Chop Curled Mustache Black,Human,Yellow Pink Diag,None,None,None,58.513059781630716,5505
5505,Joint,Goggles,Double Spike,Gold Stud Earrings,Femme Furrowed Variant 5,Droopy,Lipstick Red,Rough Mustache Brwn,Human,Dark Purple Solid,None,None,None,66.16838860444405,5506
5506,Cig,None,Well Combed Hair Blk,Gold Stud Earrings,Bot Idle,Bot Nose 2,Teeth Smile,None,Bot,Black Orange Diag,None,None,None,53.92364895269806,5507
5507,Cig,Cybernetic Implants,Messy Hair Dark,Candy Raver Earrings,Femme Furrowed Variant 1,Droopy,Lipstick Red,Mutton Chop Curled Mustache Black,Human,Magenta Solid,None,None,None,59.74751917147789,5508
5508,Cig,None,None,Large Hoop Earrings,Masc Idle Variant 3,Prominent Stud Piercing,Idle,None,Human,Grey Solid,Tie-Dye Bandana Bald,None,None,26.51938720563905,5509
5509,Cigar,Glasses,None,None,Beady Variant 2,Downturned,Buck Teeth,Beard Black,Human,Double Pink,Straight Long Hair,None,None,65.07477824740087,5510
5510,None,Sun Glasses Red,None,Chain Earring,Beady Variant 5,Downturned,Lipstick Black,None,Human,Light Blue Solid,Green Short Hair,None,None,41.95354542750949,5511
5511,None,Rodman Wrap Arounds,Widows Peak Blue Hair,None,Robo-Eyes Variant 1,Upturned Septum Piercing,Lipstick Red,None,Human,Green Stripe,None,None,None,34.24972782794142,5512
5512,None,None,Punker Spike Neon Green,Earpiece,Beady Variant 2,Downturned,Lipstick Green,Basic Mustache Brwn,Human,Sun,None,None,None,39.3546974856994,5513
5513,None,Eye Patch Sight,Slicked Dark Hair,Silver Stud Cross Combo,Beady Variant 5,Droopy Stud Piercing,Idle,Goatee Black,Human,Green Blue Vert,None,None,None,50.439357588915676,5514
5514,None,None,Cropped Cut Dark,Small Hoop Earrings,Masc Wide,Prominent,Buck Teeth,Beard Black,Human,Yellow Pink Diag,None,None,None,33.55256319382254,5515
5515,Joint,None,None,Silver Stud Cross Combo,Closed Variant 1,Droopy Stud Piercing,Teethy Grin,Soul Patch Long Neon Blue,Human,Double Pink,Long Green Front Braid,None,None,47.402772508547855,5516
5516,Blunt,None,Mohawk Hair Neon Pink,Small Hoop Earrings,Femme Star Liner,Prominent,Smile,Thin Curled Mustache Brown,Human,Yellow Solid,None,None,None,45.14499194378348,5517
5517,None,Chainspace Deck Pro,None,Small Hoop Earrings,Bot Idle,Upturned Septum Piercing,Lipstick Red,Mutton Chop Curled Mustache Brown,Bot,Purple Orange Diag,Straight Long Hair,None,None,75.22081437147226,5518
5518,Cig,Target Visor,Mohawk Hair Neon Pink,Gold Stud Cross Combo,Femme Star Liner,Prominent Stud Piercing,Lipstick Red,None,Human,Triple Green,None,None,None,46.20929491164706,5519
5519,Joint,Night Vision Goggles,None,None,Uninterested Variant 2,Droopy Stud Piercing,Idle,Thick Curled Mustache Brown,Human,Green Black Diag,Eye Hat,None,None,62.446420102517564,5520
5520,Cigar,None,Messy Bun,Candy Raver Earrings,Femme Idle,Prominent,Lipstick Green,Thick Curled Mustache Brown,Human,Pink Solid,None,None,None,49.141547206759085,5521
5521,Blunt,None,Grey Ceaser,Large Hoop Earrings,Look Right,Delicate,Lipstick Red,Basic Mustache Black,Human,Green Black Diag,None,None,None,47.39910858656019,5522
5522,Cig,None,None,Gold Stud Earrings,Masc Idle Variant 3,Downturned,Idle,Soul Patch Short,Human,Yellow Diag,Beanie Hair Green,None,None,41.3115307246848,5523
5523,None,None,Face Chain,Large Hoop Earrings,Masc Shade Eyes,Upturned,Lipstick Purple,None,Human,Purple Solid,None,None,None,20.17977461686076,5524
5524,Cig,None,None,Silver Stud Cross Combo,Masc Shade Eyes Variant 2,Delicate,Smile Double Monroe Piercing,Rough Mustache Brwn,Human,Magenta Solid,Straight Long Purple Hair,None,None,42.51641354075409,5525
5525,Blunt,None,None,Silver Stud Earrings,Masc Idle Variant 1,Prominent,Teethy Grin,Beard Black,Human,Black Orange Diag,None,None,None,28.510977213287923,5526
5526,Cig,None,None,Silver Stud Earrings,Villian Eyes Variant 1,Downturned,Teethy Grin,Thin Curled Mustache Brown,Human,Purple Green Diag,Dreadlocks,None,None,41.259676157224185,5527
5527,Cigar,Sun Glasses Red,None,Gold Stud Earrings,Look Right,Prominent,Teethy Grin,None,Human,Yellow Double Stripe,Backwards Hat 2,None,None,52.65996970711123,5528
5528,Cig,Eye Patch Monocle,Cropped Cut Dark,Large Hoop Earrings,Beady Variant 6,Upturned Septum Piercing,Smile,Beard Black,Human,Green Solid,None,None,None,57.94223381105377,5529
5529,None,None,None,Silver Stud Cross Combo,Robo-Eyes,Prominent,Teeth Smile,None,Human,Green Diag,Good Morning Bandana Top Knot,None,Full Head Bandage,52.90707351677762,5530
5530,None,Aviators,Bob Hair,Large Hoop Earrings,Look Right Variant 1,Prominent,Teethy Grin,None,Human,Candy Stripe,None,Viral Mask,None,70.09710985229994,5531
5531,Pipe,Lennon Glasses,None,Gold Stud Earrings,Look Right,Upturned Septum Piercing,Lipstick Purple,Soul Patch Long,Human,Dark Purple Solid,Funky Bandana Bald,None,None,67.62172080783408,5532
5532,Tongue Out,Aviators,None,Gold Stud Earrings,Villian Eyes Variant 1,Droopy Stud Piercing,Open Teeth,Basic Mustache Brwn,Human,Metropolis 1,Half Buzz Half Long Hair,None,None,68.67442834830206,5533
5533,None,Scouter Red,Mohawk Hair Neon Pink,Silver Stud Cross Combo,Femme Idle Variant 1,Downturned,Open Teeth,Mutton Chop Curled Mustache Black,Human,Green Solid,None,None,None,50.68033266886698,5534
5534,Cig,None,None,Silver Stud Cross Combo,Beady Variant 3,Prominent,Lipstick Red,Beard Brown,Human,Purple Stripe,Dual Horn,None,None,41.6415184361732,5535
5535,None,None,None,Small Hoop Earrings,Masc Furrowed Variant 4,Downturned,Smile Double Monroe Piercing,Mutton Chop Curled Mustache Black,Human,Blue Orange Diag,Eye Hat,None,None,35.32101086619398,5536
5536,Tongue Out,None,None,Gold Stud Earrings,Masc Idle,Delicate,Lipstick Red,Soul Patch Short,Human,Double Yellow,Dual Horn,None,None,48.75226062823128,5537
5537,None,None,None,Candy Raver Earrings,Femme Furrowed,Bot Nose 3,Open Teeth,Forehead X Tattoo,Bot,Double Pink,Good Morning Bandana Top Knot,None,None,61.02299961885602,5538
5538,Blunt,None,None,Small Hoop Earrings,Beady Variant 3,Prominent,Lipstick Purple,Thick Curled Mustache Black,Human,Red Solid,Eye Hat,None,None,47.94403080775276,5539
5539,None,Chainspace Deck Basic,Blue Vertical Spikes,Small Hoop Earrings,Femme Star Liner,Bot Nose 1,Lipstick Green,Thick Curled Mustache Brown,Bot,Green Blue Vert,None,None,None,78.92042552682295,5540
5540,Cig,Glasses,None,None,Draag Alien Variant 1,Prominent,Buck Teeth,None,Human,Blue Solid,Cowboy Hat White,None,None,43.3101533668568,5541
5541,Cig,None,Blue Vertical Spikes,None,Femme Shade Eyes Variant 1,Prominent,Missing Tooth,Mutton Chop Curled Mustache Black,Human,Triple Blue,None,None,None,40.7999769261897,5542
5542,Cigar,None,Widows Peak Hair,Small Hoop Earrings,Femme Star Liner,Droopy,Smile,Basic Mustache Black,Human,Triple Blue,None,None,None,46.82070965757518,5543
5543,Joint,Chainspace Deck Pro,None,Gold Stud Earrings,Femme Star Liner,Bot Nose 1,Smile,Basic Mustache Black,Bot,Purple Orange Diag,Dreadlocks,None,None,92.57609627724803,5544
5544,None,Sun Glasses,Grey Ceaser,Large Hoop Earrings,Beady Variant 6,Prominent,Lipstick Red,None,Human,Triple Green,None,Viral Mask,None,69.6856472394356,5545
5545,Pipe,None,None,Chain Earring,Masc Wide,Prominent,Missing Tooth,Mutton Chop Winged Mustache Black,Alien,Purple Stripe,E-Girl Hair,None,None,79.20207246148259,5546
5546,Tongue Out,None,Messy Bun,Candy Raver Earrings,Masc Shade Eyes,Delicate,Teethy Grin,Fu Manchu Mustache Brown,Human,Yellow Solid,None,None,None,48.52243604718209,5547
5547,None,None,Mohawk Hair Neon Blue,Large Hoop Earrings,Masc Idle Variant 3,Upturned Septum Piercing,Idle,None,Human,Grey Solid,None,Viral Mask,None,48.51406325960218,5548
5548,Tongue Out,None,Mohawk Hair,None,Femme Furrowed Variant 3,Delicate,Smile,None,Human,Green Solid,None,None,None,30.074941127112286,5549
5549,Joint,None,Bob Hair,Candy Raver Earrings,Femme Shade Eyes Variant 3,Prominent,Teethy Grin,Soul Patch Short,Human,Purple Solid,None,None,None,47.198867988360874,5550
5550,Cig,Aviators,None,Chain Earring,Femme Shade Eyes Variant 3,Upturned,Open Teeth,Mutton Chop Winged Mustache Brown,Human,Pink Solid,Tie-Dye Bandana Bald,None,None,61.77908271713657,5551
5551,None,Target Visor,Widows Peak Hair,Gold Stud Earrings,Femme Idle Variant 1,Droopy Stud Piercing,Buck Teeth,None,Human,Double Yellow,None,Oni Mask Green,None,71.18338640980522,5552
5552,None,None,Purple Fro Hawk,Large Hoop Earrings,Look Right,Upturned Septum Piercing,Teethy Grin,Mutton Chop Curled Mustache Brown,Bot,Magenta Solid,None,None,None,56.04055527579395,5553
5553,Cig,Scouter Red,None,Silver Stud Earrings,Look Right Variant 1,Downturned,Teethy Grin,Rough Mustache Black,Human,Purple Green Diag,Goggles Forehead,None,None,59.61405695004166,5554
5554,Tongue Out,None,None,Chain Earring,Femme Idle,Prominent Stud Piercing,Buck Teeth,Thick Curled Mustache Brown,Human,Blue Solid,Green Short Hair,None,None,51.29173851930092,5555
5555,Joint,Chainspace Deck Basic,Bald Unkempt,Gold Stud Cross Combo,Beady,Delicate,Idle,Clown Facepaint,Human,Double Pink,None,None,None,65.71244822992783,5556
5556,Cigar,Cybernetic Implants,None,Gold Stud Earrings,Femme Shade Eyes,Downturned,Smile,Rough Mustache Brwn,Human,Yellow Solid,Chain Hat,None,None,66.52056308912412,5557
5557,Cigar,Scouter Red,Mohawk Hair Neon Pink,Gold Stud Earrings,Femme Furrowed,Prominent,Smile Double Monroe Piercing,Soul Patch Long Neon Blue,Human,Orange Tie Dye,None,None,None,68.80050152367693,5558
5558,Cig,Scouter Red,None,Silver Stud Earrings,Masc Furrowed,Upturned Septum Piercing,Teethy Grin,Mutton Chop Curled Mustache Brown,Human,Purple Solid,Half Buzz Half Long Hair,None,None,57.50474101537157,5559
5559,None,Goggles,None,None,Masc Shade Eyes Variant 3,Prominent,Missing Tooth,None,Human,Double Pink,Hood,Oni Mask Green,None,70.3826821002994,5560
5560,None,None,None,Gold Stud Cross Combo,Femme Wide Variant 1,Droopy,Smile,Basic Mustache Black,Human,Green Diag,Backwards Hat 2,None,None,36.277521398248936,5561
5561,None,None,Messy Hair Dark,Earpiece,Masc Furrowed Variant 2,Droopy Stud Piercing,Idle,None,Human,Triple Pink,None,None,None,21.336494239819373,5562
5562,Cig,Chainspace Deck Basic,Cornrows Light Hair,Small Hoop Earrings,Femme Furrowed Variant 1,Downturned,Teethy Grin,Basic Mustache Brwn,Human,Green Black Diag,None,None,None,59.135835986836746,5563
5563,Tongue Pill,Sniper Goggles,Messy Hair Dark,Silver Stud Earrings,Villian Eyes,Upturned Septum Piercing,Buck Teeth,None,Human,Yellow Pink Diag,None,None,None,52.22631920457239,5564
5564,None,Single Eye Reader,Bob Hair,Gold Stud Earrings,Femme Wide,Upturned Septum Piercing,Teeth Smile,Basic Mustache Black,Human,Magenta Solid,None,None,None,50.46539221980978,5565
5565,None,None,Metal Skullcap,None,Look Right,Droopy Stud Piercing,Smile Double Monroe Piercing,Basic Mustache Black,Human,Yellow Solid,None,None,None,30.946274281805415,5566
5566,None,None,None,Large Hoop Earrings,Femme Wide Variant 2,Delicate,Smile,Mutton Chop Winged Mustache Brown,Human,Candy Stripe,Good Morning Bandana Top Knot,None,None,35.220878505475646,5567
5567,Joint,Glasses,None,None,Femme Shade Eyes Variant 3,Upturned Septum Piercing,Open Teeth,None,Human,Magenta Solid,None,None,None,27.973828195885808,5568
5568,Joint,None,None,Small Hoop Earrings,Femme Idle,Delicate,Lipstick Green,Thin Curled Mustache Brown,Human,Blue Orange Diag,Crown Bald,None,None,48.1182757065655,5569
5569,None,None,None,None,Uninterested,Prominent Stud Piercing,Lipstick Blue,None,Human,Yellow Solid,Alien Hat,None,None,17.577031333708852,5570
5570,Blunt,None,None,Silver Stud Cross Combo,Femme Wide,Droopy,Lipstick Purple,None,Alien,Pink Solid,Goggles Forehead,None,None,58.142468437892404,5571
5571,Tongue Out,None,None,None,Masc Idle Variant 4,Droopy Stud Piercing,Lipstick Blue,None,Human,Black Orange Diag,Techno Horns,None,None,33.11133119555449,5572
