,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
6438,Default Hand ETH,None,Lumberjack,Hmm,Pink,Default,Buzz Cut,White,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,23.761511278018094,6439
6439,None,None,Dark Half Yukata,Bland,Hazel,Dark,Hime Ponytail,Green Gray,None,None,Excalibur,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,29.48789864383126,6440
6440,None,None,Demon Maiden,Biting Lips,Pink,Dark,Hime Cut,Blue,None,Browline Glasses,None,None,None,None,None,None,None,None,None,None,None,None,15.918493006390037,6441
6441,None,Light HAUS Cap,Black Koi Tees,Bubblegum,Red,Dark,Twin Bun,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.573679848548668,6442
6442,Dark Open R,Newsboy Hat,Racer,Face Mask,Closed,Dark,Straight Headband,Off White,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,42.26106449565647,6443
6443,Default Hold,None,Red Yakuza Yukata,Mask,Black,Default,Messy,Blue,None,None,None,None,None,None,None,None,Big Headphone,None,None,Soda,None,None,41.81457835785235,6444
6444,Default Hand Palm,None,Raider,Pout,Closed,Default,Twin Bun,Off White,None,Scar 2,None,None,None,None,None,None,None,None,Cutter,None,None,None,42.412344487157156,6445
6445,None,None,Blood Worshipper,Hmm,Green,Dark,Long Locks,Purple,None,Clear Glasses,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,28.311665160617082,6446
6446,Demon Hand Face,None,Jet Leather Coat,Toothpick,Red,Demon,Short Fringe,Red,None,None,None,None,None,Silence,None,None,None,None,None,None,None,None,33.11491259321953,6447
6447,Default Hold,None,Noble Half Yukata,Mask,Pink,Default,Long Twintail,Dark,None,None,None,None,None,None,Ring,None,None,None,None,Revolver,None,None,43.69104541060669,6448
6448,None,None,Nu Sailor,Bland,Black,Fiend,Bun,Purple,None,None,None,None,Dark Side Mask,None,None,None,None,None,None,None,None,None,21.760806407663445,6449
6449,None,None,Dark Asian Top,Grunt,Silver,Demon,Academy,Light Purple,None,None,Ninjato,None,None,None,None,None,None,None,None,None,None,None,16.806717071059378,6450
6450,Dark Hand ETH,None,Turtleneck Blazer,Biting Lips,Void,Dark,Short Spiky,Light Purple,None,None,M4X,None,None,None,None,Evil Wings,None,None,None,None,None,None,41.70705810657148,6451
6451,None,None,Choker Corset,Smile,Blue,Pale,Bun,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.76307002241424,6452
6452,Default Hold,None,Serpent Raider,Big Smile,Green,Default,None,White,None,None,None,None,None,None,None,None,None,None,None,Card,Black Helmet,None,45.45455462738373,6453
6453,Default Hold,None,Yakuza Yukata,Smile,Hazel,Default,Slick Back,Light Purple,None,None,Swift Katana,None,None,None,None,None,None,None,None,Revolver,None,None,39.21021111745582,6454
6454,None,None,Violet Gown,Big Smile,Blue,Darker,Straight Headband,Purple,None,Scar,Tech Sword,None,Goggles,None,None,None,None,None,None,None,None,None,45.45591557904582,6455
6455,None,None,Light Open Jacket,Grin,Closed,Darker,Long Fringe,Navy,None,White Browline Sunglasses,None,None,None,None,None,Swords,None,None,None,None,None,None,32.62613974283183,6456
6456,Demon Hand ETH,None,Brown Street Agent,Smile,Closed,Demon,Messy,Blue,None,None,None,None,None,None,None,None,Dark Headphone,None,None,None,None,None,29.19139896783205,6457
6457,Default Open L,None,Bikini,A,Red,Default,Bob,Purple,None,Stickers,Sawn-off,Flame,None,None,None,None,None,None,None,None,None,None,54.28594032944943,6458
6458,None,None,White Yukata Varsity,Grunt,Eye Cover,Demon,Slick Back,Dark,White Petals,None,None,None,None,None,None,Wind,None,None,None,None,None,None,36.792877928280596,6459
6459,Default Hand Face,None,Skelly Jacket,Grin,Hazel,Default,Long Flowy Locks,Dark,None,None,Red Saber,None,Smoke,Fangs,None,None,None,None,None,None,None,None,55.444621563188804,6460
6460,None,None,Red Trainer,Big Smile,Green,Dark,Long Side Swept,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6169839392179202,6461
6461,Darker Hold,None,Indigo City Assassin,Smile,Blue,Darker,Bangs Short,White,None,None,None,None,None,None,None,None,None,None,None,Revolver,None,None,30.17485450661197,6462
6462,None,None,Rocker,Face Mask,Blue,Fiend,None,Navy,None,None,None,None,None,None,None,None,None,None,None,None,MURI Helmet,None,23.738273106211864,6463
6463,None,None,Blazer,Face Mask,Void,Dark,Short Ponytail,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.8787136965808648,6464
6464,Default Open L,None,Edge Jacket,Meh,Eye Cover,Default,Messy,Blue,None,None,None,phase.module [the generation] v0.02,None,None,None,None,Big Headphone,None,None,None,None,None,42.989121993950455,6465
6465,Default Hand Palm,None,Yakuza Yukata,Mask,Pink,Default,Hime Ponytail,Navy,None,None,None,None,None,None,Ring,None,None,None,Knife,None,None,None,44.65533898884884,6466
6466,None,None,Brown Koi Tees,Bland,Eye Cover,Dark,Long Locks,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.541888724738698,6467
6467,None,None,Red Asian Top,Big Smile,Green,Darker,Bun,Navy,Ambers,None,None,None,None,None,None,None,None,None,None,None,None,None,19.063859303030814,6468
6468,Default Hand ETH,None,MURI Hoodie,Hmm,Void,Default,Short Fringe,Off White,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,29.010829959627767,6469
6469,Default Hand Face,None,Azure Gaiden,Open,Closed,Default,Bangs Short,Dark,None,None,None,None,None,Silence,None,None,None,None,None,None,None,None,27.84475165564656,6470
6470,Default Open L,None,Koi Tees,A,Hazel,Default,Straight Headband,Blue,None,None,Red Sheathed Katana,phase.module [created to be loved] v0.01,None,None,None,None,None,None,None,None,None,None,38.065196402768045,6471
6471,None,None,Light Bomber,Meh,Red,Demon,Messy,Blue,None,None,Dark Edge,None,Gas Mask,None,None,None,None,None,None,None,None,None,30.82429304843962,6472
6472,Darker Hand Face,None,Red Halter,Meh,Green,Darker,Short Ponytail,Off White,None,None,Swift Katana,None,Oni Half Mask,Silence,None,None,None,None,None,None,None,None,57.61796424388208,6473
6473,None,HAUS Cap,Dark Ronin,Face Mask,Silver,Dark,Bangs Short,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.824664784560621,6474
6474,None,None,Yakuza Yukata,Mask,Blue,Dark,Bun,Light Purple,None,None,None,None,None,None,None,None,Chain Necklace,None,None,None,None,None,17.918591411035326,6475
6475,Default Open L,None,Trainer,A,Void,Default,Long Locks,Green Gray,None,None,Red Saber,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,40.214461419343976,6476
6476,None,None,Dark Techno Biker,Open,Pink,Darker,Messy,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.309778319879555,6477
6477,None,Dark Spacehelm,Orange Open Jacket,Pout,Silver,Dark,Long Side Swept,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.946110054253277,6478
6478,Default Open R,None,Orange Open Jacket,Big Smile,Silver,Default,Braided Bun,Navy,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,29.142800404905632,6479
6479,None,None,Green Haus T-Shirt,Big Smile,Blue,Fiend,Hime Cut,Red,None,None,Great Sword,None,None,None,None,None,None,None,None,None,None,None,17.44277376082353,6480
6480,None,None,Gilded Skelly,Hmm,Closed,Darker,Shag,Dark,None,None,Dark Edge,None,None,None,None,None,None,None,None,None,None,None,15.06715293757652,6481
6481,Default Hand ETH,None,Light Edge Jacket,Grin,Silver,Default,Side Fringe,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.156959546554736,6482
6482,Dark Hand Face,None,Blood Gaiden,Biting Lips,Black,Dark,Bun,Purple,None,None,None,None,None,Silence,None,None,RDBP Duck,None,None,None,None,None,45.654323172435454,6483
6483,Darker Open L,None,Red Halter,Hmm,Closed,Darker,Hime Cut,Green Gray,None,None,None,phase.module [the generation] v0.02,Smoke,None,None,None,None,None,None,None,None,None,45.40934689090384,6484
6484,Darker Open L,Hat,Dark Jeans Hoodie,Smile,Red,Darker,Bowl Cut,Purple,None,Clear Glasses,None,phase.module [created to be loved] v0.01,None,None,None,Corrupted Skulls,None,None,None,None,None,None,73.15596841369363,6485
6485,None,None,Dark WAGMI Bomber,Pout,Pink,Darker,Long Locks,Purple,None,Browline Glasses,None,None,Demon Horn,None,None,None,None,None,None,None,None,None,34.05262766377658,6486
6486,Dark Open R,None,Raider,Bland,Green,Dark,Hime Cut,Blue,None,Oval Sunglasses,None,None,None,None,None,None,None,BTC,None,None,None,None,42.09074160335052,6487
6487,Default Hand Face,Bandana,Blood Worshipper,Hmm,Blue,Default,Academy,Purple,None,None,None,None,None,Silence,None,Swords,None,None,None,None,None,None,56.853637177784634,6488
6488,None,None,Green Haus T-Shirt,Meh,Green,Demon,Clean,Green Gray,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,16.54949429413463,6489
6489,Default Hand Palm,None,Bomber,Bland,Silver,Default,Short Fringe,Off White,None,None,None,None,None,None,None,None,None,None,Knife,None,None,None,28.796940624831507,6490
6490,Default Open L,None,White Ether,Biting Lips,Pink,Default,Long Twintail,Purple,None,None,M4,phase.module [a globe is rolling] v0.03,Demon Horn,None,None,None,None,None,None,None,None,None,55.51235373717471,6491
6491,None,None,Bulletproof T-Shirt,Smile,Void,Demon,Two Block,Off White,Chains,None,None,None,None,None,None,None,Big Headphone,None,None,None,None,None,37.23940002715368,6492
6492,None,Newsboy Hat,Dark Worshipper,Open,Eye Cover,Dark,Long Twintail,Dark,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,28.02498946544583,6493
6493,Default Hand ETH,None,Demon Maiden,Big Smile,Green,Default,Long Twintail,Navy,None,None,Red Excalibur,None,None,None,Ring,None,None,None,None,None,None,None,39.34758211992467,6494
6494,None,White Bucket Hat,Navy Street Agent,A,Silver,Dark,Spiky,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.8438020609296,6495
6495,None,None,Metal,Mask,Green,Dark,Buzz Cut,White,None,None,None,None,None,None,None,Quiver,None,None,None,None,None,None,17.659697584551026,6496
6496,Default Hand Face,None,Open Vest,Mumble,Closed,Default,Shag,Blue,None,Scar,None,None,None,Silence,None,None,None,None,None,None,None,None,40.643573298415376,6497
6497,None,None,Dark Ronin,Meh,Hazel,Dark,Long Twintail,Off White,None,Mark,None,None,None,None,None,None,Crow,None,None,None,None,None,32.27500912565679,6498
6498,None,None,Black Koi Tees,Smile,Closed,Demon,Long Twintail,Blue,None,None,Dark Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,14.398122631138085,6499
6499,Darker Open R,None,Black Koi Tees,Meh,Green,Darker,Short Ponytail,Blue,None,None,None,None,None,None,Dot,None,Big Headphone,Apple,None,None,None,None,60.7727982778524,6500
6500,None,None,Black Fur Coat,Pout,Blue,Dark,Short Fringe,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.547805556521699,6501
6501,None,None,Green Ribbonstar,Smile,Green,Fiend,Twin Bun,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.296283164686654,6502
6502,None,None,Black Varsity Jacket,Big Smile,Hazel,Darker,Twin Bun,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.8634520148030753,6503
6503,Default Hand ETH,None,Red Halter,Mask,Blue,Default,Long Twintail,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.981426656199089,6504
6504,Default Hold,Light HAUS Cap,Black Varsity Jacket,Toothpick,Blue,Default,Hime Ponytail,Blue,White Petals,None,None,None,None,None,None,None,None,None,None,Soda,None,None,55.55235828354399,6505
6505,Default Hand ETH,Newsboy Hat,White Asian Top,Open,Red,Default,Long Side Swept,Green Gray,Ambers,None,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,51.99965756670956,6506
6506,Default Hand ETH,Agent Hat,Blood Worshipper,Bland,Green,Default,Straight Headband,Purple,None,White Browline Sunglasses,None,None,None,None,None,None,Big Headphone,None,None,None,None,None,55.10601453980545,6507
6507,Default Hand Face,None,Black Koi Tees,Open,Eye Cover,Default,Short Ponytail,Off White,Icy Wind,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,44.88478890648478,6508
6508,None,None,Blood Gaiden,Bland,Silver,Dark,Long Twintail,Blue,None,Mark,None,None,Gas Mask,None,None,None,None,None,None,None,None,None,30.54776035407952,6509
6509,Default Hand ETH,None,Black Varsity Jacket,Grunt,Silver,Default,Spiky,Off White,None,None,Bat,None,None,None,None,None,None,None,None,None,None,None,23.372266594022673,6510
6510,Default Hand Face,Newsboy Hat,Black Haus Hoodie,Bland,Silver,Default,Academy,White,None,None,Katana,None,None,Fangs,Dot,None,None,None,None,None,None,None,68.91550307102848,6511
6511,Default Open L,HAUS Cap,Open Vest,Hmm,Pink,Default,Messy,Navy,None,None,Blue Saber,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,52.355628729681605,6512
6512,None,Agent Hat,Plain Haus Denim,Big Smile,Pink,Darker,Bowl Cut,Green Gray,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,28.591513545835273,6513
6513,None,None,Trainer,Mumble,Hazel,Darker,Side Fringe,White,White Petals,None,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,30.674838642650666,6514
6514,None,None,Light Technocoat,Pout,Hazel,Darker,Slick Back,White,Feathers,None,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,30.700923211496235,6515
6515,Dark Open R,None,Classic Denim,Smile,Closed,Dark,Clean,Red,None,None,None,None,None,None,None,None,None,Bitten Apple,None,None,None,None,29.047041376299326,6516
6516,None,None,City Assassin,Smile,Red Blush,Dark,Short Ponytail,Green Gray,None,Browline Glasses,Sheathed Katana,None,None,None,None,Corrupted Skulls,None,None,None,None,None,None,45.05632549324884,6517
6517,None,None,Black Victorian Blazer,Pout,Red,Dark,Clean,Red,None,None,Dark Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,14.086973765401789,6518
6518,None,None,Red Haus Hoodie,Grunt,Eye Cover,Darker,Short Fringe,Red,None,None,None,None,None,None,None,Dagger Rune,None,None,None,None,None,None,20.12734393983732,6519
6519,Default Hold,None,Green Haus T-Shirt,Mask,Green,Default,Bob,Off White,None,None,Bat,None,None,None,None,None,None,None,None,Soda,None,None,39.15632467428847,6520
6520,None,Spacehelm,Brown Koi Tees,Mumble,Closed,Dark,Long Flowy Locks,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.42651832894559,6521
6521,Default Hand ETH,None,Azure Gaiden,Face Mask,Black,Default,Short Ponytail,Green Gray,None,None,Machete,None,None,None,None,None,None,None,None,None,None,None,23.632911801628506,6522
6522,None,None,Metal,Pout,Green,Pale,Long Fringe,Light Purple,None,Blood Mark,None,None,None,None,None,None,None,None,None,None,None,None,20.21090658639472,6523
6523,None,Ushanka,Skelly Jacket,Bland,Blue,Darker,Buzz Cut,Red,None,Scar 2,Excalibur,None,None,None,None,None,None,None,None,None,None,None,42.80808916987451,6524
6524,None,Blue Cap,Streetsuit,Face Mask,Blue,Demon,Short Spiky,Blue,None,None,None,None,None,None,Cross,None,None,None,None,None,None,None,32.86072229249429,6525
6525,Default Hand Palm,None,Dark Worshipper,Smile,Green,Default,Short Ponytail,Purple,None,Clear Glasses,None,None,None,None,None,None,None,None,Cutter,None,None,None,43.02916912953977,6526
6526,Default Open L,None,Bulletproof T-Shirt,Face Mask,Red,Default,Side Fringe,Blue,None,None,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,26.27386789059294,6527
6527,None,None,Dark Blazer,Face Mask,Black,Darker,Long Flowy Locks,Red,None,None,None,None,None,None,None,None,Headphone,None,None,None,None,None,19.597280759874078,6528
6528,None,None,Orange Open Jacket,Hmm,Closed,Fiend,Shag,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.505877682797388,6529
6529,None,None,Black Koi Tees,Face Mask,Pink,Darker,None,White,None,None,None,None,None,None,Dot,Back Katana,None,None,None,None,White Helmet,None,52.66251219985081,6530
6530,Default Hold,None,White Drive,Mask,Blue,Default,Slick Back,Blue,None,None,None,None,Oni Half Mask,None,None,Giant Tomoe,None,None,None,Broken Arrow,None,None,57.055027937180256,6531
6531,None,None,Skelly Jacket,Grin,Red,Dark,Long Twintail,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.5613709720272168,6532
6532,Default Hand Palm,None,Choker Corset,Biting Lips,Red,Default,Bun,Green Gray,None,None,None,None,Smoke,None,None,None,None,None,Karambit,None,None,None,45.237414292274316,6533
6533,Dark Hold,None,Navy Haus T-Shirt,Face Mask,Closed,Dark,Shag,White,None,None,None,None,None,None,None,None,None,None,None,Card,None,None,28.319026438365285,6534
6534,None,Blue Cap,Red Yakuza Yukata,Pout,Closed,Dark,Short Fringe,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.014873370670717,6535
6535,Default Hand Face,None,Chain Shirt,Grin,Black,Default,Two Block,Navy,None,None,None,None,Oni Half Mask,None,Ring,None,None,None,None,None,None,None,43.81806441394811,6536
6536,None,Navy Beanie,Red Asian Top,Mumble,Silver,Pale,Braided Bun,White,None,None,M4,None,None,None,None,None,Dark Headphone,None,None,None,None,None,46.338672614051234,6537
6537,None,None,Woodland Camo,Biting Lips,Eye Cover,Dark,Shag,Light Purple,None,None,None,None,Smoke,None,None,Angel Wings,None,None,None,None,None,None,35.29493600412283,6538
6538,None,None,Street Agent,Hmm,Red,Demon,Side Fringe,Dark,None,None,None,None,None,None,None,Duality Skulls,None,None,None,None,None,None,20.372434811022927,6539
6539,Default Hold,None,Raider,Hmm,Red,Default,Bob,White,None,Browline Glasses,None,None,None,None,None,None,Chain Necklace,None,None,Handgun,None,None,57.71878371639401,6540
6540,None,None,White Streetsuit,Open,Hazel,Demon,Buzz Cut,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.6706068022202736,6541
6541,None,Beanie,Raider,A,Black,Dark,Twin Bun,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.583123288606204,6542
6542,None,None,Yellow Trainer,Mumble,Red,Dark,Bangs Short,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3722831053912987,6543
6543,Fiend Hand ETH,None,Jeans Hoodie,Bubblegum,Closed,Fiend,Two Block,Purple,None,Scar,M4,None,None,None,None,Silver Back Katana,None,None,None,None,None,None,58.25415751215165,6544
6544,Dark Hand Face,None,Noble Half Yukata,Smile,Pink,Dark,Hime Cut,Blue,None,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,27.523135884515465,6545
6545,None,None,Dark Blazer,Grunt,Green,Darker,Bun,Light Purple,Icy Wind,Mark,None,None,Oni Half Mask,None,None,None,Headphone,None,None,None,None,None,64.62046370338466,6546
6546,Default Open L,None,Blood Gaiden,Pout,Black,Default,Long Side Swept,Blue,Lightning,Mark,Dark Edge,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,67.54308082613332,6547
6547,Default Hold,None,Bulletproof T-Shirt,Hmm,Blue,Default,Slick Back,Blue,Ambers,None,Red Tech Sword,None,None,None,None,None,None,None,None,Card,None,None,53.06621484584335,6548
6548,Default Hold,None,Orange Open Jacket,Big Smile,Black,Default,Hime Cut,Blue,Feathers,None,Ninjato,None,None,None,None,None,None,None,None,Broken Arrow,None,None,53.0453708713749,6549
6549,None,None,Indigo City Assassin,Smile,Black,Dark,Hime Cut,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.42616450963952,6550
6550,None,None,Red Sidebelt,Smile,Green,Demon,Bangs Short,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.2086534751994495,6551
6551,Default Hand Face,None,Navy Ether,A,Void,Default,Bob,White,None,None,Sheathed Katana,None,None,Fangs,None,None,None,None,None,None,None,None,41.055471580606486,6552
6552,None,None,Male Yukata,Bland,Pink,Darker,Short Fringe,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.9347034833213668,6553
6553,None,None,Trainer,Hmm,Green,Demon,Straight Headband,Light Purple,None,None,None,None,None,None,None,Red Swords,None,None,None,None,None,None,20.348138147621402,6554
6554,None,None,Green Varsity Jacket,Face Mask,Green,Darker,Academy,Dark,None,White Browline Sunglasses,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,29.4933285807559,6555
6555,None,None,White Haus T-Shirt,Big Smile,Closed,Pale,Straight Headband,Light Purple,None,Oval Sunglasses,None,None,None,None,None,Wolves,None,None,None,None,None,None,34.86950162736464,6556
6556,None,None,Blood Gaiden,Toothpick,Black,Darker,Twin Bun,Blue,None,None,None,None,Side Mask,None,None,None,None,None,None,None,None,None,19.034235626097594,6557
6557,None,Badges Cap,White Sidebelt,Mask,Hazel,Dark,Hime Cut,Navy,Ambers,None,None,None,None,None,None,Quiver,None,None,None,None,None,None,46.15599911248981,6558
6558,Default Hand Face,Blue Cap,Side Shirt,A,Pink,Default,Hime Cut,Blue,None,None,Tech Sword,None,None,Fangs,None,None,None,None,None,None,None,None,51.57209419676016,6559
6559,None,None,Blue Varsity Jacket,Smile,Red,Dark,None,Dark,None,None,None,None,None,None,None,Ribcage,None,None,None,None,Cat Helmet,None,35.01856014100553,6560
6560,None,None,Crimson Blazer,Pout,Green,Darker,Long Locks,Green Gray,None,None,None,None,None,None,None,Tomoe,None,None,None,None,None,None,18.99606470191767,6561
6561,Default Hand Palm,None,Trainer,Mask,Red,Default,Hime Cut,Red,Stargazer,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,44.30787265321089,6562
6562,Default Open L,None,Dark Formal Dress,Meh,Silver,Default,Bun,White,None,None,Red Saber,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,39.380472974354,6563
6563,None,None,Yakuza Yukata,Meh,Red,Fiend,Shag,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.008127689228929,6564
6564,None,Light HAUS Cap,Violet Gown,Hmm,Hazel,Dark,Bob,White,None,Splatter,None,None,None,None,None,Swords,None,None,None,None,None,None,45.172592947249214,6565
6565,Fiend Hand ETH,None,Green Yakuza Yukata,Mumble,Silver,Fiend,Messy,Purple,None,Browline Glasses,None,None,None,None,None,None,None,None,None,None,None,None,31.068149080772162,6566
6566,Default Open R,None,Side Shirt,Pout,Silver,Default,Hime Cut,Green Gray,None,None,None,None,None,None,None,None,None,Bitten Apple,None,None,None,None,29.165380114623595,6567
6567,Default Open R,None,Red Trainer,Open,Pink,Default,Messy,Navy,None,Scar,None,None,None,None,None,Swords,None,Grenade,None,None,None,None,58.5684287439674,6568
6568,None,Blue Cap,Party Blood,Smile,Closed,Dark,Hime Ponytail,Red,None,None,Tech Sword,None,None,None,None,None,Dark Headphone,None,None,None,None,None,42.099060951382924,6569
6569,Default Hand Face,None,Red Yakuza Yukata,Mask,Red,Default,Hime Cut,Light Purple,None,None,Dark Shotgun,None,None,Fangs,None,None,None,None,None,None,None,None,39.950374469991154,6570
6570,Default Hold,None,Blue Bulletproof T-Shirt,Bland,Closed,Default,Spiky,Light Purple,None,None,None,None,None,None,Silver,None,None,None,None,Broken Arrow,None,None,43.33488283579114,6571
6571,Darker Hand ETH,None,White Sidebelt,Pout,Closed,Darker,Hime Cut,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14.030161343802996,6572
6572,None,Blue Cap,Navy Haus T-Shirt,Mumble,Pink,Dark,Braided Bun,Off White,None,Boston Glasses,None,None,None,None,None,None,Big Headphone,None,None,None,None,None,45.5131291940343,6573
6573,Default Hand ETH,Ushanka,Classic Denim,Face Mask,Closed,Default,Messy,Off White,None,None,None,None,None,None,None,Red Swords,None,None,None,None,None,None,39.92091266965461,6574
6574,None,None,Red Haus Hoodie,Bland,Silver,Dark,Long Side Swept,White,None,Blood Mark,Broken Katana,None,Goggles,None,None,None,None,None,None,None,None,None,44.00152443493779,6575
6575,None,HAUS Cap,White MURI Hoodie,Face Mask,Closed,Pale,Long Twintail,Navy,None,None,M4,None,None,None,None,None,None,None,None,None,None,None,29.97650599092136,6576
6576,None,None,Edge Jacket,Mumble,Blue,Dark,Shag,Dark,None,Splatter,None,None,None,None,Silver,None,Big Headphone,None,None,None,None,None,48.35030483771048,6577
6577,Default Open R,None,Choker Corset,Pout,Closed,Default,Long Locks,Blue,None,None,None,None,None,None,None,None,Headphone,Apple,None,None,None,None,42.50960402942546,6578
6578,None,None,Green Varsity Jacket,Grin,Red,Dark,Long Flowy Locks,Navy,Ambers,None,Red Saber,None,None,None,None,None,None,None,None,None,None,None,29.065761705094534,6579
6579,None,Agent Hat,Heart Halter,Pout,Closed,Darker,Long Locks,Navy,None,None,Ninjato,None,None,None,None,None,None,None,None,None,None,None,28.0997758671246,6580
6580,None,None,Light Technocoat,Mumble,Green,Fiend,Messy,Blue,None,None,Broken Katana,None,None,None,None,None,None,None,None,None,None,None,15.901352137264396,6581
6581,Default Open R,Ushanka,Dark Jeans Hoodie,Pout,Closed,Default,Slick Back,Off White,None,None,None,None,None,None,None,None,None,Grenade,None,None,None,None,41.75563944410387,6582
6582,None,None,Light Open Jacket,Hmm,Hazel,Dark,None,Green Gray,White Petals,None,None,None,None,None,None,None,None,None,None,None,Mecha Kabuki,None,35.35041647645416,6583
6583,None,None,White Haus Hoodie,Mask,Closed,Dark,Hime Ponytail,Green Gray,None,None,None,None,None,None,None,Tomoe,None,None,None,None,None,None,16.940256309291563,6584
6584,None,HAUS Cap,Bikini,Grin,Black,Darker,Short Ponytail,Blue,None,Blood Mark,None,None,None,None,None,Tomoe,None,None,None,None,None,None,44.88425747571957,6585
6585,None,HAUS Cap,Blood Worshipper,Meh,Closed,Dark,Hime Cut,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.204312501644434,6586
6586,Default Open R,None,Navy Ether,Open,Closed,Default,Academy,Red,None,None,None,None,None,None,None,None,None,Compass,None,None,None,None,28.628469798321028,6587
6587,Default Hand Palm,None,Yellow Trainer,Grin,Hazel,Default,Short Spiky,Light Purple,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,28.743093476478997,6588
6588,None,None,Side Shirt,A,Green,Darker,Hime Cut,Off White,Feathers,None,None,None,None,None,None,None,None,None,None,None,None,None,19.228950642916892,6589
6589,None,None,White Ether,Bland,Red,Dark,Academy,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.4869815538590356,6590
6590,Default Hand Face,None,Dark Formal Dress,Mumble,Blue,Default,Hime Ponytail,Light Purple,None,None,Dark Machete,None,None,Fangs,None,None,None,None,None,None,None,None,39.89304645611817,6591
6591,Default Hold,None,Jet Leather Coat,Open,Silver,Default,Short Spiky,Red,None,None,None,None,None,None,None,None,None,None,None,Handgun,None,None,28.07414612344032,6592
6592,Default Hand Palm,None,Red Jeans Hoodie,Grunt,Void,Default,Clean,Blue,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,28.10017626560932,6593
6593,Default Hand Palm,None,Street Agent,Bland,Void,Default,Short Fringe,Blue,None,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,28.13490856863184,6594
6594,None,Dark Spacehelm,White Haus Hoodie,Mask,Black,Dark,Messy,Blue,None,None,None,None,None,None,None,Gilded Tomoe,None,None,None,None,None,None,29.029213861215563,6595
6595,Default Hand Face,None,Blue Racer,Grunt,Red,Default,Long Flowy Locks,Navy,None,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,28.402528724278646,6596
