,Back,Outfit,Eyes,Head,Mouth,Regiment,Background,Type,Branch,Glasses,Special,Earring,Mask,Marking,Rarity score,Token Id
4103,Rifle Black Ammo,Mach-3 Utility Jacket Jungle,Smug Poppy,Skunk WcHeadset,Plump,48,Airforce,Human,Airforce,Clear Specs,None,None,None,None,33.43765070341655,4103
4104,Rifle Primitive,Urban Street Camo,,Hime Ponytail,Plump,99,Army,Human,Army,None,None,None,None,None,0.6442557388683771,4104
4105,Rifle Navy Gray,Black Rose,Blithe Poppy,Brozo,Plump,76,Ocean Blue,Human,Navy,Golden Specs,None,None,None,None,33.787056315881856,4105
4106,Rifle Red Ammo,Urban Street Camo,Basic Fern,Hime Ponytail,Plump,22,Army,Human,Army,None,None,None,None,None,0.0,4106
4107,R-H00D Compound Blue,BANii Maid,Lined Russet,Skunk Pony,Plump,41,Party Pink,Human,Special Ops,Scouter Green,None,None,None,None,36.75137219812791,4107
4108,Rifle Leather,Meka Vest Camo Jungle,Basic Wisteria,Chainwhip,Smoke,12,Army,Human,Army,Scouter Green,None,None,None,None,38.86580597491788,4108
4109,Ornamental Cutlas,Qipao,Bold Crimson,Horse Girl,Fang Smirk,86,Crimson Records,Human,Historical,None,None,None,None,None,20.33453192916915,4109
4110,Rifle Lucky 8,Military Street Choker,Basic Wisteria,Black Rose,Full Kiss,78,Army,Human,Army,None,None,None,None,None,15.306148889996047,4110
4111,Sashimono Orca,Apprentice,Gazing Russet,Fringe WcSnapback,Lollipop,22,Crimson Records,Human,Historical,None,None,None,None,None,22.779718832004974,4111
4112,Rifle Black Ammo,Mach-3 Utility Jacket Jungle,Periwinkle,Rebel Girl Ao,Plump,98,Bluefire,Ao Oni,Airforce,None,None,None,None,None,30.072852249707783,4112
4113,Rifle Primitive,Military Street Polar,Sapphire Highlights,Cashier WcVisor,Plump,71,Army,Human,Army,Genius,None,None,None,None,27.329619141774685,4113
4114,Rifle Black Ammo,Mach-3 Utility Jacket Jungle,Sapphire Highlights,Braid WcHeadset,Plump,22,Airforce,Human,Airforce,Starstruck Blue,None,None,None,None,34.334946643779354,4114
4115,Ninja Makimono,Combat Vest Polar,Periwinkle,Side Pony Aka,Plump,05,Flaming Hibisucus,Aka Oni,Shinobi,None,None,None,None,None,32.87059406007806,4115
4116,Rifle Primitive,Stealth Vest Camo,Bold Iron,Kiwi Cut ,Plump,72,Army,Human,Army,None,None,None,None,None,1.4263123380309852,4116
4117,Rifle Medic,Medic's Flak Jacket,Cheeky Fern,Kiwi Cut ,Plump,50,Healing Pulse,Human,Support,None,None,None,None,None,5.3171574071001215,4117
4118,Rifle Red Ammo,Tactical Overalls,,Blue Trouble Aka,Fang Smirk,87,Flaming Hibisucus,Aka Oni,Army,Tea Glasses,None,None,None,None,60.66478011463563,4118
4119,Rifle Red Ammo,BlackPink Mamba,,Bobcut Aka,Plump,70,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,24.801360937351376,4119
4120,Dual Katanas Black Gold,Hakama,Gazing Wisteria,Loose Strand ,Popsicle,55,Crimson Records,Human,Historical,None,None,None,None,None,22.122681276863894,4120
4121,Rifle Navy Black,Admiral's Coat,Foxy Fern,Fringed Bob,Plump,56,Ocean Blue,Human,Navy,None,None,None,None,None,8.5443960809851,4121
4122,Rifle Blue,Combat Stealth,Peridot Rebel,Henti,Plump,96,Army,Human,Army,None,None,None,None,None,1.4583201109161155,4122
4123,Rifle Custom,Combat Stealth,Frozen Corruption,Kojiroh,Boo!Boo! Gum,73,Army,Human,Army,None,None,None,None,None,15.639414043514169,4123
4124,Rifle Primitive,Urban Street Camo,Lined Poppy,Bozo Goth Babe,Plump,67,Army,Human,Army,None,None,None,None,None,1.874963023257291,4124
4125,Parachute,Aviator Jacket Turtleneck,Glaring Wisteria,Hino,Plump,04,Airforce,Human,Airforce,None,None,None,None,None,8.823203515587283,4125
4126,Hunter's Rifle Forest,Midnight Raven,Base Fern,The Dreaded One,Saucy,86,Party Pink,Human,Special Ops,None,None,None,None,None,26.14475258650008,4126
4127,Rifle Navy Grey,Admiral's Coat,Basic Wisteria,Chocolate Ao,Fang Smirk,03,Bluefire,Ao Oni,Navy,None,None,None,None,None,39.836916370438004,4127
4128,Rifle Lucky 8,Locked n' Loaded,Basic Fern,Shrine Maiden ,Tasty,42,Army,Human,Army,None,None,None,None,None,15.46953968262422,4128
4129,DEMIURGE Autonomous Pseudo-Priestess System,Protection Starbeam,Cheeky Iron,Maegami,Plump,74,Mana Portal,Human,Support,None,None,None,None,None,6.4197136891750395,4129
4130,Spellblade,Survival Suit Polar,Base Fern,Henti,Plump,12,Mana Portal,Human,Support,None,None,None,None,None,4.72753061041377,4130
4131,Rifle Scorpion Polar,Sailor Stripes,,Horse Girl,Fang Smirk,49,Ocean Blue,Human,Navy,None,None,None,None,None,19.113553351991015,4131
4132,Crown Staff,Protection Starbeam,Coy Crimson,Pastel Buns Aka,Lollipop,62,Flaming Hibisucus,Aka Oni,Support,Ornate Violet,None,None,None,None,64.72462280881422,4132
4133,Assault Rifle Maverick,Aviator Jacket Turtleneck,Base Iron,Loose Strand Ao,Plump,85,Bluefire,Ao Oni,Airforce,None,None,None,None,None,29.14677957074382,4133
4134,M16 Heavy Assault Rifle Red,NanoGoth,Doe Russet,Fringed Bob,Full Kiss,15,Party Pink,Human,Special Ops,None,None,None,None,None,26.465186224748628,4134
4135,MK-14 Amphibious Assault Rifle,Sailor Uniform Tokyo,Curious Russet,Pastel Buns Aka,Fang Smirk,30,Flaming Hibisucus,Aka Oni,Navy,None,None,None,None,None,41.391173243419374,4135
4136,Rifle Navy Grey,Sailor Uniform Osaka,Bold Crimson,Fringed Bob,Plump,47,Ocean Blue,Human,Navy,None,None,None,None,None,8.271959358906049,4136
4137,Rifle Orange,Urban Security,Gazing Russet,Topknot WcVisor,Plump,26,Army,Human,Army,None,None,None,None,None,1.3461976744039097,4137
4138,Dual Katanas Black Gold,Student,Wary Crimson,Arctic Bad Boy,Plump,23,Crimson Records,Human,Historical,None,None,None,None,None,8.944998888068072,4138
4139,V6 Mana Blaster,Arctic Magus,Blithe Poppy,Service WcVisor,Plump,44,Mana Portal,Human,Support,None,None,None,None,None,6.166568329132314,4139
4140,Rifle Custom,Urban Security,Gazing Wisteria,Windswept,Lollipop,03,Army,Human,Army,None,None,None,None,None,14.879868312593622,4140
4141,Rifle Red Ammo,BlackPink Mamba,Doe Russet,Side Pony ,Lollipop,21,Army,Human,Army,Genius,None,None,None,None,40.487270343012185,4141
4142,Field Medic Kit,Exo-Medicine,Dark Fern,Topknot WcVisor,Plump,32,Healing Pulse,Human,Support,Lexington,None,None,None,None,31.601672738272917,4142
4143,Katana Black,Fishnet Overalls Polar,Basic Fern,Huntress,Plump,27,Shadow Reflection,Human,Shinobi,Evil Glare,None,None,None,None,36.382868542375654,4143
4144,Rifle Navy Black,Sailor Uniform Okinawa,Basic Wisteria,Black Rose,Plump,14,Ocean Blue,Human,Navy,None,None,None,None,None,7.781639501935693,4144
4145,Rifle Stock Custom Orange,Light Armor Desert Camo,Basic Wisteria,Kiwi Cut ,Fangs Out,51,Army,Human,Army,None,None,None,None,None,15.245287757480636,4145
4146,Combat Scalpel,Medic's Flak Jacket,Basic Fern,ECG Headgear,Plump,31,Healing Pulse,Human,Support,None,None,None,None,None,5.439034534369607,4146
4147,Rifle Red,Camo Vest Polar,Glaring Poppy,Bronsn ,Smoke,16,Army,Human,Army,None,None,None,None,None,14.905490304701749,4147
4148,Rifle Stock Custom Green,Tactical Vest Camo,Basic Fern,Kiwi Cut ,Plump,37,Army,Human,Army,None,None,None,None,None,0.4327346579966484,4148
4149,Rifle Custom,Tracksuit Snood Desert,Peridot Rebel,Kojiroh Ao,Fang Smirk,19,Bluefire,Ao Oni,Army,None,None,None,None,None,36.6612983542616,4149
4150,Rifle Navy Grey,Sailor Stripes,Doe Poppy,Bobcut,Lollipop,83,Ocean Blue,Human,Navy,None,None,None,None,None,22.65787279793406,4150
4151,Auto Rifle Lime,Tactical Flight Jacket Olive,Basic Wisteria,Stardust ,Plump,73,Airforce,Human,Airforce,None,None,None,None,None,8.252761305266429,4151
4152,Sashimono Night,Hakama,Dark Fern,Ao Tsuno,Fang Smirk,39,Crimson Records,Human,Historical,None,None,None,None,None,20.86009541395514,4152
4153,Pilot Wings,Fighter Pilot Turtle,Glaring Poppy,Lawliet ,Fangs Out,46,Airforce,Human,Airforce,None,None,None,None,None,23.6033326927701,4153
4154,R-H00D Compound Red,Magician's Assistant,Lined Russet,Tanuki,Smoke,91,Party Pink,Human,Special Ops,Heartbeat Blue,None,None,None,None,50.171484889308495,4154
4155,Pilot Wings,Fighter Pilot Turtle,Gazing Russet,Topknot ,Popsicle,27,Airforce,Human,Airforce,None,None,None,None,None,22.45284201771668,4155
4156,Rifle Red,Urban Street Camo,Wary Crimson,Two Block ,Popsicle,70,Army,Human,Army,None,None,None,None,None,14.905443494409113,4156
4157,Crown Staff,Crimson Shell Armor,Bold Crimson,Night Shift,Lollipop,60,Mana Portal,Human,Support,None,None,None,None,None,19.498105139020954,4157
4158,Twin Chain Katanas,Street Ninja,Base Fern,Kojiroh,Fang Smirk,17,Shadow Reflection,Human,Shinobi,None,None,None,None,None,23.16448379980377,4158
4159,Katana Black Kiss,Ruby Diamond,Basic Wisteria,Mommy,Full Kiss,74,Crimson Records,Human,Historical,None,None,None,None,None,22.55536174433073,4159
4160,Rifle Red Ammo,Military Street Jungle,Neon Yellow Highlights,Horse Girl,Fang Smirk,91,Army,Human,Army,None,None,None,None,None,13.033941393057352,4160
4161,Rifle Leather,Military Street Jungle,Cheeky Fern,Stardust ,Plump,85,Army,Human,Army,None,None,None,None,None,1.6634425831899213,4161
4162,Rifle Navy Grey,Admiral's Coat,Lined Poppy,Rebel Girl ,Plump,46,Ocean Blue,Human,Navy,None,None,None,None,None,8.505931347690705,4162
4163,Rifle Custom,Camo Vest Polar,Dark Crimson,Henti,Fang Smirk,41,Army,Human,Army,None,None,None,None,None,12.553206940640663,4163
4164,Katana Silver,Armoured Greatcoat,Wary Russet,0xBunnies,Popsicle,22,Crimson Records,Human,Historical,None,None,None,None,None,23.321299027249875,4164
4165,Sashimono Red Dawn,Sleeveless Kimono,,Kiwi Cut ,Plump,44,Crimson Records,Human,Historical,None,None,None,None,None,8.182260912612445,4165
4166,M-16 Heavy Assault Rifle,Black Rose,Gazing Russet,Bronsn Ao,Fang Smirk,60,Bluefire,Ao Oni,Navy,None,None,None,None,None,40.80153072245649,4166
4167,Rifle Stock Custom Orange,Light Armor Desert Camo,Coy Wisteria,Braid WcHeadset,Choco Stick,28,Army,Human,Army,None,None,None,None,None,15.274129253021066,4167
4168,Dual Combat Scalpels,Silent Angel,Curious Iron,Raven Ao,Popsicle,17,Bluefire,Ao Oni,Support,None,None,None,None,None,40.667028223572075,4168
4169,Rifle Navy Grey,Sailor Uniform Tokyo,,Twintails Ao,Plump,84,Bluefire,Ao Oni,Navy,None,None,None,None,None,28.899979594633685,4169
4170,Hunter's Rifle Forest,Mr. Scientist,Tense Fern,Two Block ,Saucy,70,Party Pink,Human,Special Ops,None,None,None,None,None,26.487625908949386,4170
4171,Ornamental Sword,Oni Seifuku Kuro,Solar,Hime Ponytail,Plump,66,Crimson Records,Human,Historical,None,None,None,None,None,9.204590629665722,4171
4172,Crown Staff,Battle Mage,Basic Fern,Hime Ponytail,Fangs Out,47,Mana Portal,Human,Support,None,None,None,None,None,18.82510633659918,4172
4173,Katana Snow Serpent,Decorated Chunin Garb,Relaxed,Kojiroh ,Choco Stick,11,Shadow Reflection,Human,Shinobi,None,None,None,None,None,26.51012874910967,4173
4174,Rifle Heavy,Kevlar BANii,Wary Russet,Loose Strand ,Plump,01,Army,Human,Army,Surgeon's Spectacles,None,None,None,None,25.942024503572476,4174
4175,Katana Silver,Armoured Greatcoat,Relaxed,Monochromatic Wolf,Choco Stick,32,Crimson Records,Human,Historical,None,None,None,None,None,22.984824954913986,4175
4176,Rifle Navy Black,Admiral's Coat,Foxy Crimson,Tsunami,Plump,23,Ocean Blue,Human,Navy,None,None,None,None,None,9.236652897517846,4176
4177,Rifle Custom,Urban Camo,Base Iron,Speedster Ao,Boo!Boo! Gum,35,Bluefire,Ao Oni,Army,None,None,None,None,None,38.2379323969286,4177
4178,Chef's Rusty Pan,Staff WcUniform,Obsidian,Kiwi Sparkle ,Plump,79,Golden Hex,Human,Support,None,None,None,None,None,7.9742427422967594,4178
4179,Rifle Charcoal,Black Rose,Base Fern,0xBunnies,Fangs Out,99,Ocean Blue,Human,Navy,None,None,None,None,None,22.872664679085716,4179
4180,Shuriken Black,Tactical Overalls Polar,Coy Crimson,Twintails,Tasty,68,Shadow Reflection,Human,Shinobi,None,None,None,None,None,27.17345783074948,4180
4181,Carbine Black,Mach-3 Utility Jacket Navy,Obsidian,Bobcut Aka,Plump,68,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,30.07607431593084,4181
4182,Rifle Khaki,Able Seaman's Uniform,Blithe Russet,Greenhorn,Plump,43,Ocean Blue,Human,Navy,None,None,None,None,None,9.095704039337054,4182
4183,Yumiya,Sode Hoodie,Scarred Slumber,Fringe WcSnapback,Fang Smirk,89,Crimson Records,Human,Historical,Tinted Specs,None,None,None,None,45.29417725867504,4183
4184,Rifle Charcoal,Naval Academy Uniform,Base Iron,Red Foxy,Plump,71,Ocean Blue,Human,Navy,None,None,None,None,None,8.220784627215481,4184
4185,Rifle Medic,Combat Surgeon,Cheeky Fern,Blonde Bombshell,Fangs Out,90,Healing Pulse,Human,Support,Aviators Sunrise,None,None,None,None,45.01543874535155,4185
4186,Rifle Heavy,Urban Camo,Blithe Poppy,Messy Chunin ,Plump,02,Army,Human,Army,None,None,None,None,None,1.2949245101573978,4186
4187,Rifle Scorpion Polar,Dropzone Down Jacket Red,Basic Fern,Rebel Girl ,Plump,71,Party Pink,Human,Special Ops,None,None,None,None,None,10.553950077365405,4187
4188,Rifle Heavy,Tactical Woodlands,Peridot Rebel,Service WcVisor,Smoke,05,Army,Human,Army,Lexington Clear,None,None,None,None,39.94574944546019,4188
4189,Spellblade,Street Magus,Gazing Russet,Red Foxy,Smoke,77,Mana Portal,Human,Support,None,None,None,None,None,18.77711743656438,4189
4190,Parachute,Tactical Flight Armor,Base Fern,Speedster Ao,Saucy,59,Bluefire,Ao Oni,Airforce,Rosy Specs,None,None,None,None,68.19794054387837,4190
4191,Rifle Heavy,Aviator Jacket Turtleneck,Wary Russet,Hollywood,Fang Smirk,88,Airforce,Human,Airforce,Surgeon's Spectacles,None,None,None,None,44.611704921946426,4191
4192,Rifle Red Ammo,Tactical Parade Fur,Basic Fern,Rebel Girl ,Plump,83,Army,Human,Army,None,None,None,None,None,0.41987973434508924,4192
4193,HELLFIRE Support Drones,Summoner Defensive Vest,Tense Iron,Monochromatic Wolf,Smoke,60,Mana Portal,Human,Support,None,None,None,None,None,19.305878623851775,4193
4194,R-H00D Compound Red,Midnight Raven,Vexxed Poppy,Loose Strand ,Popsicle,88,Party Pink,Human,Special Ops,None,None,None,None,None,25.705666461587366,4194
4195,None,None,None,None,None,76,Moonsilver,Human,Astronaut,None,Unique,None,None,None,59.177935469670864,4195
4196,Sashimono Glacial,Kimono Blue Orchid,Basic Wisteria,Bao Buns,Plump,53,Crimson Records,Human,Historical,None,None,None,None,None,8.589289567563222,4196
4197,Rifle Heavy,Tactical Woodlands,Scarred Slumber,Loose Strand ,Smoke,48,Army,Human,Army,None,None,None,None,None,14.937604203777493,4197
4198,Assault Rifle Khaki,Tactical Flight Armor,Scarred Slumber,Greater Greased Aka,Smoke,39,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,43.3490405241291,4198
4199,Rifle Lucky 8,Military Street Choker,Smug Poppy,Maegami,Popsicle,26,Army,Human,Army,None,None,None,None,None,15.876593027636812,4199
4200,Dual Katanas Black Gold,Jiangshi,Cheeky Iron,Shrine Maiden ,Choco Stick,02,Crimson Records,Human,Historical,None,None,None,None,None,22.481653382509567,4200
4201,Rifle Medic,Silent Angel,Basic Fern,Rebel Girl ,Pog,30,Healing Pulse,Human,Support,None,None,None,None,None,19.148800828686277,4201
4202,DEMIURGE Autonomous Pseudo-Priest System,Street Magus,Peridot Rebel,Frozen Gold,Plump,74,Mana Portal,Human,Support,None,None,None,None,None,6.346021361970018,4202
4203,Rifle Red,Urban Camo,Glaring Wisteria,Two Block ,Boo!Boo! Gum,00,Army,Human,Army,None,None,None,None,None,14.851015592274313,4203
4204,Rifle Custom,Frogsplash Jungle,Base Iron,Mewsashi,Fang Smirk,79,Army,Human,Army,None,None,None,None,None,11.514868200718492,4204
4205,Dual Katanas Black Gold,Gusoku,Gazing Russet,Greased Aka,Boo!Boo! Gum,46,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,43.554179667201026,4205
4206,Katana Black Kiss,Kimono Blue Orchid,Smug Fern,Kiwi Cut ,Fang Smirk,24,Crimson Records,Human,Historical,None,None,None,None,None,19.96596383570643,4206
4207,Rifle Stock Custom Orange,Tactical Overalls,,Mommy,Plump,82,Army,Human,Army,None,None,None,None,None,1.3590173294948809,4207
4208,Chef's Rusty Pan,Staff WcUniform,Smug Poppy,Bobcut Aka,Plump,15,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,26.704940398489953,4208
4209,Dual Katanas Black Gold,Kimono Hibuscus,Curious Russet,Bozo Goth Babe,Plump,54,Crimson Records,Human,Historical,None,None,None,None,None,9.201373689948651,4209
4210,Katana Black,Sleeveless Vest Mauve,Basic Wisteria,Skunk Buns,Boo!Boo! Gum,14,Lilac,Human,Shinobi,Aviators Sunrise,None,Dangling Heirloom,None,None,83.22527494423741,4210
4211,Parachute,Aviator Jacket,Scrunched,Eth-ore,Fang Smirk,70,Airforce,Human,Airforce,None,None,None,None,None,20.828076090235427,4211
4212,Rifle Khaki,Naval Academy Uniform,Base Iron,Delinquent,Smoke,40,Ocean Blue,Human,Navy,Basic Specs,None,None,None,None,46.175394933243595,4212
4213,Pilot Wings,Aviator Jacket,Vexxed Iron,Mewsashi,Choco Stick,14,Airforce,Human,Airforce,Aviators,None,None,None,None,46.57276861793086,4213
4214,Rifle Red,Frogsplash Jungle,Glaring Wisteria,Delinquent,Plump,03,Army,Human,Army,None,None,None,None,None,1.2500117957505998,4214
4215,Rifle Orange,Urban Street Camo,Peridot Rebel,Henti,Plump,10,Army,Human,Army,None,None,None,None,None,1.2755981985048348,4215
4216,Carbine Black,Gun BANii,,Bunny Girl Aka,Plump,33,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,29.130685916329075,4216
4217,Rifle Orange,Camo Vest Polar,Gazing Russet,Loose Strand ,Popsicle,26,Army,Human,Army,None,None,None,None,None,14.902323384277055,4217
4218,Cyber Reaper,Crimson Shell Armor,Cheeky Iron,Coral ,Choco Stick,28,Mana Portal,Human,Support,None,None,None,None,None,19.081519932353242,4218
4219,Auto Rifle Lime,Fur Lined Turtle,Basic Fern,Pilot Goggles,Fang Smirk,41,Airforce,Human,Airforce,None,None,None,None,None,19.88273706961948,4219
4220,Cyber Reaper,Vest of Shielding,Bold Crimson,Pink Trouble Ao,Fang Smirk,92,Bluefire,Ao Oni,Support,None,None,None,None,None,37.5201603421978,4220
4221,Rifle Khaki,Black Rose,Blithe Russet,Swept Back Aka,Plump,62,Flaming Hibisucus,Aka Oni,Navy,None,None,None,None,None,30.09537592180549,4221
4222,Rifle Red,Kevlar BANii,Tense Fern,Stardust BANii,Boo!Boo! Gum,45,Army,Human,Army,Rosy Specs,None,None,None,None,40.144365919826264,4222
4223,Hunter's Rifle Red,Cyborg,Peridot Rebel,Mewsashi,Plump,71,Party Pink,Human,Special Ops,None,None,None,None,None,12.037786370369956,4223
4224,Rifle Medic,Exo-Medicine,Base Iron,Messy Chunin ,Plump,15,Healing Pulse,Human,Support,Golden Specs,None,None,None,None,29.08910939319005,4224
4225,Ketchup Dispenser,Drive-Through,Glaring Poppy,Kojiroh,Choco Stick,84,Golden Hex,Human,Support,None,None,None,None,None,20.92767670829221,4225
4226,Carbine Black,Gun BANii,Doe Russet,Kiwi Sparkle ,Plump,49,Airforce,Human,Airforce,None,None,None,None,None,9.098761303209175,4226
4227,Rifle Leather,Stealth Vest Camo,Lined Russet,Bozo Babe,Smoke,22,Army,Human,Army,Clear Specs,None,None,None,None,39.753457204073804,4227
4228,R-H00D Compound Blue,Maid to Kill,Basic Fern,Horse Girl,Choco Stick,03,Party Pink,Human,Special Ops,None,None,None,None,None,24.08415915028514,4228
4229,Assault Rifle Khaki,Aviator Jacket,Base Iron,Greased Aka,Plump,12,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,28.682077219468827,4229
4230,Katana Black,Fishnet Overalls Polar,Bold Crimson,Kiwi Cut ,Plump,38,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.133969364799183,4230
4231,Sashimono Red Dawn,Oni Seifuku Shiro,Sapphire Highlights,Forest Fire,Plump,02,Crimson Records,Human,Historical,None,None,None,None,None,10.031483949285445,4231
4232,Cyber Reaper,Battle Mage,Basic Fern,Short not Sweet Ao,Plump,79,Bluefire,Ao Oni,Support,Heartbeat Blue,None,None,None,None,49.96251887931599,4232
4233,Pilot Wings,Mach5,Base Fern,Topknot ,Lollipop,38,Airforce,Human,Airforce,None,None,None,None,None,22.0073980025549,4233
4234,Rifle Navy Black,Sailor Stripes,Coy Crimson,Frostbite,Smoke,31,Ocean Blue,Human,Navy,None,None,None,None,None,22.071437596587028,4234
4235,Rifle Custom,Camo Vest Desert,Base Fern,Windswept Aka,Popsicle,44,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,38.71219130667632,4235
4236,Tech Shuriken,Decorated Chunin Garb,Glaring Poppy,Topknot WcVisor,Lollipop,42,Shadow Reflection,Human,Shinobi,None,None,None,None,None,26.981214638239738,4236
4237,Carbine Black,Tactical Flight Jacket Olive,,Bozo Babe,Plump,98,Airforce,Human,Airforce,Evil Genius,None,None,None,None,33.03704181079002,4237
4238,Rifle Red Ammo,Meka Vest Camo Jungle,Coy Wisteria,Fractured Emerald Aka,Plump,32,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,25.387800308371343,4238
4239,Dual Combat Scalpels,Hazard Zone,Gazing Wisteria,Two Block ,Plump,91,Healing Pulse,Human,Support,None,None,None,None,None,5.698670521762411,4239
4240,Rifle Primitive,Urban Street Camo,Curious Iron,Sagittarius WcHeadset,Plump,19,Army,Human,Army,Clear Specs,None,None,None,None,26.22076044208702,4240
4241,Rifle Custom,Urban Street Camo,Blithe Russet,Spiky Ao,Plump,27,Bluefire,Ao Oni,Army,None,None,None,None,None,25.108978771735334,4241
4242,Cyber Claymore Pink,Decorated Chunin Garb,Glaring Poppy,Messy Chunin ,Plump,95,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.64994391765632,4242
4243,Combat Scalpel,Medic's Flak Jacket,Obsidian,Oritsu Ao,Plump,50,Bluefire,Ao Oni,Support,Aviators Sunset,None,None,None,None,51.05521340318383,4243
4244,Dual Katanas Black Gold,Kimono Ichimatsu Checkered Blue,Wary Russet,Farmer Hat,Fang Smirk,26,Crimson Records,Human,Historical,None,None,None,None,None,20.388966882569758,4244
4245,Rifle Red,Tracksuit Snood Desert,Vexxed Poppy,Messy Chunin ,Smoke,42,Army,Human,Army,None,None,None,None,None,14.629864220889427,4245
4246,E.M.U. Helmet,E.M.U,,Fringed Bob,Fang Smirk,30,Moonsilver,Human,Astronaut,Smart Glasses,None,None,None,None,48.23605793538172,4246
4247,HELLFIRE Support Drones,Summoner Defensive Vest,Blithe Russet,Two Block ,Plump,26,Mana Portal,Human,Support,None,None,None,None,None,5.583211239666495,4247
4248,Katana Black,Kimono Ichimatsu Checkered Blue,Gazing Wisteria,Bronsn ,Plump,37,Crimson Records,Human,Historical,None,None,None,None,None,8.26238166213865,4248
4249,TERRAPIN Multi-Purpose Support Drones,IVA Flight Suit,Coy Crimson,Coral ,Pog,29,Moonsilver,Human,Astronaut,None,None,None,None,None,28.048367945554315,4249
4250,Rifle Heavy,Kevlar BANii,Tense Iron,Greased Ao,Pog,99,Bluefire,Ao Oni,Army,None,None,None,None,None,40.0773590885698,4250
4251,Rifle Primitive,Meka Vest Camo Jungle,Coy Wisteria,Raven Ao,Fang Smirk,50,Bluefire,Ao Oni,Army,None,None,None,None,None,36.860029276172426,4251
4252,Ornamental Cutlas,Oni Seifuku Shiro,,Oriental Hat,Plump,72,Crimson Records,Human,Historical,None,None,None,None,None,8.916178236838828,4252
4253,Rifle Navy Black,Sailor Uniform Osaka,Smug Poppy,Night Shift,Fang Smirk,60,Ocean Blue,Human,Navy,None,None,None,None,None,19.837776584744653,4253
4254,R-H00D Compound Red,Crimson Hawk,Base Fern,Two Block ,Plump,49,Party Pink,Human,Special Ops,None,None,None,None,None,11.002620966311879,4254
4255,The Reaper,Fishnet Overalls Polar,Basic Fern,Horse Girl,Plump,47,Shadow Reflection,Human,Shinobi,None,None,None,None,None,11.733363680034579,4255
4256,Rifle Charcoal,Sailor Uniform Aomori,Base Fern,Bozo Sharky,Plump,54,Ocean Blue,Human,Navy,None,None,None,None,None,8.32975328637036,4256
4257,Rifle Heavy,Frogsplash Jungle,Gazing Wisteria,Mewsashi Ao,Choco Stick,29,Bluefire,Ao Oni,Army,None,None,None,None,None,37.92391018884089,4257
4258,HELLFIRE Support Drones,Serpent Shell Armor,Curious Russet,Side Pony ,Popsicle,26,Mana Portal,Human,Support,None,None,None,None,None,19.825046711528564,4258
4259,Unicorn Blast,Magician's Assistant,Emerald Highlights,Foxtrot,Fangs Out,30,Party Pink,Human,Special Ops,None,None,None,None,None,27.176634051122107,4259
4260,Katana Black Kiss,Kimono Ichimatsu Checkered Blue,Tense Fern,Loose Strand ,Plump,87,Crimson Records,Human,Historical,None,None,None,None,None,8.836047223064709,4260
4261,Cyber Reaper,Vest of Shielding,Basic Wisteria,Rebel Girl Aka,Plump,97,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,25.46471118772247,4261
4262,Rifle Primitive,Meka Vest Camo Jungle,Cheeky Fern,Side Pony ,Smoke,50,Army,Human,Army,None,None,None,None,None,15.40230014259985,4262
4263,Combat Scalpel,Nurse Set,Emerald Highlights,Black Curtain,Plump,78,Healing Pulse,Human,Support,None,None,None,None,None,6.727399483311134,4263
4264,Scepter of Revelations,Arctic Magus,Vexxed Poppy,Two Block ,Plump,69,Mana Portal,Human,Support,None,None,None,None,None,5.7563073481196065,4264
4265,Field Medic Kit,Bulwark Exo,Relaxed,Kojiroh,Saucy,96,Healing Pulse,Human,Support,None,None,None,None,None,21.55248239576672,4265
4266,Proton Key,Armored Insulated Ground Suit,Glaring Poppy,Henti,Fang Smirk,02,Moonsilver,Human,Astronaut,None,None,None,None,None,24.420690608070096,4266
4267,Long Range Comms Pack,Insulated Combat Suit,Obsidian,Horse Girl Aka,Choco Stick,64,Flaming Hibisucus,Aka Oni,Astronaut,None,None,None,None,None,46.242768488564245,4267
4268,Rifle Navy Black,Sailor Uniform Osaka,Basic Wisteria,Regal Maiden Ao,Saucy Fangs,10,Bluefire,Ao Oni,Navy,None,None,None,None,None,43.45800405279564,4268
4269,Rifle Red,Combat Stealth,Base Fern,Brozo,Plump,31,Army,Human,Army,None,None,None,None,None,0.8493971314046795,4269
4270,Rifle Khaki,Able Seaman's Uniform,Wary Crimson,Storm Captain's Cap,Fangs Out,92,Ocean Blue,Human,Navy,Rosy Specs,None,None,None,None,48.25831778595672,4270
4271,Carbine Black,Gun BANii,Basic Wisteria,Blonde Bombshell,Plump,56,Airforce,Human,Airforce,None,None,None,None,None,7.9578284637570444,4271
