,Dance,Music,Background,Expression,Ears,Nose,Mouth,Head,Neck,Top,Eyewear,Eyes,Fur,Sex,Rarity score,Token Id
3652,Groove,Electric Carrots,Beach,Mouth Open (Right) + Wink,Steel Studs,Steel Ring,Joint,Sombrero,,Leather Vest,,Red,Sky,Male,44.829843539077345,3652
3653,Subtle Nod,Eating Carrots in the Dark,Mansion,Mouth Open (Left),FLUF Tag,Bull Ring,Party Horn,Sombrero,Glowstick Necklace,,,Blast,Bully,Male,48.63977931969203,3653
3654,Bob,Desert Digging,Garden,Sad,FLUF Tag,,,Conical Hat,,,,Demon,Darkness,Female,32.746135218345024,3654
3655,Side To Side,Dubhop,Beach,Mouth Open (Middle),FLUF Tag,Clown Nose,Pacifier,Birthday Hat,,High Vis Vest,,Inverted,Darkness,Male,51.26103229054021,3655
3656,Round,Run Rabbit,Mansion,Mouth Open (Right) + Wink,,,Cigarette,,,Camo Jacket,Sunglasses,Brown,Sky,Male,33.86195136033388,3656
3657,Subtle Nod,Floating or Flying,Lambo,Mouth Open (Middle),Steel Rings,,Whistle,Sombrero,Collar (Pink),Leather Vest,,Scribble,Marshmellow,Female,66.22409517384055,3657
3658,Subtle Nod,Higher,Star Explorer,Blank,Gold Rings,Steel Stud,,Flower Crown,Tie,,Cyberpunk Glasses,Xs,Cow,Male,57.09110759004098,3658
3659,Side Nod,FLUF You Up,Backalley,Mouth Open (Middle),,Bull Ring,Whistle,,Dog Tags,,Steampunk Goggles,Green,Bully,Male,45.8155551899151,3659
3660,Round,I Love FLUF,Thank You For Having Us,Blank + Wink,Diamond Studs,Bull Ring,,Conical Hat,Collar (Pink),,,Red (Dilated),Honeycomb,Female,58.37309755183105,3660
3661,Round,Let The Story Begin,FTW (F*ck The War),Mouth Open (Left),Bit Ear,Steel Stud,Lollipop,Afro (Black),Collar (Black),,Bug Eye Glasses,Blue,Winter,Female,81.25596243651555,3661
3662,Side To Side,Shadows,Dunes,Mouth Open (Right) + Wink,Gold Rings,Steel Ring,Pipe,,,White Singlet,,Scribble,Tiger,Male,40.285484526332276,3662
3663,Big Nod,Rabbiton,Mansion,Mouth Open (Right),Bandaged,,Carrot,,,Camo Jacket,Neon Glasses,Green,Marshmellow,Male,40.767638846556146,3663
3664,Bob,Hop With Me,Markets,Mouth Open (Right),Steel Rings,,Joint,Afro (Base),Tie,,Neon Glasses,Glowing White,Cow,Male,50.15695845527177,3664
3665,Side Nod,Desert Digging,Dunes,Anger,,Bone,Lollipop,Pirate Hat,,Puffer Vest,Heart Glasses,Brown,Moody Blue,Female,72.39510950802118,3665
3666,Round,Disco Rabbit,Mansion,Blank + Wink,Gold Studs,,Medical Mask,,Collar (Pink),Boob Tube,,Green (Dilated),Brown,Female,58.85592390818669,3666
3667,Big Nod,Follow You,Swamp,Blank,,,Medical Mask,,Gold Chain,Leather Vest,,Blue,Red,Male,24.28623544543669,3667
3668,Groove,Beyond the Gates,Dunes,Anger,Steel Studs,Bull Ring,,,Bowtie (Gold),,,Green (Dilated),Camo,Female,38.71071539562698,3668
3669,Groove,Disco Rabbit,Spaceship,Mouth Open (Middle),,Bone,Whistle,Tennis Hat,Collar (Black),,,Red,Smoothie,Male,37.161034596661054,3669
3670,Round,Dubhop,Pass,Blank,,,,Devil Horns,,White Singlet,Heart Glasses,Glowing White,Camo,Male,36.31268490150291,3670
3671,Bob,All I Need,The Front,Mouth Open (Right),Gold Rings,Steel Ring,Joint,Mohawk (Black),Collar (Black),,,Heart (Blue),Cow,Male,41.344324226304316,3671
3672,Side Nod,Follow You,Swamp,Grin + Wink,Steel Rings & Studs,Gold Stud,,Tuft (Blonde),Dog Tags,Puffer Vest,,Heart (Blue),Winter,Female,71.53537622899059,3672
3673,Side Nod,FLUF You Up,Beach,Anger,Gold Rings,,,Flower Crown,Bowtie (Gold),Holographic Jacket,,Mandala,Brown,Male,41.33243463593959,3673
3674,Subtle Nod,Run Rabbit,Spaceship,Blank,,,Medical Mask,Halo,,Black FLUF Singlet,,Fire,Sky,Male,25.897026856102883,3674
3675,Big Nod,Disco Rabbit,Lambo,Mouth Open (Middle),FLUF Tag,Bull Ring,Pacifier,,,Boob Tube,,Purple,Sandy,Female,54.250770403749804,3675
3676,Subtle Nod,Rabbiton,Backalley,Grin,Gold Rings,Bull Ring,,Cowboy Hat,,High Vis Vest,,Hypnotic,Guernica,Male,40.366644755628215,3676
3677,Bob,Coffee and Carrots,Markets,Blank,,Steel Stud,,,Headphones,,Sunglasses,Demon,Darkness,Male,31.540877897113027,3677
3678,Groove,Back in the Burrow,Gallery,Mouth Open (Left),Gold Rings,Steel Ring,Lollipop,Afro (Base),Collar (Pink),,,Cat (Blue),Orange,Female,60.13370825559048,3678
3679,Groove,I Love FLUF,Thank You For Having Us,Mouth Open (Right),Steel Rings,Steel Stud,Carrot,Mohawk (Base),,Leather Vest,Neon Glasses,Green,Sky,Male,56.15777192009463,3679
3680,Bob,Dubhop,Mansion,Smile,Steel Studs,,Lip Piercings,Pirate Hat,Headphones,,Neon Glasses,Brown,Grey,Male,52.93657177447102,3680
3681,Round,What the FLUF,Markets,Mouth Open (Right),,Bone,Cigarette,Mohawk (Black),Bowtie (Red),,Shutter Glasses,Blue,Honeycomb,Male,45.308136809480345,3681
3682,Round,Reggae Rabbits,Gallery,Blank,,Gold Ring,,Afro (Ginger),Bone Necklace,,,Brown,Brown,Male,17.74488020481228,3682
3683,Side Nod,Coffee and Carrots,Markets,Mouth Open (Right),Steel Rings,,Carrot,Conical Hat,Dog Tags,,Bug Eye Glasses,Glowing Red,Marshmellow,Male,51.4228954042432,3683
3684,Bob,Reggae Rabbits,Lambo,Blank,Steel Studs,Gold Ring,,Tuft (Black),,Yellow Rabbit Singlet,Aviators,Green,Cow,Male,50.29883889979209,3684
3685,Big Nod,Beyond the Gates,Gallery,Blank,,Steel Stud,,Conical Hat,Dog Tags,Flannel Jacket,,Cat (Brown),Winter,Male,32.859656698413424,3685
3686,Side To Side,Electric Carrots,Dunes,Mouth Open (Left),,Bull Ring,Party Horn,Propeller Hat,Bowtie (Red),Tie Dye Singlet,,Brown,Winter,Male,43.5273052324349,3686
3687,Subtle Nod,Dubhop,Backalley,Mouth Open (Middle),Steel Rings & Studs,Gold Stud,Pacifier,Tuft (Base),FLUF Logo Chain,,,Blue,Moody Blue,Male,45.72666999057208,3687
3688,Subtle Nod,Beyond the Gates,Spaceship,Wonder,FLUF Tag,,Lip Piercings,Conical Hat,,Flannel Jacket,Bug Eye Glasses,Green,Camo,Female,74.89846738751886,3688
3689,Side Nod,Follow You,Spaceship,Mouth Open (Right),,,Joint,Sombrero,FLUF Logo Chain,,Safety Glasses,Brown,Red,Male,37.56224093563665,3689
3690,Subtle Nod,NFT (Instrumental),FLUF Haus Miami 2021,Mouth Open (Right),Steel Rings,,Joint,Gold Cap,VIP lanyard,,,Brown,Bully,Male,27.248148227482556,3690
3691,Big Nod,Disco Rabbit,Gallery,Mouth Open (Middle),Gold Studs,Steel Stud,Pacifier,Birthday Hat,,Pink Jacket,Designer Glasses,Blue,Tiger,Female,84.10819452163794,3691
3692,Side To Side,I Love FLUF,ASTO Discovery Portal,Mouth Open (Right),,Gold Stud,Cigar,Tuft (Base),Bowtie (Red),,,Heart (Blue),Camo,Male,32.705801451544296,3692
3693,Round,Coffee and Carrots,Gallery,Blank,,Bull Ring,,,,Digital Camo Singlet,Heart Glasses,Blue,Marshmellow,Male,29.077720699766722,3693
3694,Groove,Run Rabbit,Mystic Valley,Blank,Steel Rings,Bloody,,FLUF Cap,Collar (Pink),,Eye Patch,Brown,Candy Floss,Male,51.621665837788186,3694
3695,Side To Side,Back in the Burrow,Mystic Valley,Mouth Open (Right),Steel Rings & Studs,Steel Ring,Joint,Mohawk (Black),Glowstick Necklace,Black FLUF Singlet,,Cat (Brown),Brown,Female,68.13512089482685,3695
3696,Groove,Hop On By,Gallery,Blank + Wink,Steel Rings,Bull Ring,,Afro (Black),Bone Necklace,,Fake Eyelashes,Reptile (Cream),Guernica,Male,59.56248363351866,3696
3697,Groove,All I Need,ASTO Discovery Portal,Mouth Open (Right),Steel Rings,,Joint,Beanie,Collar (Black),Leather Vest,,Fire,Winter,Male,40.63826809759594,3697
3698,Subtle Nod,Dubhop,Spaceship,Anger,Gold Rings,Clown Nose,Lollipop,Cowboy Hat,Collar (Pink),,,Thirties,Retro,Male,48.096117498652696,3698
3699,Groove,Beyond the Gates,Lambo,Mouth Open (Right),,,Joint,Army Helmet,Bowtie (Black),Flannel Jacket,,Dollars,Grey,Male,28.424711360404082,3699
3700,Side To Side,Space Fluffle,Garden,Anger,Gold Rings & Studs,Bull Ring,,Pirate Hat,FLUF Logo Chain,Flannel Jacket,,Reptile (Yellow),Sandy,Male,50.21433095819439,3700
3701,Groove,Ear Wobbler,Gallery,Mouth Open (Right),Red Ribbon,,Carrot,Mullet (Base),,FLUF Jacket,,Brown,Bully,Female,44.52116393171014,3701
3702,Big Nod,All I Need,Fluf Haus LA 2022,Mouth Open (Middle),Steel Rings,Clown Nose,Mooncrust Pizza,,,High Vis Vest,Sunglasses,Green,Honeycomb,Male,61.32721918282784,3702
3703,Side Nod,Dubhop,Garden,Anger,Gold Rings,Steel Ring,Lollipop,Cowboy Hat,Bowtie (Red),,,Fire,Orange,Male,45.49926057150798,3703
3704,Side To Side,Higher,Beach,Anger,Red Ribbon,Steel Ring,Party Horn,,Bowtie (Black),Red Balloon Singlet,,Mandala,Brown,Male,51.540948341317296,3704
3705,Bob,Ear Wobbler,Heaven,Smile,Diamond Cross Earring,Bloody,Lip Piercings,Mohawk (Base),Bowtie (Gold),Leather Vest,Star Glasses,Reptile (White),Barney,Male,88.36894798464043,3705
3706,Groove,Space Fluffle,Markets,Blank,Gold Bows,Bull Ring,,FLUF Cap,,Sign My Carrot Singlet,,Green (Dilated),Red,Male,32.628433697411445,3706
3707,Side Nod,Rabbiton,Tiki,Smile,Steel Studs,Gold Ring,,Tuft (Base),Bowtie (Black),Camo Jacket,Shutter Glasses,Green (Dilated),Tiger,Male,72.04260914663358,3707
3708,Round,Hop On By,Markets,Sad,Gold Bows,,,Tuft (Base),,,Heart Glasses,Green,Sky,Female,51.090029568473305,3708
3709,Subtle Nod,Rabbiton,Mansion,Smile,Steel Rings & Studs,,,Propeller Hat,,Camo Jacket,Round Glasses,Green,Camo,Male,45.535593293266444,3709
3710,Bob,I Like to Party,Mansion,Blank,Bandaged,Bull Ring,,Cowboy Hat,Bowtie (Black),Puffer Vest,,Fire,Highlighter,Male,45.58427294046069,3710
3711,Big Nod,Eating Carrots in the Dark,ASTO Discovery Portal,Mouth Open (Right),Gold Rings & Studs,Bull Ring,Cigar,Cowboy Hat,FLUF Logo Chain,Digital Camo Singlet,Eye Patch,Xs,Black & White,Male,78.22169340552732,3711
3712,Bob,Hop With Me,ASTO Discovery Portal,Mouth Open (Left) + Wink,,,Lollipop,Army Helmet,,Yellow Rabbit Singlet,,Cat (Brown),Tie Dye,Female,47.84834236927622,3712
3713,Groove,What the FLUF,Mansion,Blank,Steel Studs,,Medical Mask,Afro (Base),Collar (Pink),,,Demon,Zombie (Grey),Female,49.39783159111225,3713
3714,Groove,I Like to Party,FTW (F*ck The War),Mouth Open (Right),,Diamond Stud,Joint,,Collar (Black),Voxel Rabbit Singlet,Neon Glasses,Blue,Brown,Male,48.69211919894005,3714
3715,Round,Messiah,Mansion,Mouth Open (Middle),Steel Studs,,Mooncrust Pizza,Birthday Hat,Bone Necklace,,,Dead,Zombie (Black),Female,57.82549512296836,3715
3716,Side Nod,Space Fluffle,After Party,Blank,Steel Rings,Bone,,Afro (Base),,,Shutter Glasses,Glowing Red,Brown,Male,40.788176649415185,3716
3717,Big Nod,Electric Carrots,Dunes,Mouth Open (Left),Gold Rings,,Lollipop,Tuft (Base),,Pink Jacket,,Reptile (Yellow),Grey,Female,54.12085950616403,3717
3718,Groove,Desert Digging,Pass,Mouth Open (Left) + Wink,FLUF Tag,Steel Ring,Lollipop,Propeller Hat,,,Fake Eyelashes,Portal,Tiger,Female,73.79912911860393,3718
3719,Side To Side,Beyond the Gates,Swamp,Mouth Open (Right),Steel Rings,Steel Ring,Cigar,Bandana,,,,Reptile (White),Brown,Female,40.374254484322435,3719
3720,Big Nod,What the FLUF,Pass,Mouth Open (Right) + Wink,,Steel Stud,Pipe,Sun Visor,Bowtie (Gold),,,Thirties,Tiger,Male,36.90951485641008,3720
3721,Bob,Back in the Burrow,Pass,Mouth Open (Right),Steel Rings,,Carrot,,Collar (Black),Kimono,Fake Eyelashes,Thirties,Brown,Female,67.24632420371721,3721
3722,Round,Wouldn't It Be,Gallery,Mouth Open (Middle) + Wink,FLUF Tag,Steel Ring,Whistle,,Glowstick Necklace,,,Reptile (White),Sky,Male,41.94922774518209,3722
3723,Round,I Love FLUF,Thank You For Having Us,Blank,,Steel Stud,,Mohawk (Base),Dog Tags,White Singlet,,Green (Dilated),Zebra,Female,52.56671867570999,3723
3724,Side Nod,Dubhop,Tiki,Mouth Open (Left),Gold Bows,Steel Stud,Lollipop,Tennis Hat,,Flannel Jacket,,Purple,Red,Female,65.46927659663318,3724
3725,Subtle Nod,Dubhop,The Wall,Mouth Open (Middle),Steel Studs,,Whistle,Mohawk (Black),,High Vis Vest,Eye Patch,Green (Dilated),Tiger,Male,62.564674601272685,3725
3726,Subtle Nod,Messiah,Mansion,Blank + Wink,Steel Rings,,Demon Mask,Tuft (Base),Bowtie (Red),Kimono,,Glowing Red,Marshmellow,Male,54.68562239298112,3726
3727,Big Nod,Electric Carrots,Dunes,Mouth Open (Left),Steel Rings,Bull Ring,Lollipop,Pirate Hat,Bowtie (Gold),Sign My Carrot Singlet,,Red (Dilated),Retro,Male,58.64524395564019,3727
3728,Side To Side,FLUF You Up,Tiki,Blank,FLUF Tag,Clown Nose,,Tuft (Blonde),Bowtie (Black),Voxel Rabbit Singlet,Eye Patch,Reptile (Cream),Moody Blue,Male,69.59178593736259,3728
3729,Subtle Nod,What the FLUF,Mystic Valley,Blank,Red Ribbon,Bull Ring,,,VIP lanyard,Flannel Jacket,,Mandala,Darkness,Female,53.76767702989016,3729
3730,Big Nod,Electric Carrots,Lambo,Smile + Wink,,Steel Ring,Tongue Out,Tennis Hat,,Puffer Vest,,Mandala,Black & White,Male,41.798998596249824,3730
3731,Big Nod,FLUF You Up,Gallery,Anger,Steel Rings,,Lollipop,Beanie,,Camo Jacket,Heart Glasses,Green,Ice Cream,Male,54.234674777192936,3731
3732,Round,Floating or Flying,Markets,Smile + Wink,Steel Rings,,,Sombrero,Dog Tags,,,Yellow,Winter,Male,25.09779146333279,3732
3733,Groove,Floating or Flying,Beach,Mouth Open (Right),Steel Rings & Studs,Clown Nose,Joint,,,Red Balloon Singlet,,Blue,Tie Dye,Male,26.854485867102262,3733
3734,Side Nod,Floating or Flying,Gallery,Mouth Open (Right),,,Cigarette,Conical Hat,Gold Chain,Dress,Heart Glasses,Green,Guernica,Male,52.42494047915747,3734
3735,Groove,Follow You,Markets,Blank,,Steel Ring,,Afro (Black),,High Vis Vest,Neon Glasses,Green,Red,Male,38.48731840315691,3735
3736,Side To Side,Dubhop,Spaceship,Mouth Open (Middle),,,Whistle,Sombrero,,Kimono,Aviators,Blue,Winter,Female,60.09321742056516,3736
3737,Round,Desert Digging,Tiki,Mouth Open (Right) + Wink,Gold Rings & Studs,Gold Ring,Pipe,,Bowtie (Red),Dress,,Green,Sky,Male,48.485829908881456,3737
3738,Side To Side,Back in the Burrow,Beach,Mouth Open (Right),Diamond Cross Earring,Diamond Stud,Cigarette,,,Dress,Aviators,Glowing Red,Peppermint,Female,71.25489207520121,3738
3739,Side Nod,I Love FLUF,Tiki,Blank,Bandaged,Bull Ring,,,Lei,Black FLUF Singlet,Dive Goggles,Red (Dilated),Raspberry Ripple,Male,61.574521575140494,3739
3740,Round,Ear Wobbler,Lambo,Mouth Open (Right),,Clown Nose,Carrot,,Headphones,,,Reptile (White),Black & White,Male,19.838768648141183,3740
3741,Bob,I Like to Party,Dunes,Mouth Open (Left),,Bull Ring,Lollipop,Mullet (Orange),,Boob Tube,,Blue,Red,Male,32.02408938453233,3741
3742,Side To Side,Dubhop,The Front,Mouth Open (Left) + Wink,,Steel Stud,Party Horn,Mohawk (Black),Bowtie (Black),,,Cat (Brown),Honeycomb,Male,39.54702981293692,3742
3743,Round,Rabbiton,Markets,Mouth Open (Middle),Steel Rings & Studs,Gold Ring,Whistle,,,Leather Vest,Sunglasses,Brown,Moody Blue,Female,72.61011515883237,3743
3744,Side To Side,Beyond the Gates,Garden,Mouth Open (Left),Bandaged,Bull Ring,Lollipop,Conical Hat,Bowtie (Gold),Dress,,Fire,Sky,Female,76.01824563807955,3744
3745,Big Nod,Back in the Burrow,Beach,Mouth Open (Left) + Wink,Steel Rings,Steel Stud,Lollipop,Mohawk (Base),Bowtie (Gold),,Star Glasses,Cat (Brown),Honeycomb,Male,66.2204783671612,3745
3746,Subtle Nod,Back in the Burrow,Spaceship,Mouth Open (Middle),Gold Rings,,Pacifier,Flower Crown,,Boob Tube,,Scribble,Winter,Female,54.66860925154721,3746
3747,Bob,I Love FLUF,Thank You For Having Us,Mouth Open (Left),,Gold Ring,Lollipop,,Gold Chain,,Bug Eye Glasses,Brown,Raspberry Ripple,Male,47.13429948366127,3747
3748,Big Nod,Space Fluffle,Gallery,Blank,,Steel Ring,,Sombrero,VIP lanyard,Puffer Jacket,Aviators,Brown,Brown,Male,51.06555277196608,3748
3749,Big Nod,Space Fluffle,Backalley,Mouth Open (Middle),,Gold Ring,Whistle,Crown,Bowtie (Gold),,,Brown,Hawk,Male,36.1873010082277,3749
3750,Groove,I Like to Party,FLUF Haus Miami 2021,Mouth Open (Right),Gold Rings,Steel Ring,Cigarette,Bandana,Headphones,Sign My Carrot Singlet,Designer Glasses,Purple,Parrot,Male,75.38573345419331,3750
3751,Round,Floating or Flying,Markets,Mouth Open (Right),Steel Rings & Studs,Bone,Joint,,Clock Necklace,,,Red (Dilated),Raspberry Ripple,Male,30.17356148954854,3751
3752,Subtle Nod,Back in the Burrow,Swamp,Anger,Steel Rings & Studs,Steel Ring,Lollipop,Tuft (Base),Bowtie (Red),Flannel Jacket,,Glowing Red,Grey,Male,55.61845770987633,3752
3753,Side To Side,Coffee and Carrots,Beach,Grin,,Bull Ring,Tongue Out,Afro (Ginger),Bone Necklace,High Vis Vest,,Scribble,Darkness,Male,53.69156648844498,3753
3754,Subtle Nod,Hop With Me,The Wall,Blank + Wink,,Steel Stud,,Mullet (Base),,,Dive Goggles,Blue,Grey,Male,32.543525639519125,3754
3755,Subtle Nod,Disco Rabbit,Lambo,Blank,,Gold Ring,,,,Dress,Heart Glasses,Brown,Raspberry Ripple,Male,31.516448190818092,3755
3756,Subtle Nod,L.O.V.E.,Star Explorer,Blank,,Steel Stud,,Sun Visor,Greenstone,Voxel Rabbit Singlet,Aviators,Brown,Cow,Female,71.8673286510287,3756
3757,Side Nod,Ear Wobbler,Dunes,Blank,Gold Studs,,,,Bowtie (Red),Boob Tube,Sunglasses,Brown,Retro,Female,59.80884621946624,3757
3758,Subtle Nod,Dubhop,Backalley,Mouth Open (Right),,Steel Stud,Pipe,Afro (Base),Bowtie (Black),Yellow Rabbit Singlet,Heart Glasses,Blue,Zebra,Male,58.360927130114014,3758
3759,Big Nod,Hop With Me,Markets,Mouth Open (Right),,Steel Ring,Carrot,Bandana,Gold Chain,,Heart Glasses,Brown,Honeycomb,Female,63.627236223234796,3759
3760,Groove,I Like to Party,Dunes,Sad,Steel Studs,Bone,,,,Pink Jacket,Bug Eye Glasses,Green,Black & White,Male,44.41165366154707,3760
3761,Subtle Nod,Eating Carrots in the Dark,Mansion,Mouth Open (Right),,Steel Ring,Cigarette,,Bowtie (Red),Kimono,Heart Glasses,Blue,Zebra,Male,47.121683890877904,3761
3762,Groove,Back in the Burrow,Pass,Mouth Open (Right),Steel Studs,Diamond Stud,Pipe,Flower Crown,VIP lanyard,Red Balloon Singlet,,Cat (Brown),Peppermint,Female,68.99939332704069,3762
3763,Subtle Nod,Coffee and Carrots,Garden,Mouth Open (Right),,Diamond Stud,Cigarette,Flower Crown,Collar (Pink),,Heart Glasses,Blue,Peppermint,Female,62.304289163890466,3763
3764,Round,Reggae Rabbits,Pass,Smile,FLUF Tag,Steel Stud,Lip Piercings,FLUF Cap,,,,Fire,Grey,Female,49.49539586016749,3764
3765,Big Nod,Let It Go,Backalley,Blank,Steel Rings,Steel Stud,,Pirate Hat,Bowtie (Black),Digital Camo Singlet,Star Glasses,Fire,Brown,Male,63.607071343209476,3765
3766,Side To Side,Beyond the Gates,The Wall,Mouth Open (Right),,,Joint,Cowboy Hat,Bowtie (Red),,Fake Eyelashes,Green,Sky,Male,35.97581228996806,3766
3767,Side To Side,Rabbiton,Garden,Mouth Open (Right),Gold Studs,Diamond Stud,Pipe,,,Camo Jacket,,Heart (Red),Winter,Male,31.902287360379876,3767
3768,Side To Side,Follow You,Lambo,Mouth Open (Right),Steel Rings,Steel Ring,Pipe,Bandana,VIP lanyard,Kimono,,Red,Winter,Male,48.25822003008532,3768
3769,Side Nod,Follow You,Star Explorer,Mouth Open (Right),Gold Rings,Bull Ring,Carrot,,,Digital Camo Singlet,Cyberpunk Glasses,Yellow,Cow,Male,54.18195103941442,3769
3770,Big Nod,Dubhop,Thank You For Having Us,Smile + Wink,Steel Rings,,Lip Piercings,Tuft (Blonde),,High Vis Vest,,Brown,Brown,Male,36.42677574468687,3770
3771,Round,Electric Carrots,Beach,Anger,Gold Bows,Steel Stud,,FLUF Cap,Bowtie (Gold),Digital Camo Singlet,,Hypnotic,Brown,Female,65.05567013595798,3771
3772,Round,I Like to Party,Mansion,Sad,Gold Bows,Steel Stud,Lipstick,Army Helmet,Bowtie (Gold),,Sunglasses,Glowing White,Cow,Female,87.1471077905858,3772
3773,Groove,Hop With Me,Pass,Blank,,Clown Nose,,,Bowtie (Gold),Flannel Jacket,,Scribble,Tie Dye,Male,25.860402368196038,3773
3774,Round,Floating or Flying,Beach,Anger,FLUF Tag,,Party Horn,,,Camo Jacket,Sunglasses,Green,Raspberry Ripple,Female,61.82575728451175,3774
3775,Side To Side,Floating or Flying,Backalley,Blank,,Steel Ring,,,Gold Chain,,Heart Glasses,Glowing Red,Sky,Male,32.672979164023566,3775
3776,Big Nod,Electric Carrots,Garden,Mouth Open (Middle),Gold Rings,Bone,Pacifier,Pirate Hat,,Flannel Jacket,Eye Patch,Purple,Bully,Male,73.51133019098751,3776
3777,Big Nod,Back in the Burrow,Spaceship,Anger,Steel Rings,,Lollipop,Sombrero,,Digital Camo Singlet,Designer Glasses,Reptile (White),Cheetah,Male,58.888681217252866,3777
3778,Bob,Altered Bear,Zen Den,Mouth Open (Middle),,Steel Stud,Pacifier,Bandana,Glowstick Necklace,Sign My Carrot Singlet,,Fire,Ice Cream,Male,55.65535733128899,3778
3779,Round,Back in the Burrow,FLUF Haus Miami 2021,Mouth Open (Right) + Wink,,Gold Stud,Cigarette,,,Puffer Jacket,Aviators,Brown,Hawk,Male,48.16895417957542,3779
3780,Round,Eating Carrots in the Dark,Garden,Mouth Open (Right) + Wink,Gold Studs,,Cigarette,,Bowtie (Red),Leather Vest,,Cat (Brown),Peppermint,Male,39.636285923001665,3780
3781,Round,Disco Rabbit,Beach,Blank,,Steel Ring,,Birthday Hat,Headphones,Voxel Rabbit Singlet,,Green (Dilated),Red,Male,34.283997022002595,3781
3782,Side To Side,FLUF You Up,Markets,Mouth Open (Right),Steel Rings,Steel Stud,Cigarette,Sun Visor,Clock Necklace,,,Zombie (Inverted),Zombie (Black),Male,39.52647900579412,3782
3783,Bob,Hop On By,Lambo,Mouth Open (Right),Steel Studs,,Carrot,Tennis Hat,Collar (Pink),,Aviators,Blue,Bully,Female,61.24535530745293,3783
3784,Round,Desert Digging,Gallery,Mouth Open (Right) + Wink,Red Ribbon,Steel Ring,Joint,,Bowtie (Black),,Designer Glasses,Brown,Sandy,Female,67.82245848121876,3784
3785,Big Nod,Reggae Rabbits,Dunes,Sad,,Bloody,,Birthday Hat,Bowtie (Gold),,,Reptile (Yellow),Orange,Male,31.582099239493733,3785
3786,Round,Coffee and Carrots,Mansion,Anger,Gold Studs,Gold Stud,Party Horn,,Collar (Pink),,,Dollars,Tie Dye,Female,55.82095289294261,3786
3787,Big Nod,Floating or Flying,Markets,Blank,Steel Rings,,Medical Mask,Birthday Hat,,High Vis Vest,,Green (Dilated),Tiger,Male,34.03255354934435,3787
3788,Subtle Nod,Hop On By,Spaceship,Mouth Open (Left),,Bull Ring,Lollipop,Mullet (Base),Collar (Pink),Digital Camo Singlet,,Reptile (Yellow),Winter,Male,47.036956391192426,3788
3789,Side To Side,Hop On By,Pass,Blank,Gold Rings,Steel Ring,,,Bowtie (Gold),,Shutter Glasses,Cat (Brown),Zebra,Female,56.46156175004858,3789
3790,Side To Side,Hop On By,Mystic Valley,Mouth Open (Right),FLUF Tag,,Joint,,Peace Necklace,Boob Tube,,Heart (Red),Sky,Female,50.85872904914278,3790
3791,Groove,Shadows,After Party,Mouth Open (Left),Gold Rings,Bone,Lollipop,Afro (Black),,Leather Vest,Steampunk Goggles,Blue,Ice Cream,Male,69.79487234385915,3791
3792,Groove,Disco Rabbit,Tiki,Wonder,,Steel Stud,Lip Piercings,Tuft (Base),,Tie Dye Singlet,,Reptile (White),Sandy,Female,54.8879385970679,3792
3793,Big Nod,Floating or Flying,FTW (F*ck The War),Blank + Wink,,Gold Stud,,,Bowtie (Red),,Star Glasses,Thirties,Marshmellow,Male,41.89627106745144,3793
3794,Bob,Hop On By,Lambo,Mouth Open (Left) + Wink,Steel Rings & Studs,,Lollipop,Holographic Cap,,Holographic Jacket,,Red (Dilated),Sky,Male,41.48649645795974,3794
3795,Groove,Floating or Flying,Mansion,Mouth Open (Right),Steel Studs,,Pipe,Conical Hat,Bowtie (Black),,Cyberpunk Glasses,Green (Dilated),Grey,Female,61.71627908708436,3795
3796,Round,Desert Digging,Lambo,Anger,Steel Studs,Bull Ring,Lollipop,FLUF Cap,Bowtie (Red),,,Red (Dilated),Grey,Female,56.78234603128571,3796
3797,Subtle Nod,Rabbiton,Swamp,Mouth Open (Left),FLUF Tag,Bone,Party Horn,Tuft (Blonde),,Yellow Rabbit Singlet,,Yellow,Camo,Female,66.40661336566481,3797
3798,Side To Side,Reggae Rabbits,Gallery,Mouth Open (Right),Steel Rings & Studs,,Joint,,,Dress,Sunglasses,Green,Orange,Female,51.94981557818701,3798
3799,Round,I Like to Party,Lambo,Smile,,,Lip Piercings,Sombrero,,Puffer Jacket,Dive Goggles,Dead,Darkness,Male,51.30959711278311,3799
3800,Side Nod,Floating or Flying,Dunes,Smile + Wink,Gold Rings,,,Cowboy Hat,,Leather Vest,,Blue,Ice Cream,Female,43.579925518887535,3800
3801,Side To Side,How Could You,Thank You For Having Us,Mouth Open (Right),,,Cigarette,Afro (Base),,Sign My Carrot Singlet,Cyberpunk Glasses,Green (Dilated),Sandy,Male,42.87782987673957,3801
3802,Bob,Desert Digging,Heaven,Mouth Open (Right) + Wink,Steel Studs,,Cigarette,Mohawk (Black),,Pink Jacket,Shutter Glasses,Fire,Ice Cream,Male,59.164739857826895,3802
3803,Subtle Nod,I Love FLUF,Thank You For Having Us,Mouth Open (Left),Steel Rings,,Lollipop,Sombrero,Clock Necklace,Red Balloon Singlet,,Purple Rings,Bully,Male,53.914422905529705,3803
3804,Side To Side,L.O.V.E.,Mystic Valley,Blank + Wink,Steel Studs,Steel Ring,,Holographic Cap,Headphones,Voxel Rabbit Singlet,,Yellow,Smoothie,Female,71.84760566796292,3804
