,Chin,Eyes,Hat,Back,Layerz,Lol-Drip,Base-Layer,Sides,Nose,Smoking,Lips,Tattoos,Mouth,Body,Tail,Background,Rarity score,Token Id
4760,Stubble,Purple-Shades,Dad-Cap-Green,Orange-7,Vest-1,None,Sweater-Black,Bumps,Snouty,None,Red,None,Razor-Sharp,Grey,Curvy,Blue,65.88185753357084,4760
4761,Big-Bumps,Blank,Bucket-Orange,Orange-1,None,None,TShirt-Black,Colour-Tatts,Snouty,None,None,None,Cheerful,Green,Curvy,Blue,19.721295472033432,4761
4762,Triple,Dopey-Yellow,Wizard,Pink-9,None,Rcsa,None,Scales,Snouty,None,Neon-Green,Chest-Hair,Checkerboard,Purple,Stripy,Teal,52.89919475287614,4762
4763,Lines,Dopey-Yellow,Beanie-Mustard,Orange-1,None,Birds-Aren't-Real,None,Spots,Snouty,None,None,Black-Tatts,Scaly,Green,Spotty,Purple,23.855914048857464,4763
4764,Stubble,Demon-Realm-1,Dad-Cap-Green,Pink-3,None,None,TShirt-White,Spots,Wide,None,None,None,Scaly,Green,Sharp,Sky,19.51341123557346,4764
4765,Triple,Dopey-Grey,Mars-Blackmon,Pink-4,None,Lemuria-Wyoming-1,None,Markings,Original,None,None,Chest-Hair,Cheerful,Green,Black-Tatts,Purple,22.418995545486904,4765
4766,None,Crazed-Green,Balaclava,None,None,Leopard,None,None,Wide,None,Red,Chest-Hair,Razor-Sharp,Blue,Waves,Yellow,48.401987265748616,4766
4767,Spots,Bosseyed-Red,Five-Panel-Blue-Checkerboard,Red-8,Eth-Chain,None,None,Ovals,Wide,None,None,None,Scaly,Grey,Stripy,Light-Green,24.718539815995573,4767
4768,Lines,Vr2,Mars-Blackmon,Green-7,None,Camo-Brown,None,Mottling,Wide,None,None,Chest-Hair,Scaly,Yellow,Waves,Grey,27.300688833134807,4768
4769,Lines,Crosseyed-Blue,Bucket-Creepz,Purple-7,Puffer-vest,None,Sweater-Purple,Stripes,Snouty,None,None,None,Awkward,Green,Waves,Teal,41.792342124832146,4769
4770,None,Bosseyed-Purple,Bobble-Balaclava,None,None,Flat-Earth,None,None,Snouty,None,None,Chest-Hair,Cheesy,Yellow,Spotty,Purple,28.39328543029082,4770
4771,Frills,Purple-Shades,Bucket-Orange,Purple-2,None,Cold-Blooded,None,Spots,Snouty,None,None,Chest-Hair,Cheerful,Grey,Mottled,Light-Green,27.715923759589618,4771
4772,Lines,Demon-Realm-3,Sombrero,Orange-9,Military-Vest,None,Sweater-Black,Black-Tatts,Flared,None,Green,None,Spiky,Blue,Waves,Green,65.76611368788488,4772
4773,Lines,Bosseyed-Purple,Headband-1,Green-1,None,None,Sweater-White,Techno,Snouty,None,Red,None,Goofy,Green,Stripy,Lilac,41.9739444396901,4773
4774,None,Crazed-Yellow,Bobble-Balaclava,None,None,Agamids-Navy,None,None,Original,None,None,Chest-Hair,Befuddled,Grey,Mottled,Green,28.68581137856771,4774
4775,Big-Bumps,Spiral,Bucket-Creepz,Pink-2,Miss-Thuban,None,Sweater-Pink,Techno,Deep,None,None,None,Disgusted,Grey,Black-Tatts,Blue,46.91880282194952,4775
4776,Armoured,Crazed-Purple,Bucket-Creepz,Orange-6,None,None,Sweater-Turquoise,Scales,Flared,None,Green,None,Spiky,Green,Waves,Blue,37.48401623678204,4776
4777,Big-Bumps,Vertical-Yellow,Wizard,Pink-2,Peace,None,TShirt-White,Colour-Tatts,Snouty,None,None,None,Cheesy,Blue,Waves,Purple,40.25372465765289,4777
4778,Stubble,Squint-Purple,Eggscellent,Pink-9,Vest-1,None,Sweater-White,Flaps,Original,None,Red,None,Goofy,Blue,Rainbow,Yellow,68.63555144798535,4778
4779,Spikes,Vr1,Five-Panel-Purple,Pink-2,Police-vest,None,Sweater-Purple,Markings,Flared,None,Purple,None,Goofy,Yellow,Sharp,Light-Blue,71.97819703820595,4779
4780,Armoured,Bowie-Pink,Pyramid,Green-4,None,Lemuria-Wyoming-2,None,Ovals,Flared,None,None,Black-Tatts,Befuddled,Green,Sharp,Teal,25.414945214284234,4780
4781,Triple,Squint-Purple,Bobble-Hat-Red,Red-9,None,Dystopian,None,Mottling,Wide,None,None,None,Cheerful,Grey,Colour-Tatts,Pink,25.770958100982888,4781
4782,Spots,Veins-2,Red-Camo,Red-6,None,Gold-Suit,None,Black-Tatts,Flared,None,None,Colour-Tatts,Jaws,Blue,Sharp,Purple,28.870592276929635,4782
4783,Big-Bumps,Vr1,Line,Green-6,Ngmi-Hoody,None,TShirt-Turquoise,Colour-Tatts,Snouty,None,Green,None,Razor-Sharp,Green,Sharp,Lilac,65.58572230382867,4783
4784,Frills,Dopey-Purple,Police,Orange-2,None,Suit-2,None,Speckled,Original,None,Red,Chest-Hair,Spiky,Green,Stripy,Sky,43.40515382728681,4784
4785,Little-Bumps,Sunglasses-1,Bucket-Burberry,Pink-5,None,None,Sweater-Olive,Colour-Tatts,Wide,None,Red,None,Goofy,Green,Stripy,Purple,37.528249454437585,4785
4786,Spikes,Pokeball,Jurassic,Purple-3,None,None,None,Mottling,Wide,None,None,Chest-Hair,Befuddled,Grey,Stripy,Light-Green,10.788408526396367,4786
4787,Little-Bumps,Squint-Blue,Dad-Cap-Green,Orange-2,None,Highest-in-the-room,None,Markings,Snouty,None,None,Black-Tatts,Cheerful,Yellow,Sharp,Purple,30.15719557197618,4787
4788,Lines,Crazed-Purple,Gypsy-King,Purple-3,Tech-3,None,TShirt-Turquoise,Markings,Flared,Cigarette,None,None,Closed,Yellow,Stripy,Light-Blue,83.99955958829662,4788
4789,Triple,Sunglasses-2,Pyramid,Pink-3,None,Agamids-Red,None,Speckled,Wide,None,Purple,Chest-Hair,Goofy,Yellow,Curvy,Grey,51.08147935905254,4789
4790,Creases,Stoned,Dad-Cap-Green,Pink-3,Stormzy,None,Sweater-White,Bumps,Snouty,None,None,None,Scaly,Grey,Mottled,Green,44.97479215807256,4790
4791,Stubble,Bowie-Green,Five-Panel-Purple,Orange-2,None,Birds-Aren't-Real,None,Hatching,Deep,None,None,Colour-Tatts,Goofy,Grey,Sharp,Light-Green,34.242311285707515,4791
4792,Spots,Weird-Pupil-Blue,Pyramid,Purple-1,Creepz-Bag,None,None,Spots,Original,None,None,None,Disgusted,Green,Colour-Tatts,Teal,21.06253173857352,4792
4793,Flaps,Crazed-Yellow,Valhalla,Pink-2,None,Gorn-Hub,None,Markings,Deep,None,None,Chest-Hair,Scaly,Grey,Spotty,Green,25.554200304849346,4793
4794,Plasters,Crazed-Purple,Red-Camo,Orange-2,Block-Chain,None,Sweater-Olive,Flaps,Original,None,None,None,Befuddled,Green,Mottled,Lilac,45.203026343108405,4794
4795,Creases,Dopey-Purple,Dad-Cap-Black,Red-8,None,Astro-Creepz,None,Markings,Snouty,None,None,Chest-Hair,Gappy,Green,Waves,Teal,22.841099400741623,4795
4796,Soft-Spikes,Blood,Bucket-Navy,Pink-9,Cbc-Hoody,None,None,Mottling,Flared,None,None,None,Cheesy,Green,Curvy,Blue,16.885593134040505,4796
4797,Stubble,Bosseyed-Red,Backwards-Cap-Yellow,Green-1,None,Diamond-Hands,None,Sharp,Wide,None,None,Black-Tatts,Disgusted,Grey,Sharp,Green,31.883102770559884,4797
4798,Lines,Dopey-Green,Crazy-Hair,Green-3,Cbc-Hoody,None,Sweater-White,Colour-Tatts,Deep,None,None,None,Cheesy,Blue,Mottled,Brown,44.423547051221966,4798
4799,Flaps,Blinky,Pimp,Green-1,None,None,None,Bumps,Snouty,None,Red,Chest-Hair,Spiky,Green,Waves,Teal,25.102920248106653,4799
4800,Little-Bumps,Dopey-Grey,Lwa,Green-2,None,Her-Maj,None,Markings,Deep,None,Neon-Green,Chest-Hair,Spiky,Blue,Spotty,Green,46.543818654805435,4800
4801,Creases,Peace,Pyramid,Orange-2,Og-Hoody,None,Sweater-Purple,Mottling,Flared,None,Neon-Green,None,Spiky,Purple,Techno,Teal,72.99935814750944,4801
4802,Soft-Spikes,Chameleon-Circle-Purple,Five-Panel-Red,Pink-7,None,None,TShirt-Navy,Bumps,Flared,None,Red,None,Awkward,Purple,Mottled,Blue,47.85965177297667,4802
4803,Triple,Squint-Yellow,Ronald,Red-3,None,None,Sweater-White,Speckled,Flared,None,Red,None,Awkward,Green,Mottled,Lilac,42.63093137291944,4803
4804,Spots,Weird-Pupil-Red,Lu-Tang,Green-3,None,None,None,Black-Tatts,Snouty,None,Purple,Black-Tatts,Cheesy,Blue,Mottled,Brown,35.08755343475822,4804
4805,Spots,Vr5,Purple-Camo,Red-4,None,Slugger,None,Techno,Original,None,Purple,Colour-Tatts,Spiky,Blue,Curvy,Green,50.73787423553359,4805
4806,Little-Bumps,Veins-2,Five-Panel-Purple,Pink-2,Bullets,None,TShirt-Olive,Bumps,Flared,None,None,None,Cheerful,Grey,Mottled,Light-Green,47.57220775742232,4806
4807,Spikes,Peace,Lu-Tang,Red-4,None,Gorn-Hub,None,Mottling,Deep,None,Green,Colour-Tatts,Razor-Sharp,Grey,Spotty,Blue,50.748131180581225,4807
4808,Spikes,Bowie-Green,Wizard,Pink-2,None,Tie-Dye-2,None,Sharp,Original,None,None,Chest-Hair,Scaly,Green,Mottled,Lilac,21.669940848658786,4808
4809,None,Dopey-Blue,Bobble-Balaclava,None,None,Dystopian,None,None,Snouty,None,None,None,Cheerful,Blue,Rainbow,Brown,24.25905260897859,4809
4810,Stubble,Peace,Bobble-Hat-Purple,Green-1,None,None,None,Markings,Original,None,None,Colour-Tatts,Cheerful,Green,Techno,Lilac,14.543404152524841,4810
4811,Stubble,Chameleon-Almond-Blue,Bucket-Navy,Red-7,None,Diamond-Hands,None,Stripes,Wide,None,Green,Chest-Hair,Razor-Sharp,Grey,Mottled,Green,47.17014932752866,4811
4812,Plasters,Chameleon-Circle-Green-1,Bobble-Hat-Grey,Tech,Masonic-Collar,None,Sweater-Turquoise,Ovals,Original,None,None,None,Closed,Blue,Waves,Green,44.808469551246446,4812
4813,Lines,Dopey-Blue,Ushanka,None,Police-vest,None,Sweater-Turquoise,None,Snouty,None,None,None,Disgusted,Green,Waves,Lilac,44.24286272046043,4813
4814,Armoured,Vr5,Dad-Cap-Pink,Purple-9,None,None,TShirt-Purple,Bumps,Snouty,None,None,None,Spiky,Green,Sharp,Sky,20.24221034399619,4814
4815,Soft-Spikes,Bowie-Red,Five-Panel-Red,Green-1,None,Floral-Peach-Green,None,Ovals,Original,None,Green,Colour-Tatts,Spiky,Grey,Mottled,Light-Green,55.874549897122115,4815
4816,Little-Bumps,Chameleon-Almond-Grey,Five-Panel-Red,Red-2,Og-Hoody,None,Sweater-White,Flaps,Flared,None,None,None,Gappy,Purple,Mottled,Yellow,49.44089780078343,4816
4817,Little-Bumps,Dopey-Grey,Backwards-Cap-Black,Orange-7,None,Slugger,None,Mottling,Flared,None,Orange,Colour-Tatts,Goofy,Grey,Waves,Green,52.27318762299175,4817
4818,Spots,Dopey-Purple,Fujita,None,Military-Vest,None,None,None,Deep,None,None,None,Disgusted,Purple,Waves,Yellow,27.989926624518535,4818
4819,Armoured,Bowie-Blue,Five-Panel-Blue-Checkerboard,Purple-1,None,Fanboy,None,Spots,Wide,None,None,Black-Tatts,Befuddled,Green,Spotty,Teal,26.531597958123683,4819
4820,Techno,Bosseyed-Red,Lumpy,Red-1,Flavor-Flav,None,TShirt-White,Speckled,Snouty,None,Orange,None,Checkerboard,Grey,Techno,Pink,74.69786443357903,4820
4821,Flaps,Weird-Pupil-Green,Backwards-Cap-Blue,Flames,Cardigan,None,TShirt-Black,Hatching,Wide,None,Red,None,Checkerboard,Grey,Techno,Purple,68.86723585802403,4821
4822,Big-Bumps,Bosseyed-Red,Lumpy,Purple-9,Sneakers,None,Sweater-Purple,Mottling,Snouty,None,None,None,Checkerboard,Blue,Plain,Purple,43.879121853202456,4822
4823,Spots,Glass,Koopa-Red,Purple-6,None,Dystopian,None,Black-Tatts,Deep,None,None,None,Cheerful,Green,Curvy,Lilac,16.31039307960748,4823
4824,Stubble,Peace,Headband-2,Purple-2,None,Tie-Dye-2,None,Ovals,Wide,None,None,Colour-Tatts,Befuddled,Green,Plain,Lilac,32.67274031971652,4824
4825,Little-Bumps,Purple-Shades,Headband-2,Orange-7,None,Argyle-1,None,Flaps,Flared,None,Blue,Colour-Tatts,Cheesy,Blue,Black-Tatts,Purple,51.80692317165983,4825
4826,Big-Bumps,Vr1,Beanie-Burgundy,Orange-1,None,Diamond-Hands,None,Black-Tatts,Wide,None,Orange,Colour-Tatts,Awkward,Grey,Colour-Tatts,Light-Green,59.5202636659794,4826
4827,Soft-Spikes,Bowie-Green,Koopa-Green,Pink-9,Fire-Hoody,None,TShirt-White,Flaps,Wide,None,None,None,Scaly,Green,Curvy,Blue,39.06874217464511,4827
4828,Lines,Vertical-Red,Red-Camo,Purple-9,None,Tie-Dye-1,None,Scales,Flared,None,None,Chest-Hair,Cheerful,Grey,Mottled,Blue,24.468419868381922,4828
4829,Soft-Spikes,Chameleon-Circle-Green-2,Bucket-Navy,Purple-1,None,Tie-Dye-1,None,Stripes,Flared,None,Neon-Green,Chest-Hair,Awkward,Blue,Bone,Purple,46.693719854434654,4829
4830,Spots,Chameleon-Circle-Green-2,Creepz-Trucker,Purple-7,Dyor-Hoody,None,TShirt-Purple,Sharp,Original,None,None,None,Befuddled,Blue,Waves,Purple,39.81107502627331,4830
4831,Soft-Spikes,Bosseyed-Blue,Skull-And-Bones,Purple-6,None,Camo-Green,None,Sharp,Flared,None,None,Chest-Hair,Befuddled,Green,Mottled,Blue,21.237828576107834,4831
4832,Flaps,Crazed-Blue,Pink-Bucket,Orange-8,Stormzy,None,TShirt-Olive,Scales,Snouty,None,Neon-Green,None,Jaws,Blue,Plain,Purple,67.97889114287925,4832
4833,Veiny,Blank,Backwards-Cap-Black,Red-4,None,Three-Wolf-Moon,None,Black-Tatts,Flared,None,None,Colour-Tatts,Disgusted,Yellow,Colour-Tatts,Grey,38.64045673617474,4833
4834,Big-Bumps,Peace,Lucifer,Green-5,Fire-Hoody,None,None,Scales,Wide,None,None,None,Befuddled,Green,Bone,Sky,24.72199128798503,4834
4835,Big-Bumps,Caiman,Ronald,Orange-1,Pink-Bag,None,None,Stripes,Deep,None,None,None,Befuddled,Green,Colour-Tatts,Teal,22.281237056194843,4835
4836,Armoured,Dopey-Green,Gatorade,Purple-8,None,Birds-Aren't-Real,None,Markings,Snouty,None,Orange,Chest-Hair,Awkward,Blue,Sharp,Purple,42.401071101771315,4836
4837,Creases,Chameleon-Circle-Purple,Headband-2,Tech,Sneakers,None,Sweater-Pink,Mottling,Snouty,None,None,None,Scaly,Grey,Colour-Tatts,Pink,51.34723038367732,4837
4838,Armoured,Chameleon-Circle-Green-2,Creepz-Trucker,Orange-6,None,Astro-Creepz,None,Spots,Flared,Pipe,None,Chest-Hair,Closed,Blue,Techno,Purple,54.57310571224973,4838
4839,Little-Bumps,Nerd,Koopa-Green,Green-1,None,Dyor-Sweater,None,Flaps,Original,None,None,Black-Tatts,Closed,Grey,Mottled,Pink,31.672015284365067,4839
4840,Armoured,Chameleon-Almond-Blue,Line,Purple-8,None,Slugger,None,Bumps,Snouty,None,None,Colour-Tatts,Closed,Grey,Rainbow,Purple,29.29268080538691,4840
4841,Little-Bumps,Vr5,Red-Camo,Pink-2,None,None,Sweater-Black,Colour-Tatts,Flared,None,Red,None,Goofy,Grey,Mottled,Pink,45.217997764484785,4841
4842,Spots,Dopey-Green,Wizard,Red-9,Gillet,None,TShirt-White,Bumps,Wide,None,Purple,None,Grills,Yellow,Black-Tatts,Purple,70.2728923092357,4842
4843,Flaps,Bosseyed-Pink,Bucket-Creepz,Red-1,Vest-2,None,Sweater-Black,Speckled,Wide,None,Purple,None,Cheesy,Green,Stripy,Lilac,66.24960665140505,4843
4844,Triple,Diamond,Koopa-Green,Orange-2,None,Flat-Earth,None,Black-Tatts,Original,None,None,Chest-Hair,Cheerful,Blue,Sharp,Grey,24.778103871398656,4844
4845,Little-Bumps,Spiral,Bucket-Orange,Green-6,None,Run-Cbc,None,Sharp,Flared,Spliff,None,Black-Tatts,Closed,Grey,Curvy,Green,64.38030015618548,4845
4846,Spikes,Dopey-Blue,Skull-And-Bones,Purple-3,None,None,None,Speckled,Original,None,Neon-Green,Colour-Tatts,Grills,Blue,Stripy,Brown,35.485880672242544,4846
4847,Little-Bumps,Bowie-Green,Lumpy,Orange-4,None,None,None,Bumps,Deep,None,None,Black-Tatts,Closed,Green,Sharp,Purple,4.163751148705825,4847
4848,Spikes,Demon-Realm-1,Bobble-Hat-Olive,Tech,Tech-3,None,Sweater-Turquoise,Flaps,Wide,None,None,None,Cheerful,Grey,Mottled,Light-Green,48.53891852485337,4848
4849,Triple,Weird-Pupil-Yellow,Backwards-Cap-Black,Purple-6,None,Vote-for-Pedro,None,Spots,Original,None,None,Chest-Hair,Disgusted,Grey,Stripy,Blue,25.578211666915525,4849
4850,Spikes,Weird-Pupil-Blue,Crazy-Hair,Purple-7,None,Camo-Brown,None,Bumps,Deep,None,Purple,Colour-Tatts,Grills,Blue,Bone,Purple,53.7948560278864,4850
4851,Stubble,Demon-Realm-2,Beanie-Black,Pink-4,None,Lemuria-Wyoming-1,None,Bumps,Original,None,Purple,Chest-Hair,Cheesy,Green,Mottled,Blue,43.52778591299456,4851
4852,Little-Bumps,Vr4,Five-Panel-Olive,Green-9,None,None,None,Speckled,Snouty,None,None,Chest-Hair,Disgusted,Yellow,Black-Tatts,Purple,8.844581409097298,4852
4853,Lines,Bowie-Blue,Gypsy-King,Red-3,Puffer-vest,None,TShirt-Pink,Sharp,Deep,None,None,None,Awkward,Purple,Stripy,Green,50.22429798431588,4853
4854,Big-Bumps,Weird-Pupil-Red,Line,Tech,Iridescent-Bag,None,TShirt-Pink,Mottling,Snouty,None,None,None,Closed,Green,Techno,Purple,41.54392620297867,4854
4855,Techno,Vr5,Gatorade,Purple-5,Creepz-Hoody,None,None,Spots,Deep,None,None,None,Disgusted,Blue,Waves,Grey,22.21998398345941,4855
4856,Armoured,Bosseyed-Green,Pink-Bucket,Red-2,Tech-2,None,None,Spots,Snouty,None,Blue,None,Checkerboard,Blue,Stripy,Grey,42.34840987719674,4856
4857,Veiny,Bowie-Red,Bucket-Navy,Red-9,None,Creepz-Rugby,None,Colour-Tatts,Deep,None,None,Chest-Hair,Razor-Sharp,Green,Waves,Blue,22.180896347733896,4857
4858,Flaps,Dopey-Blue,Gatorade,Orange-9,Iridescent-Bag,None,None,Flaps,Snouty,None,Neon-Green,None,Spiky,Blue,Waves,Grey,43.36282953139118,4858
4859,Plasters,Bosseyed-Pink,Sneakerhead,Red-7,None,Camo-Brown,None,Stripes,Snouty,None,None,Chest-Hair,Befuddled,Grey,Plain,Light-Green,33.33296730091218,4859
4860,Techno,Dopey-Purple,Red-Camo,Red-6,Tech-3,None,TShirt-Purple,Black-Tatts,Snouty,None,Blue,None,Cheesy,Yellow,Spotty,Blue,72.05993979300432,4860
4861,Big-Bumps,Weird-Pupil-Red,Miner,Pink-2,Masonic-Chain,None,Sweater-Black,Sharp,Snouty,None,None,None,Awkward,Green,Curvy,Teal,42.17365840927322,4861
4862,Techno,Vr3,Headband-2,Purple-7,Stormzy,None,TShirt-Purple,Hatching,Original,None,None,None,Scaly,Green,Plain,Teal,45.55364468935183,4862
4863,Spikes,Polycoria,Pimp,Orange-9,None,Lucky-Lizards,None,Techno,Wide,None,None,Chest-Hair,Cheesy,Blue,Sharp,Grey,24.465080559423573,4863
4864,Little-Bumps,Demon-Realm-2,Creepz-Trucker,Pink-2,None,One-Of-Us,None,Mottling,Snouty,None,None,Colour-Tatts,Cheerful,Grey,Stripy,Purple,27.1785418423806,4864
4865,Armoured,Blank,Lu-Tang,Purple-3,None,Camo-Multi,None,Mottling,Deep,None,Blue,Colour-Tatts,Goofy,Blue,Stripy,Yellow,52.637349845046344,4865
4866,Flaps,Vr1,Skull-And-Bones,Pink-5,Rosette,None,Sweater-White,Scales,Snouty,None,None,None,Cheerful,Green,Sharp,Sky,43.361353855389176,4866
4867,Lines,Weird-Pupil-Yellow,Pharrell,Flames,Tech-2,None,Sweater-Turquoise,Bumps,Snouty,None,None,None,Befuddled,Green,Colour-Tatts,Blue,45.026089180046384,4867
4868,Creases,Blinky,Gatorade,Pink-1,None,Dystopian,None,Spots,Deep,None,None,None,Disgusted,Blue,Stripy,Purple,13.78455463513549,4868
4869,Stubble,Chameleon-Circle-Green-1,Five-Panel-Olive,Red-7,Cbc-Hoody,None,Sweater-Purple,Stripes,Deep,None,Green,None,Razor-Sharp,Blue,Curvy,Yellow,66.93024456850422,4869
4870,Flaps,Sunglasses-1,Line,Orange-1,Cardigan,None,TShirt-White,Ovals,Wide,None,Green,None,Awkward,Blue,Colour-Tatts,Brown,68.69677020023154,4870
4871,Spikes,Squint-Purple,Creepz,Green-5,None,Lemuria-Wyoming-2,None,Mottling,Snouty,None,None,Colour-Tatts,Scaly,Green,Sharp,Teal,26.010718310081128,4871
4872,Armoured,Dopey-Purple,Gatorade,Purple-5,None,Burger-King,None,Stripes,Snouty,None,None,Colour-Tatts,Befuddled,Green,Sharp,Blue,24.352967742563493,4872
4873,Spots,Chameleon-Circle-Orange,Pink-Bucket,Bones,Gillet,None,Sweater-Black,Ovals,Original,None,Gradient,None,Razor-Sharp,Purple,Black-Tatts,Blue,73.2582093431965,4873
4874,Stubble,Dopey-Yellow,Beanie-Black,Green-9,Ngmi-Hoody,None,TShirt-White,Sharp,Wide,None,None,None,Disgusted,Green,Sharp,Lilac,43.67105071893474,4874
4875,Plasters,Squint-Yellow,Red-Camo,Orange-1,Bullets,None,TShirt-Pink,Markings,Wide,None,None,None,Scaly,Green,Plain,Sky,47.89903202621722,4875
4876,Armoured,Crosseyed-Blue,Purple-Camo,Pink-2,Military-Vest,None,TShirt-Turquoise,Hatching,Snouty,None,Red,None,Goofy,Yellow,Curvy,Teal,65.69805360229417,4876
4877,Little-Bumps,Peace,Dad-Cap-Pink,Purple-9,None,None,None,Spots,Flared,Spliff,None,Chest-Hair,Closed,Green,Sharp,Purple,33.398288626405964,4877
4878,Big-Bumps,Vr5,Gypsy-King,Orange-9,Sneakers,None,TShirt-Pink,Techno,Deep,None,Red,None,Checkerboard,Grey,Stripy,Green,67.40684993247312,4878
4879,Plasters,Bowie-Green,Broad-Brim,Green-7,None,Ronald,None,Mottling,Snouty,Cigarette,None,Colour-Tatts,Closed,Blue,Plain,Grey,67.54930744527321,4879
4880,Stubble,Chameleon-Almond-Purple,Creepz-Trucker,Tech,None,Dyor-Sweater,None,Flaps,Deep,None,Green,Colour-Tatts,Checkerboard,Blue,Waves,Purple,49.16862317897514,4880
4881,Spikes,Benedict,Bucket-Orange,Tech,Og-Hoody,None,TShirt-Turquoise,Spots,Original,None,None,None,Jaws,Green,Stripy,Teal,42.888424569129796,4881
4882,Little-Bumps,Bowie-Red,Bucket-Navy,Orange-6,Rosette,None,TShirt-White,Techno,Snouty,None,None,None,Befuddled,Blue,Stripy,Purple,39.90965867109277,4882
4883,Spikes,Bosseyed-Pink,Military,Purple-2,None,One-Of-Us,None,Scales,Deep,None,None,Black-Tatts,Cheerful,Green,Bone,Teal,30.133265434931044,4883
4884,Armoured,Squint-Purple,Monster,Red-3,None,Olive-Puffer,None,Bumps,Snouty,None,None,Chest-Hair,Gappy,Green,Mottled,Lilac,23.845356485263807,4884
4885,Frills,Squint-Blue,Pink-Bucket,Pink-7,None,Tie-Dye-1,None,Speckled,Flared,None,Orange,Colour-Tatts,Cheesy,Grey,Spotty,Blue,52.46725095634981,4885
4886,Flaps,Crosseyed-Yellow,Pimp,Red-6,None,Agamids-Navy,None,Hatching,Deep,None,None,Chest-Hair,Grills,Blue,Plain,Grey,29.608891454491804,4886
4887,Stubble,Bosseyed-Green,Ushanka,None,None,V,None,None,Snouty,None,None,Chest-Hair,Cheerful,Blue,Stripy,Purple,22.388265101311045,4887
4888,Flaps,Stoned,Bucket-Burberry,Purple-9,None,One-Of-Us,None,Colour-Tatts,Original,None,None,Chest-Hair,Closed,Purple,Plain,Teal,31.552683024836952,4888
4889,Flaps,Chameleon-Circle-Blue,Kruger,Pink-1,None,None,TShirt-Turquoise,Spots,Snouty,None,Green,None,Checkerboard,Green,Waves,Lilac,44.22412388100487,4889
4890,Creases,Weird-Pupil-Green,Lumpy,Purple-7,None,Dystopian,None,Speckled,Original,None,None,None,Cheesy,Yellow,Spotty,Grey,20.293697991025212,4890
4891,Armoured,Chameleon-Circle-Blue,Beanie-Creepz,Orange-1,None,Gorn-Hub,None,Flaps,Deep,None,None,Black-Tatts,Gappy,Green,Mottled,Sky,27.944245577150234,4891
4892,Armoured,Peace,Pimp,Red-8,None,None,None,Spots,Wide,None,Red,Colour-Tatts,Checkerboard,Grey,Colour-Tatts,Light-Green,36.772613899226364,4892
4893,Soft-Spikes,Vertical-Green,Red-Camo,Purple-1,None,Slugger,None,Black-Tatts,Deep,None,Green,Colour-Tatts,Spiky,Yellow,Black-Tatts,Purple,54.305343890753264,4893
4894,Soft-Spikes,Squint-Yellow,Bucket-Burberry,Red-2,None,Rcsa,None,Speckled,Original,None,None,Black-Tatts,Disgusted,Green,Colour-Tatts,Teal,29.394531131243223,4894
4895,Armoured,Bowie-Green,Bucket-Creepz,Purple-5,None,Diamond-Hands,None,Markings,Wide,None,None,Chest-Hair,Cheesy,Yellow,Colour-Tatts,Teal,29.34682165176941,4895
4896,Plasters,Vr3,Gatorade,Green-1,None,Slugger,None,Mottling,Flared,Spliff,None,Chest-Hair,Closed,Purple,Techno,Green,66.85802683852854,4896
4897,Veiny,Diamond,Camo,Pink-4,None,None,None,Mottling,Deep,None,None,Colour-Tatts,Spiky,Green,Mottled,Purple,8.548649676785908,4897
4898,None,Chameleon-Almond-Green,Balaclava,None,None,None,Sweater-Turquoise,None,Deep,None,None,None,Gappy,Green,Curvy,Lilac,23.826330203921938,4898
4899,Plasters,Vr5,Purple-Camo,Orange-3,None,One-Of-Us,None,Sharp,Wide,None,Green,Chest-Hair,Spiky,Grey,Colour-Tatts,Pink,53.879592799111656,4899
4900,Creases,Sunglasses-2,Dad-Cap-Green,Red-9,None,Tie-Dye-3,None,Scales,Original,None,None,Chest-Hair,Scaly,Green,Mottled,Sky,22.956736597357057,4900
4901,Soft-Spikes,Veins-1,Lwa,Purple-5,None,None,TShirt-Black,Speckled,Snouty,None,Red,None,Spiky,Yellow,Curvy,Light-Blue,49.33700024035683,4901
4902,Armoured,Vr3,Backwards-Cap-Black,Red-2,Military-Vest,None,TShirt-White,Colour-Tatts,Snouty,None,None,None,Checkerboard,Grey,Black-Tatts,Green,45.95881326297911,4902
4903,Stubble,Crosseyed-Green,Bucket-Navy,Purple-6,None,Camo-Green,None,Techno,Deep,None,Orange,Chest-Hair,Goofy,Yellow,Black-Tatts,Teal,52.909410647923195,4903
4904,Spikes,Squint-Purple,Military,Green-1,None,Flat-Earth,None,Speckled,Flared,None,None,Black-Tatts,Scaly,Grey,Stripy,Green,29.07120920044678,4904
4905,Triple,Peace,Military,Pink-2,None,Gorn-Hub,None,Ovals,Snouty,None,None,Chest-Hair,Disgusted,Yellow,Mottled,Blue,26.418953792509747,4905
4906,Triple,Chameleon-Almond-Blue,Bucket-Creepz,Purple-4,None,Dystopian,None,Black-Tatts,Original,None,Green,None,Razor-Sharp,Grey,Black-Tatts,Green,42.702794690608094,4906
4907,Little-Bumps,Chameleon-Almond-Purple,Backwards-Cap-Blue,Orange-2,Creepz-Hoody,None,Sweater-Black,Speckled,Deep,None,None,None,Closed,Grey,Waves,Green,43.48418142313136,4907
4908,Lines,Dopey-Purple,Five-Panel-Blue-Checkerboard,Orange-6,Poncho,None,Sweater-White,Colour-Tatts,Deep,None,None,None,Closed,Blue,Bone,Brown,47.49409233787697,4908
