,Colors,Chest,Arms,Jaws,Mask,Eyes,Helmet,Meka Type,Color,Material,Weapon,Legendary,Rarity score,Token Id
5504,4.0,GAI Sōhei C1,GAI Jingasa A1,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Tetra H1,Gādian,White,None,None,None,32.90214166339819,5505
5505,0.0,MI Radar C1,MI Radar A1,MI Sonar J2,MI Racer M2,MI White Visor,MI Eagle,Mirage,None,Gold Helmet,None,None,68.25866455598661,5506
5506,3.0,OG Trooper C2,OG Trooper A2,OG Trooper S1,OG Heavy,OG Violet E1,OG Delta Elite,OG Meka,Purple,None,None,None,20.402300358328855,5507
5507,0.0,F9 Fortress C1,F9 Jingasa A2,F9 Assault,F9 Heavy,F9 Green E4,F9 Kagen,F9,None,Camo blue,None,None,71.9152711296419,5508
5508,4.0,MI Racer C1,MI Radar A1,MI Racer W1,MI Sonic M1,MI Pink Visor,MI Racer H2,Mirage,Light Green,None,None,None,35.169065313796146,5509
5509,3.0,MI Racer C1,MI Racer A2,MI Sonar J2,MI Racer M2,MI Pink Visor,MI SB-4,Mirage,Grey,Silver Helmet,None,None,53.46395270178248,5510
5510,0.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Trooper M2,OG Violet E1,OG Delta Elite,OG Meka,None,Carbon,None,None,47.600487662482415,5511
5511,3.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Trooper M1,OG Pink E0,OG Quartz Heavy,OG Meka,White,None,None,None,7.461705109982404,5512
5512,3.0,GAI Youma,GAI Jingasa A2,Bastion J2,GAI Jingasa M1,Pink Delta,GAI Jingasa H2,Gādian,Grey,None,GAI Tessen x2,None,58.94309971070727,5513
5513,3.0,OG Trooper C1,OG Solid Tank,OG Rocket jaw,OG Trooper M1,OG Blue E4,OG Quartz Elite,OG Meka,Dark Brown,None,None,None,17.793132733430244,5514
5514,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Green E7,OG Radiant Trooper,OG Meka,Sky Blue,None,None,None,19.02416546214905,5515
5515,2.0,F9 Fortress C2,F9 Samourai A1,F9 Assault,F9 Assault,F9 Green E4,F9 Ronin H1,F9,White,None,None,None,44.2580858036251,5516
5516,3.0,MI Racer C2,MI Racer A1,MI Racer W2,MI Radar M1,MI Pink Visor,MI Racer,Mirage,White,None,MI Rockets X,None,48.545331048541804,5517
5517,4.0,OG Trooper C2,OG Trooper A1,OG Sabotage S7,OG Monkey R-7,OG White E13,OG Delta Heavy,OG Meka,White,None,None,None,22.960208273627785,5518
5518,2.0,MI Radar C1,MI Radar A1,MI Racer W2,MI Racer M1,MI Pink Visor,MI Racer,Mirage,White,None,None,None,33.29482583450713,5519
5519,4.0,OG Trooper C1,OG Trooper A1,OG Rocket jaw,OG Trooper M1,OG Blue E4,OG Delta Trooper,OG Meka,Light Green,None,None,None,18.659720712440407,5520
5520,0.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Mantis,OG Blue E4,OG Delta Elite,OG Meka,None,Carbon,OG Smiley K2,None,70.03743058272478,5521
5521,4.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Assault,F9 Green E7,F9 Loop,F9,Red,None,None,None,43.17396221863317,5522
5522,4.0,F9 Fortress C2,F9 Jingasa A2,F9 Assault,F9 Monkey,F9 Green E7,F9 Spikes,F9,Aqua Lite,None,None,None,45.80271951327427,5523
5523,3.0,MI Racer C1,MI Racer A1,MI Sonic J1,MI Sonic M1,MI Pink Visor,MI Racer,Mirage,Dark Brown,None,None,None,28.925014097720474,5524
5524,3.0,OG Trooper C1,OG Metal spike,OG Sabotage S3,OG Trooper M2,OG Pink E0,OG Quartz Elite,OG Meka,White,None,None,None,16.142048389264694,5525
5525,4.0,OG Trooper C1,OG Solid Tank,OG Trooper S2,OG Monkey R-7,OG Rose E1,OG Rombus Trooper,OG Meka,Camo Green,None,OG Thunder Gun,None,40.58662790529603,5526
5526,3.0,MI Radar C1,MI Racer A2,MI WS-1,MI Racer M1,MI Pink Visor,MI Racer H2,Mirage,Dark Brown,None,None,None,30.567258889711095,5527
5527,3.0,GAI Sōhei C2,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M1,Pink Circle,GAI Jingasa H1,Gādian,White,None,None,None,29.638481827115935,5528
5528,4.0,OG Trooper C2,OG Trooper A2,OG Rocket jaw,OG Trooper M1,OG Violet E1,OG Delta Trooper,OG Meka,Dark Brown,None,None,None,21.73729065649837,5529
5529,0.0,MI Sonic C1,MI Racer A2,MI WS-2,MI Racer M2,MI Pink Visor,MI Eagle,Mirage,None,Silver Helmet,MI Rockets X,None,89.51687135071225,5530
5530,0.0,OG Trooper C1,OG Metal spike,OG Trooper S1,OG Trooper M2,OG Green E7,OG Delta Elite,OG Meka,None,Ghost,None,None,50.393701510119094,5531
5531,3.0,OG Trooper C1,OG Squadron 4,OG Sabotage S7,OG Mantis,OG Green E7,OG Delta Elite,OG Meka,White,None,OG Solid Blade x2,None,38.659174215825516,5532
5532,0.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Delta Elite,OG Meka,None,Silver Weapon,OG Smiley K2,None,61.76840460516835,5533
5533,3.0,OG Heavy C1,OG Trooper A1,OG Trooper S1,OG Heavy,OG Rose E1,OG Radiant Heavy,OG Meka,Grey,None,OG Gatling Gun,None,34.913884676060185,5534
5534,0.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Trooper M1,OG Violet E1,OG Oblong Elite,OG Meka,None,Gold Weapon,OG Omega,None,67.27039613609112,5535
5535,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Blue E4,OG Rombus Trooper,OG Meka,Pastel Blue,None,None,None,18.582273618545937,5536
5536,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Kaiman,MI Aqua Eye,MI Radar,Mirage,White,None,None,None,31.066942498018218,5537
5537,4.0,OG Heavy C2,OG Trooper A2,OG Trooper S2,OG Trooper M2,OG Rose E1,OG Delta Trooper,OG Meka,Grey,None,None,None,16.840747345751314,5538
5538,3.0,GAI Jingasa C1,GAI Youma,Bastion J1,GAI Bastion M2,Pink Delta,GAI Jingasa H1,Gādian,White,None,None,None,31.028828600540358,5539
5539,3.0,OG Heavy C1,OG Trooper A2,OG Assault jaw,OG Filter,OG Rose E1,OG Delta Trooper,OG Meka,Red,None,None,None,15.521996617603648,5540
5540,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Aura J-0,F9 Assault,F9 Green E7,F9 Spikes,F9,Grey,None,None,None,37.504645295209755,5541
5541,4.0,MI Racer C2,MI Racer A1,MI Racer W1,MI Salamender,MI Pink Visor,MI Radar,Mirage,White,None,MI Rockets,None,53.57636049041169,5542
5542,4.0,GAI Youma,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M1,White Square,GAI Jingasa H1,Gādian,Orange,None,None,None,41.980868487949195,5543
5543,0.0,OG Heavy C1,OG Trooper A2,OG Sabotage S7,OG Filter,OG Green E7,OG Oblong Elite,OG Meka,None,Camo blue,None,None,56.043972079311644,5544
5544,4.0,OG Trooper C2,OG Trooper A1,OG Rocket jaw,OG Filter,OG Red E0,OG Quartz Trooper,OG Meka,White,None,None,None,23.166651166936266,5545
5545,3.0,OG Heavy C2,OG Trooper A1,OG Assault jaw,OG Trooper M2,OG Green E7,OG Darya Trooper,OG Meka,White,Silver Weapon,OG Cannons,None,61.780371458379136,5546
5546,4.0,OG Trooper C1,OG Squadron 3,OG Trooper S2,OG Heavy,OG Violet E1,OG Radiant Trooper,OG Meka,Light Green,None,None,None,22.03390107214745,5547
5547,4.0,OG Heavy C1,OG Squadron 3,OG Trooper S2,OG Filter,OG Pink E0,OG Darya Trooper,OG Meka,White,None,None,None,21.215211086169923,5548
5548,3.0,MI Radar C1,MI Racer A1,MI Radar W1,MI Racer M1,MI Aqua Eye,MI Radar,Mirage,Dark Brown,None,None,None,31.43160029364135,5549
5549,3.0,GAI Jingasa C1,GAI Yasuke,GAI Jingasa J1,GAI Bastion M1,White Circle,GAI Youma H1,Gādian,White,None,None,None,31.364383444707332,5550
5550,4.0,MI Racer C1,MI Radar A1,MI Radar W1,MI Radar M1,MI Pink Visor,MI Racer,Mirage,White,None,None,None,28.12200295226402,5551
5551,4.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Jingasa M2,F9 Red E21,F9 Spikes,F9,Grey,None,None,None,40.60678851090313,5552
5552,4.0,OG Heavy C2,OG Trooper A1,OG Sabotage S7,OG Trooper M1,OG Violet E1,OG Delta Heavy,OG Meka,Grey,None,None,None,23.99502505784017,5553
5553,3.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Trooper M1,OG Rose E1,OG Delta Trooper,OG Meka,White,None,None,None,2.3486718811540137,5554
5554,4.0,GAI Jingasa C1,GAI Jingasa A2,GAI Jingasa J1,GAI Bastion M2,Pink Circle,GAI Youma H2,Gādian,Dark Brown,None,None,None,38.6301287574936,5555
5555,2.0,OG Trooper C1,OG Solid Tank,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Delta Trooper,OG Meka,White,None,None,None,11.266549202152005,5556
5556,5.0,OG Trooper C2,OG Squadron 3,OG Trooper S1,OG Knight,OG Rose E1,OG Radiant Heavy,OG Meka,Grey,None,None,None,29.332584008542884,5557
5557,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Monkey,F9 Green E4,F9 Loop,F9,White,None,None,None,31.386281272459716,5558
5558,4.0,OG Trooper C2,OG Metal spike,OG Sabotage S3,OG Heavy,OG Rose E1,OG Delta Elite,OG Meka,White,None,OG Omega x2,None,42.064643510575856,5559
5559,3.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Last Breath,OG Rose E1,OG Darya Heavy,OG Meka,White,None,None,None,4.342380398182082,5560
5560,3.0,OG Trooper C2,OG Trooper A1,OG Rocket jaw,OG Last Breath,OG Rose E1,OG Delta Trooper,OG Meka,White,None,None,None,10.900107287831267,5561
5561,3.0,OG Heavy C1,OG Trooper A2,OG Assault jaw,OG Last Breath,OG Rose E1,OG Darya Elite,OG Meka,Grey,Silver Weapon,OG Dawn Sword,None,61.55115918252413,5562
5562,2.0,OG Chest Brick,OG Arms Brick,OG Helmet Brick,OG Mask Brick,OG Eyes Brick,OG Helmet Brick,OG Meka,Black,Brick,None,None,68.22430394437554,5563
5563,4.0,MI Racer C1,MI Radar A1,MI Sonic J1,MI Racer M2,MI Pink Visor,MI Radar,Mirage,White,None,MI Ray guns,None,51.23803836441488,5564
5564,3.0,MI Radar C1,MI Radar A1,MI WS-1,MI Racer M2,MI Pink Visor,MI Racer H2,Mirage,Dark Brown,Gold Helmet,None,None,53.541133774705955,5565
5565,0.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Monkey,F9 Red E3,F9 Ronin H1,F9,None,Silver Helmet,None,None,70.44798395515932,5566
5566,0.0,OG Trooper C1,OG Metal spike,OG Sabotage S7,OG Sphere,OG Blue E4,OG Darya Master,OG Meka,None,Silver Helmet,None,None,53.71891985386361,5567
5567,3.0,OG Trooper C1,OG Solid Tank,OG Trooper S1,OG Last Breath,OG Rose E1,OG Delta Elite,OG Meka,White,None,None,None,4.906881515722863,5568
5568,2.0,GAI Jingasa C1,GAI Jingasa A1,Brachyura,GAI Bastion M1,Cyan Square,GAI Youma H1,Gādian,Black,Silver Helmet,None,None,72.64480658433297,5569
5569,3.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Filter,OG Rose E1,OG Delta Trooper,OG Meka,White,None,OG Gatling Gun,None,23.11205979702508,5570
5570,3.0,OG Heavy C1,OG Squadron 3,OG Assault jaw,OG Monkey R-9,OG Violet E1,OG Quartz Heavy,OG Meka,Red,None,None,None,25.263148716525528,5571
5571,4.0,OG Trooper C1,OG Solid Tank,OG Rocket jaw,OG Trooper M1,OG Violet E1,OG Delta Trooper,OG Meka,Grey,None,None,None,18.269712927967582,5572
5572,3.0,OG Heavy C1,OG Trooper A2,OG Rocket jaw,OG Filter,OG Rose E1,OG Delta Elite,OG Meka,Light Green,None,None,None,17.199496688801904,5573
5573,3.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Sphere,OG Rose E1,OG Darya Trooper,OG Meka,Dark Brown,None,None,None,6.360942595643487,5574
5574,0.0,GAI Jingasa C1,GAI Youma,GAI Jingasa J1,GAI Jingasa M2,Green Circle,GAI Tetra H2,Gādian,None,Camo blue,None,None,69.70973181995642,5575
5575,4.0,GAI Youma,GAI Jingasa A2,Bastion J1,GAI Jingasa M1,Red Hexa,GAI Tetra H2,Gādian,White,None,None,None,37.99236871064494,5576
5576,3.0,OG Heavy C1,OG Solid Tank,OG Trooper S2,OG Trooper M1,OG Rose E1,OG Quartz Elite,OG Meka,Dark Brown,None,None,None,14.260969431359985,5577
5577,2.0,MI Racer C1,MI Racer A2,MI Racer W2,MI Racer M1,MI Pink Visor,MI Radar,Mirage,Dark Brown,None,MI Rockets X,None,61.21191550292095,5578
5578,4.0,GAI Jingasa C1,GAI Yasuke,GAI Jingasa J1,GAI Bastion M2,Pink Delta,GAI Jingasa H1,Gādian,Yellow,None,None,None,40.07123175970276,5579
5579,1.0,GAI Youma,GAI Sōhei A1,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Youma H1,Gādian,Black,None,None,None,50.70422760234722,5580
5580,3.0,GAI Jingasa C1,GAI Sōhei A1,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Yokai,Gādian,Grey,None,GAI Enten,None,55.656296547193186,5581
5581,4.0,F9 Bastion C1,F9 Jingasa A1,F9 Brackyura,F9 Knight,F9 Green E21,F9 Loop,F9,Grey,None,None,None,42.89383099349771,5582
5582,4.0,OG Heavy C1,OG Trooper A1,OG Assault jaw,OG Monkey R-7,OG Rose E1,OG Delta Trooper,OG Meka,Grey,None,None,None,17.079278086754798,5583
5583,3.0,MI Racer C1,MI Racer A1,MI Racer W2,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Camo Green,None,None,None,28.563019861003742,5584
5584,2.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Trooper M1,OG Green E21,OG Delta Trooper,OG Meka,Grey,None,None,None,20.46573237515753,5585
5585,3.0,OG Heavy C1,OG Squadron 3,OG Sabotage S3,OG Heavy,OG Rose E1,OG Delta Elite,OG Meka,Camo Green,None,None,None,19.902409101090228,5586
5586,3.0,OG Trooper C1,OG Squadron 4,OG Rocket jaw,OG Knight,OG Blue E4,OG Quartz Trooper,OG Meka,Grey,None,None,None,21.292915203406203,5587
5587,4.0,MI Racer C1,MI Radar A1,MI Sonic J2,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Blue Grey,None,MI Ray guns,None,56.60335301846081,5588
5588,4.0,MI Racer C1,MI Racer A1,MI Racer W2,MI Racer M2,MI Pink Visor,MI Eagle,Mirage,Grey,None,None,None,33.6273271705015,5589
5589,2.0,OG Heavy C1,OG Trooper A1,OG Sabotage S3,OG Trooper M2,OG Violet E1,OG Rombus Trooper,OG Meka,Light Green,None,None,None,30.574266543932403,5590
5590,3.0,GAI Jingasa C1,GAI Yasuke,GAI Jingasa J1,GAI Youma,Pink Circle,GAI Janjin H1,Gādian,Dark Grey,None,None,None,38.96904561055855,5591
5591,4.0,OG Heavy C1,OG Trooper A2,OG Trooper S1,OG Knight,OG Rose E1,OG Quartz Heavy,OG Meka,Blue Grey,None,None,None,20.288753616134183,5592
5592,4.0,OG Trooper C1,OG Trooper A2,OG Trooper S2,OG Sphere,OG Rose E1,OG Delta Elite,OG Meka,Red,None,OG Dawn Sword,None,37.18695857198791,5593
5593,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Brackyura,F9 Assault,F9 Green E4,F9 Spikes,F9,Dark Brown,None,GAI Katana,None,58.80055161579257,5594
5594,3.0,F9 Bastion C1,F9 Samourai A1,F9 Brackyura,F9 Jingasa M2,F9 Green E4,F9 Loop,F9,White,None,None,None,34.367094403278884,5595
5595,0.0,OG Trooper C2,OG Trooper A2,OG Trooper S2,OG Last Breath,OG Rose E1,OG Radiant Elite,OG Meka,None,Carbon,OG Dawn Sword x2,None,72.80126487759043,5596
5596,3.0,OG Trooper C1,OG Trooper A1,OG Assault jaw,OG Monkey R-9,OG Blue E4,OG Oblong Heavy,OG Meka,White,None,None,None,12.403391009398753,5597
5597,4.0,GAI Jingasa C1,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M1,White Circle,GAI Tetra H1,Gādian,Aqua Lite,None,GAI Tessen x2,None,64.15049714149156,5598
5598,3.0,MI Racer C1,MI Racer A2,MI Racer W1,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Dark Brown,None,None,None,26.79583073289505,5599
5599,4.0,GAI Jingasa C1,GAI Sōhei A1,GAI Jingasa J1,GAI Bastion M2,Pink Delta,GAI Janjin H1,Gādian,White,None,None,None,33.45380554972149,5600
5600,3.0,GAI Sōhei C2,GAI Yasuke,Brachyura,GAI Jingasa M2,Pink Delta,GAI Janjin H2,Gādian,Dark Brown,None,None,None,38.730934099127644,5601
5601,3.0,F9 Fortress C2,F9 Jingasa A2,F9 Assault,F9 Bastion M1,F9 Green E4,F9 Spikes,F9,White,None,None,None,33.0186867697492,5602
5602,3.0,OG Heavy C1,OG Trooper A1,OG Trooper S2,OG Trooper M2,OG Violet E1,OG Radiant Trooper,OG Meka,White,None,None,None,12.103238874783841,5603
5603,4.0,GAI Jingasa C1,GAI Jingasa A2,Bastion J2,GAI Bastion M1,White Circle,GAI Youma H1,Gādian,Red,None,None,None,43.89700421856764,5604
5604,4.0,OG Trooper C1,OG Trooper A2,OG Sabotage S3,OG Monkey R-7,OG Rose E1,OG Delta Trooper,OG Meka,Sky Blue,None,None,None,17.22756335811923,5605
5605,3.0,GAI Jingasa C1,GAI Yasuke,Bastion J2,GAI Jingasa M1,Pink Circle,GAI Jingasa H1,Gādian,Grey,None,None,None,36.066501468528564,5606
5606,4.0,OG Trooper C2,OG Solid Tank,OG Trooper S1,OG Trooper M2,OG Pink E0,OG Delta Trooper,OG Meka,Orange,None,None,None,25.249511124854923,5607
5607,3.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Jingasa M2,Pink Delta,GAI Jingasa H1,Gādian,White,None,GAI Kochi,None,50.047891686007084,5608
5608,4.0,GAI Jingasa C1,GAI Youma,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Jingasa H2,Gādian,Dark Brown,None,None,None,36.63009656692942,5609
5609,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S1,OG Sphere,OG Green E7,OG Rombus Elite,OG Meka,Orange,None,None,None,19.870155367074354,5610
5610,4.0,OG Heavy C1,OG Solid Tank,OG Rocket jaw,OG Filter,OG Rose E1,OG Delta Trooper,OG Meka,Orange,None,OG Smiley K1,None,45.46950162776335,5611
5611,3.0,MI Radar C1,MI Radar A1,MI Falcon W1,MI Racer M1,MI Pink Visor,MI Racer H2,Mirage,Dark Grey,None,None,None,33.118251455719765,5612
5612,2.0,OG Trooper C1,OG Trooper A2,OG Sabotage S7,OG Trooper M2,OG Rose E1,OG Darya Trooper,OG Meka,Dark Brown,None,None,None,20.198074696860782,5613
5613,4.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Green E7,F9 Loop,F9,Dark Brown,None,None,None,39.48106586905528,5614
5614,4.0,OG Trooper C1,OG Squadron 4,OG Assault jaw,OG Sphere,OG Red E0,OG Delta Elite,OG Meka,White,None,None,None,18.347903823632105,5615
5615,3.0,OG Trooper C1,OG Trooper A1,OG Assault jaw,OG Trooper M1,OG Rose E1,OG Delta Trooper,OG Meka,Purple,None,None,None,9.66378211683617,5616
5616,3.0,MI Racer C1,MI Radar A1,MI Radar W1,MI Racer M1,MI Pink Visor,MI Sonar,Mirage,Purple,None,None,None,31.711628792842045,5617
5617,3.0,OG Trooper C2,OG Trooper A1,OG Trooper S2,OG Heavy,OG Blue E4,OG Delta Trooper,OG Meka,White,None,None,None,13.525726493916522,5618
5618,3.0,OG Heavy C2,OG Metal spike,OG Sabotage S7,OG Trooper M1,OG Rose E1,OG Quartz Heavy,OG Meka,Camo Green,Silver Helmet,None,None,43.83527269637691,5619
5619,2.0,MI Racer C2,MI Radar A1,MI Sonar J2,MI Racer M2,MI Pink Visor,MI Eagle,Mirage,Black,None,None,None,45.009097574901176,5620
5620,3.0,GAI Jingasa C1,GAI Jingasa A1,Brachyura,GAI Jingasa M1,Pink Circle,GAI Bastion,Gādian,Dark Brown,None,GAI Enten,None,57.9173900934946,5621
5621,3.0,GAI Jingasa C1,GAI Sōhei A1,GAI Jingasa J1,GAI Jingasa M2,Cyan Square,GAI Bastion,Gādian,Purple,None,GAI Katana,None,60.8551594891799,5622
5622,3.0,OG Trooper C1,OG Trooper A1,OG Sabotage S3,OG Monkey R-9,OG Rose E1,OG Delta Trooper,OG Meka,Grey,None,None,None,9.564250508477166,5623
5623,4.0,GAI Sōhei C1,GAI Yasuke,GAI Jingasa J1,GAI Jingasa M1,Green Circle,GAI Janjin H1,Gādian,Grey,None,None,None,40.281547074529314,5624
5624,4.0,OG Trooper C1,OG Solid Tank,OG Trooper S1,OG Sphere,OG White E13,OG Delta Heavy,OG Meka,Orange,None,OG Thunder Gun,None,45.36316351402054,5625
5625,3.0,OG Trooper C1,OG Squadron 3,OG Assault jaw,OG Knight,OG Rose E1,OG Darya Heavy,OG Meka,Dark Brown,None,None,None,14.41912154777745,5626
5626,3.0,GAI Jingasa C1,GAI Youma,GAI Jingasa J1,GAI Bastion M1,Pink Delta,GAI Bastion,Gādian,White,None,None,None,28.664308493507217,5627
5627,3.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Heavy,F9 Green E21,F9 Spikes,F9,White,None,None,None,31.054012248344755,5628
5628,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S1,OG Monkey R-9,OG Rose E1,OG Rombus Trooper,OG Meka,White,None,None,None,6.771357548989807,5629
5629,0.0,MI Sonic C1,MI Radar A1,MI WS-1,MI Salamender,MI Pink Visor,MI Eagle,Mirage,None,Carbon,Mi Wing blade x2,None,90.35841505795177,5630
5630,0.0,OG Trooper C2,OG Squadron 4,OG Trooper S2,OG Trooper M1,OG Rose E1,OG Quartz Heavy,OG Meka,None,Gold Weapon,OG Dawn Sword x2,None,72.75941720210466,5631
5631,3.0,MI Racer C1,MI Racer A1,MI Sonic J1,MI Racer M2,MI Pink Visor,MI Radar,Mirage,Grey,None,MI Ray guns,None,51.841034881919256,5632
5632,4.0,OG Heavy C1,OG Solid Tank,OG Trooper S2,OG Sphere,OG White E13,OG Darya Trooper,OG Meka,White,None,None,None,20.4249700002783,5633
5633,3.0,GAI Jingasa C1,GAI Jingasa A2,Bastion J1,GAI Jingasa M2,Pink Delta,GAI Youma H1,Gādian,Black,None,None,None,38.69816381173288,5634
5634,3.0,OG Heavy C2,OG Trooper A1,OG Trooper S1,OG Pain,OG Rose E1,OG Delta Trooper,OG Meka,Camo Green,None,OG Dawn Sword,None,36.85532651790062,5635
5635,4.0,MI Radar C1,MI Racer A1,MI Radar W1,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Yellow,Gold Weapon,MI Ray guns,None,80.31339878689391,5636
5636,4.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Sphere,OG Pink E0,OG Rombus Trooper,OG Meka,Grey,None,None,None,20.608398435325483,5637
5637,3.0,OG Trooper C2,OG Solid Tank,OG Sabotage S7,OG Knight,OG Pink E0,OG Delta Elite,OG Meka,Dark Brown,None,None,None,24.563422868338353,5638
5638,5.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Green E4,F9 Loop,F9,Grey,None,None,None,47.262591085222525,5639
5639,3.0,OG Chest Brick,OG Arms Brick,OG Helmet Brick,OG Mask Brick,OG Eyes Brick,OG Helmet Brick,OG Meka,Black,Brick,None,None,58.17971499712075,5640
5640,2.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Racer M1,MI Aqua Eye,MI Sonar,Mirage,Camo Green,None,None,None,41.99614617292145,5641
5641,3.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Red E0,OG Darya Trooper,OG Meka,Grey,None,None,None,11.60615429980594,5642
5642,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Radar M1,MI Pink Visor,MI Sonar,Mirage,White,None,None,None,28.941222126253436,5643
5643,3.0,OG Trooper C1,OG Squadron 4,OG Trooper S1,OG Filter,OG Green E7,OG Radiant Heavy,OG Meka,White,None,None,None,12.6841578467215,5644
5644,3.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Heavy,F9 Green E4,F9 Ronin H1,F9,White,None,None,None,30.91857335781646,5645
5645,3.0,F9 Fortress C1,F9 Samourai A1,F9 Assault,F9Youma,F9 Green E4,F9 Ronin H1,F9,White,None,GAI Kochi x2,None,57.163182538507805,5646
5646,4.0,OG Heavy C1,OG Trooper A1,OG Trooper S2,OG Sphere,OG Rose E1,OG Delta Trooper,OG Meka,Red,None,None,None,17.408039502342692,5647
5647,4.0,GAI Jingasa C1,GAI Youma,Bastion J2,GAI Youma,Pink Delta,GAI Jingasa H1,Gādian,Light Green,None,None,None,41.49400251315275,5648
5648,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S2,OG Sphere,OG Red E0,OG Delta Heavy,OG Meka,Grey,None,None,None,19.582554851558186,5649
5649,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Green E21,F9 Spikes,F9,Camo Green,None,GAI Kochi,None,59.74817130295704,5650
5650,2.0,MI Racer C1,MI Racer A2,MI WS-2,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Blue,None,None,None,41.515404642482196,5651
5651,3.0,OG Trooper C1,OG Solid Tank,OG Sabotage S3,OG Monkey R-7,OG Rose E1,OG Delta Heavy,OG Meka,White,None,None,None,9.303621848816405,5652
5652,5.0,MI Racer C1,MI Racer A1,MI Racer W2,MI Radar M1,MI White Visor,MI Radar,Mirage,Soft Red,None,MI Rockets X,None,71.09651686823652,5653
5653,2.0,F9 Fortress C2,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Green E4,F9 Spikes,F9,Light Green,None,GAI Tessen x2,None,70.63179020174574,5654
5654,0.0,F9 Bastion C1,F9 Jingasa A2,F9 Brackyura,F9 Jingasa M2,F9 Red E21,F9 Ronin H1,F9,None,Siberie,None,None,72.9990110201185,5655
5655,2.0,OG Trooper C1,OG Solid Tank,OG Sabotage S3,OG Trooper M1,OG Blue E4,OG Rombus Trooper,OG Meka,White,None,None,None,22.356528617995874,5656
5656,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Radiant Trooper,OG Meka,Camo Green,Silver Weapon,OG Plasma Ray,None,57.11229132080181,5657
5657,4.0,OG Heavy C1,OG Trooper A2,OG Sabotage S7,OG Trooper M1,OG Rose E1,OG Delta Trooper,OG Meka,Grey,None,None,None,16.118164894609055,5658
5658,4.0,GAI Jingasa C1,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Jingasa H1,Gādian,Red,None,None,None,37.54544396057006,5659
5659,0.0,OG Trooper C2,OG Solid Tank,OG Trooper S2,OG Trooper M1,OG Rose E1,OG Darya Elite,OG Meka,None,Carbon,None,None,49.426101633815804,5660
5660,0.0,F9 Bastion C1,F9 Samourai A0,F9 Assault,F9 Knight,F9 Green E7,F9 Kagen,F9,None,Sky,None,None,72.53139350183028,5661
